stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000381577	9606.ENSP00000441543	USP34	UBC	9606	0.982	0	0	0	0.062	0.969	0.4	0.074
9606.ENSP00000381577	9606.ENSP00000388107	USP34	UBA52	9606	0.968	0	0	0	0.047	0.947	0.4	0.071
9606.ENSP00000381577	9606.ENSP00000272317	USP34	RPS27A	9606	0.961	0	0	0	0.07	0.926	0.4	0.178
9606.ENSP00000381577	9606.ENSP00000478771	USP34	UBB	9606	0.954	0	0	0	0.056	0.922	0.4	0.074
9606.ENSP00000381577	9606.ENSP00000376204	USP34	ASH1L	9606	0.822	0	0	0	0.768	0.045	0	0.259
9606.ENSP00000381577	9606.ENSP00000316357	USP34	USP9X	9606	0.793	0	0	0	0.635	0.438	0	0.073
9606.ENSP00000381577	9606.ENSP00000323527	USP34	MKLN1	9606	0.79	0	0	0	0.79	0	0	0
9606.ENSP00000381577	9606.ENSP00000432016	USP34	H7C0V5_HUMAN	9606	0.74	0	0	0	0.678	0.046	0	0.22
9606.ENSP00000381577	9606.ENSP00000373696	USP34	TRIP12	9606	0.723	0	0	0	0.674	0	0	0.185
9606.ENSP00000381577	9606.ENSP00000402515	USP34	SMG1	9606	0.722	0	0	0	0.722	0	0	0
9606.ENSP00000444198	9606.ENSP00000263253	CITED2	EP300	9606	0.999	0	0	0	0.062	0.983	0.5	0.993
9606.ENSP00000444198	9606.ENSP00000262367	CITED2	CREBBP	9606	0.995	0	0	0	0.06	0.926	0.5	0.887
9606.ENSP00000444198	9606.ENSP00000501092	CITED2	TFAP2A	9606	0.989	0	0	0	0	0.482	0.7	0.935
9606.ENSP00000444198	9606.ENSP00000201031	CITED2	TFAP2C	9606	0.945	0	0	0	0.049	0.482	0.7	0.675
9606.ENSP00000444198	9606.ENSP00000339527	CITED2	FOXO3	9606	0.933	0	0	0	0.056	0	0.9	0.355
9606.ENSP00000444198	9606.ENSP00000437955	CITED2	HIF1A	9606	0.915	0	0	0	0.049	0	0.4	0.864
9606.ENSP00000444198	9606.ENSP00000362717	CITED2	LHX2	9606	0.895	0	0	0	0	0.292	0	0.858
9606.ENSP00000444198	9606.ENSP00000377265	CITED2	TFAP2B	9606	0.88	0	0	0	0	0.482	0.5	0.574
9606.ENSP00000444198	9606.ENSP00000368880	CITED2	FOXO1	9606	0.816	0	0	0	0.049	0	0.75	0.29
9606.ENSP00000444198	9606.ENSP00000263734	CITED2	EPAS1	9606	0.79	0	0	0	0.063	0	0.4	0.658
9606.ENSP00000444198	9606.ENSP00000482063	CITED2	PCGF2	9606	0.741	0	0	0	0	0	0	0.741
9606.ENSP00000444198	9606.ENSP00000269305	CITED2	TP53	9606	0.723	0	0	0	0.047	0	0	0.722
9606.ENSP00000444198	9606.ENSP00000368370	CITED2	WT1	9606	0.711	0	0	0	0	0	0	0.711
