stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000201031	9606.ENSP00000501092	TFAP2C	TFAP2A	9606	0.931	0	0	0.059	0.265	0.292	0.8	0.405
9606.ENSP00000201031	9606.ENSP00000444198	TFAP2C	CITED2	9606	0.945	0	0	0	0.049	0.482	0.7	0.675
9606.ENSP00000220003	9606.ENSP00000495360	CSK	CTNNB1	9606	0.731	0	0	0	0.042	0.098	0	0.714
9606.ENSP00000220003	9606.ENSP00000428924	CSK	LYN	9606	0.948	0	0	0.094	0.14	0.334	0.9	0.152
9606.ENSP00000220003	9606.ENSP00000362680	CSK	SRC	9606	0.998	0	0	0.096	0.114	0.774	0.9	0.912
9606.ENSP00000225512	9606.ENSP00000495360	WNT3	CTNNB1	9606	0.941	0	0	0	0	0.137	0.72	0.778
9606.ENSP00000225512	9606.ENSP00000294304	WNT3	LRP5	9606	0.995	0	0	0	0	0.095	0.72	0.984
9606.ENSP00000225964	9606.ENSP00000332973	COL1A1	SMAD3	9606	0.773	0	0	0	0	0.126	0	0.751
9606.ENSP00000225964	9606.ENSP00000231004	COL1A1	LOX	9606	0.808	0	0	0	0.364	0.27	0	0.621
9606.ENSP00000225964	9606.ENSP00000315190	COL1A1	ITGA3	9606	0.848	0	0	0	0.099	0	0.65	0.558
9606.ENSP00000225964	9606.ENSP00000346839	COL1A1	FN1	9606	0.974	0	0	0	0.335	0.594	0	0.912
9606.ENSP00000231004	9606.ENSP00000346839	LOX	FN1	9606	0.931	0	0	0	0.233	0.591	0	0.799
9606.ENSP00000234198	9606.ENSP00000354478	DLX2	DLX1	9606	0.877	0	0	0	0.835	0.072	0	0.257
9606.ENSP00000249749	9606.ENSP00000495360	DLL4	CTNNB1	9606	0.713	0	0	0	0.056	0.098	0	0.691
9606.ENSP00000249749	9606.ENSP00000338272	DLL4	HEY1	9606	0.803	0	0	0	0.062	0.071	0	0.792
9606.ENSP00000254958	9606.ENSP00000323588	JAG1	SOX2	9606	0.701	0	0	0	0.055	0.304	0	0.581
9606.ENSP00000254958	9606.ENSP00000309968	JAG1	ADAM17	9606	0.788	0	0	0	0.049	0.319	0.4	0.518
9606.ENSP00000254958	9606.ENSP00000495360	JAG1	CTNNB1	9606	0.796	0	0	0	0.081	0.098	0	0.774
9606.ENSP00000254958	9606.ENSP00000338272	JAG1	HEY1	9606	0.926	0	0	0	0.122	0.071	0	0.917
9606.ENSP00000257566	9606.ENSP00000323588	TBX3	SOX2	9606	0.907	0	0	0	0	0.308	0	0.871
9606.ENSP00000257934	9606.ENSP00000437360	ESPL1	ANAPC15	9606	0.702	0	0	0	0.049	0	0.5	0.425
9606.ENSP00000257934	9606.ENSP00000282074	ESPL1	SPC25	9606	0.763	0	0	0	0.388	0	0.5	0.289
9606.ENSP00000257934	9606.ENSP00000288207	ESPL1	CCNB2	9606	0.794	0	0	0	0.509	0.114	0	0.565
9606.ENSP00000257934	9606.ENSP00000271452	ESPL1	NUF2	9606	0.841	0	0	0	0.455	0	0.5	0.463
