stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000201031	9606.ENSP00000444198	TFAP2C	CITED2	9606	0.83	0	0	0	0	0.457	0.7	0
9606.ENSP00000201031	9606.ENSP00000501092	TFAP2C	TFAP2A	9606	0.892	0	0	0	0	0.292	0.8	0.304
9606.ENSP00000220003	9606.ENSP00000362680	CSK	SRC	9606	0.995	0	0	0	0	0.614	0.9	0.9
9606.ENSP00000225512	9606.ENSP00000495360	WNT3	CTNNB1	9606	0.72	0	0	0	0	0	0.72	0
9606.ENSP00000225512	9606.ENSP00000294304	WNT3	LRP5	9606	0.975	0	0	0	0	0	0.72	0.915
9606.ENSP00000225964	9606.ENSP00000346839	COL1A1	FN1	9606	0.711	0	0	0	0	0.483	0	0.464
9606.ENSP00000231004	9606.ENSP00000346839	LOX	FN1	9606	0.725	0	0	0	0	0.549	0	0.416
9606.ENSP00000257934	9606.ENSP00000377536	ESPL1	PTTG1	9606	0.999	0	0	0	0	0.972	0.9	0.983
9606.ENSP00000259457	9606.ENSP00000388107	PSMB7	UBA52	9606	0.826	0	0	0	0	0.826	0	0
9606.ENSP00000259457	9606.ENSP00000478771	PSMB7	UBB	9606	0.836	0	0	0	0	0.836	0	0
9606.ENSP00000259457	9606.ENSP00000441543	PSMB7	UBC	9606	0.837	0	0	0	0	0.836	0	0
9606.ENSP00000259457	9606.ENSP00000272317	PSMB7	RPS27A	9606	0.876	0	0	0	0	0.876	0	0
9606.ENSP00000259457	9606.ENSP00000310572	PSMB7	PSMC5	9606	0.959	0	0	0	0	0.948	0	0.24
9606.ENSP00000259457	9606.ENSP00000481029	PSMB7	PSMC3	9606	0.964	0	0	0	0	0.943	0	0.393
9606.ENSP00000259457	9606.ENSP00000270586	PSMB7	PSMB6	9606	0.999	0	0	0	0	0.981	0.9	0.975
9606.ENSP00000262189	9606.ENSP00000388107	KMT2C	UBA52	9606	0.8	0	0	0	0	0.8	0	0
9606.ENSP00000262189	9606.ENSP00000272317	KMT2C	RPS27A	9606	0.8	0	0	0	0	0.8	0	0
9606.ENSP00000262189	9606.ENSP00000478771	KMT2C	UBB	9606	0.8	0	0	0	0	0.8	0	0
9606.ENSP00000262189	9606.ENSP00000441543	KMT2C	UBC	9606	0.8	0	0	0	0	0.8	0	0
9606.ENSP00000262189	9606.ENSP00000367203	KMT2C	KDM6A	9606	0.998	0	0	0	0	0.504	0.9	0.981
9606.ENSP00000262367	9606.ENSP00000393312	CREBBP	FGFR1	9606	0.753	0	0	0	0	0.542	0	0.484
9606.ENSP00000262367	9606.ENSP00000362680	CREBBP	SRC	9606	0.888	0	0	0	0	0.457	0	0.803
9606.ENSP00000262367	9606.ENSP00000265165	CREBBP	LEF1	9606	0.927	0	0	0	0	0	0.9	0.304
9606.ENSP00000262367	9606.ENSP00000368880	CREBBP	FOXO1	9606	0.965	0	0	0	0	0.476	0.9	0.399
9606.ENSP00000262367	9606.ENSP00000332973	CREBBP	SMAD3	9606	0.967	0	0	0	0	0.457	0	0.941
9606.ENSP00000262367	9606.ENSP00000263734	CREBBP	EPAS1	9606	0.978	0	0	0	0	0.368	0.9	0.682
9606.ENSP00000262367	9606.ENSP00000339527	CREBBP	FOXO3	9606	0.985	0	0	0	0	0.961	0.5	0.321
9606.ENSP00000262367	9606.ENSP00000287820	CREBBP	PPARG	9606	0.992	0	0	0	0	0.943	0.5	0.746
9606.ENSP00000262367	9606.ENSP00000444198	CREBBP	CITED2	9606	0.993	0	0	0	0	0.926	0.5	0.828
