source_gene	target_gene	interaction_type	database_source	confidence	pathway	evidence_notes
TFAP2C	TFAP2A	physical_PPI	STRING	0.931		combined_score=0.931; escore=0.292; dscore=0.800; STRING network_type=physical membership=True
TFAP2C	CITED2	physical_PPI	STRING	0.945		combined_score=0.945; escore=0.482; dscore=0.700; STRING network_type=physical membership=True
COL1A1	SMAD3	functional_association	STRING	0.773		combined_score=0.773; escore=0.126; dscore=0.000; STRING network_type=physical membership=False
COL1A1	LOX	functional_association	STRING	0.808		combined_score=0.808; escore=0.270; dscore=0.000; STRING network_type=physical membership=False
COL1A1	FN1	physical_PPI	STRING	0.974		combined_score=0.974; escore=0.594; dscore=0.000; STRING network_type=physical membership=True
LOX	FN1	physical_PPI	STRING	0.931		combined_score=0.931; escore=0.591; dscore=0.000; STRING network_type=physical membership=True
JAG1	SOX2	functional_association	STRING	0.701		combined_score=0.701; escore=0.304; dscore=0.000; STRING network_type=physical membership=False
JAG1	CTNNB1	functional_association	STRING	0.796		combined_score=0.796; escore=0.098; dscore=0.000; STRING network_type=physical membership=False
JAG1	HEY1	functional_association	STRING	0.926		combined_score=0.926; escore=0.071; dscore=0.000; STRING network_type=physical membership=False
KMT2C	UBC	physical_PPI	STRING	0.809		combined_score=0.809; escore=0.800; dscore=0.000; STRING network_type=physical membership=True
KMT2C	RPS27A	physical_PPI	STRING	0.809		combined_score=0.809; escore=0.800; dscore=0.000; STRING network_type=physical membership=True
KMT2C	CREBBP	functional_association	STRING	0.822		combined_score=0.822; escore=0.110; dscore=0.000; STRING network_type=physical membership=False
KMT2C	TP53	functional_association	STRING	0.858		combined_score=0.858; escore=0.292; dscore=0.000; STRING network_type=physical membership=False
KMT2C	EP300	functional_association	STRING	0.884		combined_score=0.884; escore=0.110; dscore=0.500; STRING network_type=physical membership=False
KMT2C	KDM6A	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.679; dscore=0.900; STRING network_type=physical membership=True
CREBBP	KDM6A	functional_association	STRING	0.811		combined_score=0.811; escore=0.102; dscore=0.000; STRING network_type=physical membership=False
CREBBP	FGFR1	physical_PPI	STRING	0.923		combined_score=0.923; escore=0.779; dscore=0.000; STRING network_type=physical membership=True
