gene	node_class	node_category_raw	crispr_effect	crispr_fdr	crispr_direction	gse118713_log2fc	gse118713_fdr	gse240112_log2fc	gse240112_fdr	gse111151_log2fc	gse111151_fdr	gse245601_acute_log2fc	gse245601_acute_fdr	resistance_pattern	pathways_supported	number_consensus_pathways	human_tumor_support	candidate_connection_count	subnetwork_role
ACVR1	leading_edge	resistance_leading_edge	-0.4241984326590478	0.812261542677148	nonsignificant_sensitising_direction	1.78269765598623	0.0004123869861301	1.17310445578037	0.0069049076804771	0.551825456568553	0.256635353848147	0.162795294491403	0.517583856459333	consistent_up_(2/3_significant)	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BONE_MINERALIZATION;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE	56	True	0	second_degree_connector
BIRC5	resistance_gene	multimodal_pathway_driver	0.8183937731547442	0.7898456056467551	nonsignificant_tolerance_direction	-0.633777499699432	0.0436669146251446	-0.864462921992215	0.393670847831552	-0.211753955396718	0.847005593670355	-0.0767843366215197	0.92331196203774	consistent_down_(1/3_significant)	go_bp:GOBP_CHROMOSOME_SEPARATION;go_bp:GOBP_METAPHASE_CHROMOSOME_ALIGNMENT;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	16	False	0	second_degree_connector
BMP7	leading_edge	resistance_leading_edge	-0.5935923019690099	0.8242337791078108	nonsignificant_sensitising_direction	2.76145111328723	4.14018335602582e-06	5.30426269253065	3.55439381682779e-05	1.43126932072503	0.338065241930829	-0.0006218582710506	0.999608265807042	consistent_up_(2/3_significant)	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BONE_MINERALIZATION;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE	88	True	0	second_degree_connector
BUB1B	resistance_gene	multimodal_pathway_driver	0.1498420107713478	0.9534746491194804	nonsignificant_tolerance_direction	-0.250957762878272	0.186596686586578	-1.08975529023516	0.196342536277581	-0.294754930966246	0.703388715135017	-0.279515185217058	0.637572728434564	no_significant_resistance_dataset	go_bp:GOBP_CHROMOSOME_SEPARATION;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	14	False	0	second_degree_connector
CCNB2	resistance_gene	multimodal_pathway_driver	0.2543927245492963	0.8440858568440535	nonsignificant_tolerance_direction	-0.459045002456817	0.0792542144114215	-1.60607877628004	0.076905873133373	-0.451310864839405	0.58495973894617	0.0843209864939565	0.934146449539965	no_significant_resistance_dataset	go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;hallmark:HALLMARK_E2F_TARGETS;hallmark:HALLMARK_G2M_CHECKPOINT;reactome:REACTOME_CELL_CYCLE_CHECKPOINTS;reactome:REACTOME_CELL_CYCLE_MITOTIC	8	False	0	second_degree_connector
CITED2	candidate	candidate	-1.4953555271062804	0.109955077591718	nonsignificant_sensitising_direction	-0.0712402035096886	0.895048558224723	1.55383256440471	0.0087275396535076	0.692687178856127	0.662311130855006	0.19690414713124	0.402857156934197	consistent_up_(1/3_significant)	go_bp:GOBP_ARTERY_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BONE_DEVELOPMENT;go_bp:GOBP_BONE_MORPHOGENESIS;go_bp:GOBP_CARDIAC_CHAMBER_DEVELOPMENT	49	True	0	candidate
COL1A1	leading_edge	resistance_leading_edge	-0.2716037675446916	0.8247485940043205	nonsignificant_sensitising_direction	1.88086665320433	0.0016086491433943	1.31928671340013	0.0334404515879427	0.714392009195883	0.304384090528369	0.205427272911124	0.793677023752535	consistent_up_(2/3_significant)	go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BODY_MORPHOGENESIS;go_bp:GOBP_BONE_DEVELOPMENT;go_bp:GOBP_BONE_MORPHOGENESIS;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY	42	True	1	direct_partner
CREBBP	candidate_partner	candidate_string_partner	-0.1072981257283913	0.957815716818056	nonsignificant_sensitising_direction	-0.313638920865462	0.319352989531893	-0.0173784828691921	0.963081916881724	0.108607173210642	0.83133779654177	-0.0428092674679337	0.886987488614421	no_significant_resistance_dataset		0	False	1	direct_partner
CTNNB1	leading_edge	resistance_leading_edge	-0.7079105508147325	0.6338823101552432	nonsignificant_sensitising_direction	1.34051680314076	0.0081467587063766	1.04611724728121	0.0264420685038049	0.321374477875969	0.60279258654785	-0.0178362228342128	0.963531408602799	consistent_up_(2/3_significant)	go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_CARTILAGE_DEVELOPMENT;go_bp:GOBP_CELL_FATE_COMMITMENT	93	True	0	second_degree_connector
EFNA1	leading_edge	resistance_leading_edge	0.4044188809500619	0.7930869572944422	nonsignificant_tolerance_direction	0.993752019982719	0.0024142060292581	0.977489054138699	0.0852543712842727	0.254401080032412	0.608537894373376	0.20337267074987	0.389929053289146	consistent_up_(1/3_significant)	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION;go_bp:GOBP_CELL_SUBSTRATE_ADHESION	30	False	0	second_degree_connector
