gene	node_class	node_category_raw	crispr_effect	crispr_fdr	crispr_direction	gse118713_log2fc	gse118713_fdr	gse240112_log2fc	gse240112_fdr	gse111151_log2fc	gse111151_fdr	gse245601_acute_log2fc	gse245601_acute_fdr	resistance_pattern	pathways_supported	number_consensus_pathways	human_tumor_support	candidate_connection_count	subnetwork_role
ANAPC15	resistance_gene	multimodal_pathway_driver	0.5890439559906673	0.6017506707556782	nonsignificant_tolerance_direction	-0.5124579707565	0.0697935253956214	-0.237568285845152	0.632884818228674	-0.424967681851787	0.399936073503118	-0.245071542190568	0.454931039065181	no_significant_resistance_dataset	go_bp:GOBP_CHROMOSOME_SEPARATION;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	11	False	0	second_degree_connector
ANAPC2	resistance_gene	multimodal_pathway_driver	0.0820409405646698	0.9654441649938414	nonsignificant_tolerance_direction	-0.585805408022625	0.0367214993659042	-0.319149688920331	0.602519570659671	-0.292373283388743	0.646432589645564	0.0645814451155414	0.856507465670154	consistent_down_(1/3_significant)	go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_SISTER_CHROMATID_SEGREGATION	9	False	0	second_degree_connector
ASH1L	candidate_partner	candidate_string_partner	0.4375159253656715	0.7909727675032434	nonsignificant_tolerance_direction	0.0747730856991424	0.839867443375082	-0.0649116798296994	0.870577063032773	0.126537292452093	0.710128949420669	-0.102621911354323	0.727755265489	no_significant_resistance_dataset		0	False	1	direct_partner
CDC16	resistance_gene	multimodal_pathway_driver	-0.4073282051914919	0.8393569308112855	nonsignificant_sensitising_direction	-0.521239448668727	0.0097261877037704	-0.868479909063579	0.019418083270538	-0.102160057970067	0.800613411728549	0.0423453794865887	0.882497972608256	consistent_down_(2/3_significant)	go_bp:GOBP_CHROMOSOME_SEPARATION;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	11	True	0	second_degree_connector
CTNNB1	leading_edge	resistance_leading_edge	-0.7079105508147325	0.6338823101552432	nonsignificant_sensitising_direction	1.34051680314076	0.0081467587063766	1.04611724728121	0.0264420685038049	0.321374477875969	0.60279258654785	-0.0178362228342128	0.963531408602799	consistent_up_(2/3_significant)	go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_CARTILAGE_DEVELOPMENT;go_bp:GOBP_CELL_FATE_COMMITMENT	93	True	0	second_degree_connector
H7C0V5_HUMAN	candidate_partner	candidate_string_partner			not_tested									no_significant_resistance_dataset		0	False	1	direct_partner
KMT2C	crispr_tolerance_associated	crispr_tolerance	1.683754395316134	0.0052539443921356	tolerance_associated_KO	0.0353127981755366	0.925860041774026	-0.539610144682292	0.185781857435356	-0.146890307562346	0.802049984655759	0.0048690635820431	0.989334782494376	no_significant_resistance_dataset		0	False	0	second_degree_connector
MKLN1	candidate_partner	candidate_string_partner	0.1375468461157716	0.922958037549524	nonsignificant_tolerance_direction	0.735540240807957	0.0050757845713433	0.109302804334256	0.75639672017842	-0.314595865794833	0.410809812126904	-0.0574569197488597	0.837384353220114	consistent_up_(1/3_significant)	go_bp:GOBP_CELL_MATRIX_ADHESION;go_bp:GOBP_CELL_SUBSTRATE_ADHESION;go_bp:GOBP_REGULATION_OF_CELL_SHAPE;go_bp:GOBP_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT	4	False	1	direct_partner
POLA2	resistance_gene	multimodal_pathway_driver	0.775381213725244	0.6009826181172715	nonsignificant_tolerance_direction	-0.773417614658817	0.0079663571483428	-0.462991665230782	0.523864986449346	-0.233174853605749	0.5979093696508	-0.447544517391346	0.184728103007242	consistent_down_(1/3_significant)	hallmark:HALLMARK_E2F_TARGETS;hallmark:HALLMARK_G2M_CHECKPOINT;reactome:REACTOME_CELL_CYCLE_MITOTIC;reactome:REACTOME_CHROMOSOME_MAINTENANCE	4	False	0	second_degree_connector
PSMB6	resistance_gene	multimodal_pathway_driver	0.2006039151280259	0.9282590534909334	nonsignificant_tolerance_direction	-0.582324686712933	0.0232486457658161	-0.420062794437266	0.401484561772123	-0.23789799658011	0.687053888557334	-0.0068416039876317	0.983564004376486	consistent_down_(1/3_significant)	reactome:REACTOME_CELL_CYCLE_CHECKPOINTS;reactome:REACTOME_CELL_CYCLE_MITOTIC;reactome:REACTOME_M_PHASE	3	False	0	second_degree_connector
