gene	node_class	node_category_raw	crispr_effect	crispr_fdr	crispr_direction	gse118713_log2fc	gse118713_fdr	gse240112_log2fc	gse240112_fdr	gse111151_log2fc	gse111151_fdr	gse245601_acute_log2fc	gse245601_acute_fdr	resistance_pattern	pathways_supported	number_consensus_pathways	human_tumor_support	candidate_connection_count
ACVR1	leading_edge	resistance_leading_edge	-0.4241984326590478	0.812261542677148	nonsignificant_sensitising_direction	1.78269765598623	0.0004123869861301	1.17310445578037	0.0069049076804771	0.551825456568553	0.256635353848147	0.162795294491403	0.517583856459333	consistent_up_(2/3_significant)	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BONE_MINERALIZATION;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE	56	True	0
ADAM17	leading_edge	resistance_leading_edge	-0.1230534167455781	0.9672815242745634	nonsignificant_sensitising_direction	0.723804300090985	0.0347479638673632	1.65770076363756	0.002690965757192	0.185741175921803	0.623859278387044	0.406263557551735	0.245161510275536	consistent_up_(2/3_significant)	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_CELL_CHEMOTAXIS;go_bp:GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	38	True	0
ANAPC15	resistance_gene	multimodal_pathway_driver	0.5890439559906673	0.6017506707556782	nonsignificant_tolerance_direction	-0.5124579707565	0.0697935253956214	-0.237568285845152	0.632884818228674	-0.424967681851787	0.399936073503118	-0.245071542190568	0.454931039065181	no_significant_resistance_dataset	go_bp:GOBP_CHROMOSOME_SEPARATION;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	11	False	0
ANAPC2	resistance_gene	multimodal_pathway_driver	0.0820409405646698	0.9654441649938414	nonsignificant_tolerance_direction	-0.585805408022625	0.0367214993659042	-0.319149688920331	0.602519570659671	-0.292373283388743	0.646432589645564	0.0645814451155414	0.856507465670154	consistent_down_(1/3_significant)	go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_SISTER_CHROMATID_SEGREGATION	9	False	0
ASH1L	candidate_partner	candidate_string_partner	0.4375159253656715	0.7909727675032434	nonsignificant_tolerance_direction	0.0747730856991424	0.839867443375082	-0.0649116798296994	0.870577063032773	0.126537292452093	0.710128949420669	-0.102621911354323	0.727755265489	no_significant_resistance_dataset		0	False	1
AURKB	resistance_gene	multimodal_pathway_driver	-0.423494193013421	0.789718750981059	nonsignificant_sensitising_direction	-1.08895691824719	0.001353534145638	-1.57266706372063	0.100395625099012	-0.161458700921542	0.863585597881905	0.170249433107199	0.853391727244651	consistent_down_(1/3_significant)	go_bp:GOBP_CHROMOSOME_SEPARATION;go_bp:GOBP_METAPHASE_CHROMOSOME_ALIGNMENT;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	16	False	0
BIRC5	resistance_gene	multimodal_pathway_driver	0.8183937731547442	0.7898456056467551	nonsignificant_tolerance_direction	-0.633777499699432	0.0436669146251446	-0.864462921992215	0.393670847831552	-0.211753955396718	0.847005593670355	-0.0767843366215197	0.92331196203774	consistent_down_(1/3_significant)	go_bp:GOBP_CHROMOSOME_SEPARATION;go_bp:GOBP_METAPHASE_CHROMOSOME_ALIGNMENT;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	16	False	0
BMP7	leading_edge	resistance_leading_edge	-0.5935923019690099	0.8242337791078108	nonsignificant_sensitising_direction	2.76145111328723	4.14018335602582e-06	5.30426269253065	3.55439381682779e-05	1.43126932072503	0.338065241930829	-0.0006218582710506	0.999608265807042	consistent_up_(2/3_significant)	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BONE_MINERALIZATION;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE	88	True	0
BUB1B	resistance_gene	multimodal_pathway_driver	0.1498420107713478	0.9534746491194804	nonsignificant_tolerance_direction	-0.250957762878272	0.186596686586578	-1.08975529023516	0.196342536277581	-0.294754930966246	0.703388715135017	-0.279515185217058	0.637572728434564	no_significant_resistance_dataset	go_bp:GOBP_CHROMOSOME_SEPARATION;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	14	False	0
CADM4	resistance_gene	multimodal_pathway_driver	0.0121989669762303	0.9974116242487912	nonsignificant_tolerance_direction	1.03741905352643	0.0011699247924596	1.79478302802051	0.0032621088911479	0.273970288944225	0.643326013604809	-0.117146079822298	0.704713111130741	consistent_up_(2/3_significant)	go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS;go_bp:GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION;go_bp:GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS;go_bp:GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	9	True	0
