source_gene	target_gene	interaction_type	database_source	confidence	pathway	evidence_notes
TFAP2C	TFAP2A	physical_PPI	STRING	0.931		combined_score=0.931; escore=0.292; dscore=0.800; STRING network_type=physical membership=True
TFAP2C	CITED2	physical_PPI	STRING	0.945		combined_score=0.945; escore=0.482; dscore=0.700; STRING network_type=physical membership=True
CSK	CTNNB1	functional_association	STRING	0.731		combined_score=0.731; escore=0.098; dscore=0.000; STRING network_type=physical membership=False
CSK	LYN	functional_association	STRING	0.948		combined_score=0.948; escore=0.334; dscore=0.900; STRING network_type=physical membership=False
CSK	SRC	physical_PPI	STRING	0.998		combined_score=0.998; escore=0.774; dscore=0.900; STRING network_type=physical membership=True
WNT3	CTNNB1	physical_PPI	STRING	0.941		combined_score=0.941; escore=0.137; dscore=0.720; STRING network_type=physical membership=True
WNT3	LRP5	physical_PPI	STRING	0.995		combined_score=0.995; escore=0.095; dscore=0.720; STRING network_type=physical membership=True
COL1A1	SMAD3	functional_association	STRING	0.773		combined_score=0.773; escore=0.126; dscore=0.000; STRING network_type=physical membership=False
COL1A1	LOX	functional_association	STRING	0.808		combined_score=0.808; escore=0.270; dscore=0.000; STRING network_type=physical membership=False
COL1A1	ITGA3	functional_association	STRING	0.848		combined_score=0.848; escore=0.000; dscore=0.650; STRING network_type=physical membership=False
COL1A1	FN1	physical_PPI	STRING	0.974		combined_score=0.974; escore=0.594; dscore=0.000; STRING network_type=physical membership=True
LOX	FN1	physical_PPI	STRING	0.931		combined_score=0.931; escore=0.591; dscore=0.000; STRING network_type=physical membership=True
DLX2	DLX1	functional_association	STRING	0.877		combined_score=0.877; escore=0.072; dscore=0.000; STRING network_type=physical membership=False
DLL4	CTNNB1	functional_association	STRING	0.713		combined_score=0.713; escore=0.098; dscore=0.000; STRING network_type=physical membership=False
DLL4	HEY1	functional_association	STRING	0.803		combined_score=0.803; escore=0.071; dscore=0.000; STRING network_type=physical membership=False
JAG1	SOX2	functional_association	STRING	0.701		combined_score=0.701; escore=0.304; dscore=0.000; STRING network_type=physical membership=False
JAG1	ADAM17	functional_association	STRING	0.788		combined_score=0.788; escore=0.319; dscore=0.400; STRING network_type=physical membership=False
