gene	degree	betweenness	closeness	is_candidate_connector	n_candidates_directly_connected	is_bridge_gene_high_betweenness
CTNNB1	38	0.14044501464129946	0.5833333333333334	False	0	True
TP53	34	0.11140446034935336	0.5833333333333334	True	1	True
EP300	28	0.0670611618167377	0.56	True	1	True
USP34	10	0.055780598970896496	0.3726235741444867	False	0	True
ERBB2	21	0.04670820831882411	0.5185185185185185	True	1	True
BIRC5	21	0.04111925448044642	0.49246231155778897	False	0	True
UBB	17	0.0410274364996066	0.494949494949495	True	1	True
UBC	20	0.03958955761681877	0.47572815533980584	True	1	True
RPS27A	15	0.03319989940987143	0.48756218905472637	True	1	True
PLK1	22	0.032636043572644304	0.47804878048780486	False	0	True
SRC	20	0.02922218004326387	0.49746192893401014	False	0	True
CITED2	18	0.028707820751509183	0.46226415094339623	False	0	True
ID2	20	0.028425489801815033	0.4666666666666667	False	0	False
SMAD3	25	0.027005301642147126	0.48756218905472637	True	1	False
SOX2	13	0.026854867638103002	0.45161290322580644	False	0	False
UBE2C	27	0.023114132245282776	0.4260869565217391	False	0	False
PTEN	17	0.020139605928971203	0.5157894736842106	False	0	False
DUSP6	11	0.018222602621203364	0.41350210970464135	False	0	False
HIF1A	17	0.017948290572304612	0.49246231155778897	True	1	False
SPRY2	8	0.015067067642586697	0.34507042253521125	False	0	False
CDC20	21	0.014481310822042164	0.45161290322580644	False	0	False
WT1	5	0.014051861509488627	0.4066390041493776	True	1	False
NF1	5	0.014051861509488627	0.3904382470119522	False	0	False
TFAP2A	10	0.013499439263007607	0.4474885844748858	True	1	False
USP9X	6	0.013156540164236149	0.42424242424242425	True	1	False
BUB1B	21	0.009279714583276992	0.43946188340807174	False	0	False
PSMC5	15	0.00922032231067267	0.4375	False	0	False
WNT5A	11	0.009204485145198173	0.4152542372881356	False	0	False
COL1A1	17	0.009080993927838654	0.4336283185840708	True	1	False
LEF1	11	0.00883007634628374	0.45161290322580644	False	0	False
CCNB2	18	0.00882056272794742	0.43946188340807174	False	0	False
CREBBP	16	0.008431354146969019	0.47342995169082125	True	1	False
ADAM17	14	0.00811767595477593	0.4188034188034188	False	0	False
FOXO3	13	0.007203375560346296	0.4803921568627451	True	1	False
