gene	node_category
ACVR1	resistance_leading_edge
ADAM17	resistance_leading_edge
ANAPC15	multimodal_pathway_driver
ANAPC2	multimodal_pathway_driver
ASH1L	candidate_string_partner
AURKB	multimodal_pathway_driver
BIRC5	multimodal_pathway_driver
BMP7	resistance_leading_edge
BUB1B	multimodal_pathway_driver
CADM4	multimodal_pathway_driver
CCNB2	multimodal_pathway_driver
CDC16	multimodal_pathway_driver
CDC20	multimodal_pathway_driver
CDCA5	multimodal_pathway_driver
CDCA8	multimodal_pathway_driver
CENPE	multimodal_pathway_driver
CENPF	multimodal_pathway_driver
CITED2	candidate
COL1A1	resistance_leading_edge
CREBBP	candidate_string_partner
CSK	crispr_tolerance
CTNNB1	resistance_leading_edge
CUX1	crispr_tolerance
DLL4	resistance_leading_edge
DLX1	resistance_leading_edge
DLX2	resistance_leading_edge
DMTN	multimodal_pathway_driver
DPP9	crispr_tolerance
DSN1	multimodal_pathway_driver
DUSP10	multimodal_pathway_driver,resistance_leading_edge
DUSP6	multimodal_pathway_driver
EFNA1	resistance_leading_edge
EIF4ENIF1	crispr_sensitiser
EML5	candidate
EP300	candidate_string_partner
EPAS1	candidate_string_partner
EPHB2	multimodal_pathway_driver
ERBB2	resistance_leading_edge
ESPL1	multimodal_pathway_driver
F2RL1	resistance_leading_edge
FGFR1	resistance_leading_edge
FN1	resistance_leading_edge
FOXO1	candidate_string_partner
FOXO3	candidate_string_partner
H7C0V5_HUMAN	candidate_string_partner
HEY1	resistance_leading_edge
HIF1A	candidate_string_partner,resistance_leading_edge
HMGB1	crispr_sensitiser
ICK	crispr_sensitiser
ID2	resistance_leading_edge
INCENP	multimodal_pathway_driver
ITGA3	resistance_leading_edge
JAG1	resistance_leading_edge
KDM1A	crispr_sensitiser
KDM6A	crispr_tolerance
KMT2C	crispr_tolerance
LEF1	resistance_leading_edge
LHX2	candidate_string_partner
LOX	resistance_leading_edge
LRP5	resistance_leading_edge
LYN	multimodal_pathway_driver,resistance_leading_edge
LZTR1	crispr_tolerance
MEGF8	resistance_leading_edge
MKLN1	candidate_string_partner
MSX1	resistance_leading_edge
NF1	crispr_tolerance
NF2	multimodal_pathway_driver,resistance_leading_edge
NUF2	multimodal_pathway_driver
PCGF2	candidate_string_partner
PET117	crispr_sensitiser
PLK1	multimodal_pathway_driver
POLA2	multimodal_pathway_driver
PPARG	multimodal_pathway_driver,resistance_leading_edge
PRKD1	resistance_leading_edge
PSMB6	multimodal_pathway_driver
PSMB7	multimodal_pathway_driver
PSMC3	multimodal_pathway_driver
PSMC5	multimodal_pathway_driver
PTEN	crispr_tolerance
PTK7	resistance_leading_edge
PTTG1	multimodal_pathway_driver
RASA2	crispr_tolerance
RPS27A	candidate_string_partner
SIX2	resistance_leading_edge
SMAD3	resistance_leading_edge
SMC3	multimodal_pathway_driver
SMG1	candidate_string_partner
SMPD1	multimodal_pathway_driver
SOX2	crispr_tolerance
SPC25	multimodal_pathway_driver
SPRED1	resistance_leading_edge
SPRY1	multimodal_pathway_driver,resistance_leading_edge
SPRY2	multimodal_pathway_driver,resistance_leading_edge
SPRY4	multimodal_pathway_driver
SRC	multimodal_pathway_driver
SUPT4H1	crispr_sensitiser
TADA2B	crispr_sensitiser
TBX3	resistance_leading_edge
TFAP2A	candidate_string_partner
TFAP2B	candidate_string_partner
TFAP2C	candidate_string_partner,crispr_tolerance
TGFBR2	resistance_leading_edge
TLK2	crispr_sensitiser
TP53	candidate_string_partner
TRIB1	multimodal_pathway_driver
TRIP12	candidate_string_partner
UBA52	candidate_string_partner
UBB	candidate_string_partner
UBC	candidate_string_partner
UBE2C	multimodal_pathway_driver
USP17L29	crispr_sensitiser
USP34	candidate,crispr_sensitiser
USP9X	candidate_string_partner
VEZF1	candidate,crispr_sensitiser
WNT3	resistance_leading_edge
WNT4	resistance_leading_edge
WNT5A	resistance_leading_edge
WT1	candidate_string_partner
WWTR1	resistance_leading_edge
