gene_symbol	arm	se_variant	n_datasets_in_arm	n_datasets_with_gene	n_datasets_used	datasets_used	datasets_missing_gene	datasets_unusable_se	any_dataset_pseudoreplicated	any_group_confounded_with_biobank	post_freeze_exploratory	exclusion_reason	pooled_effect	pooled_se	ci_low	ci_high	z	p_value	tau2_dl	tau2_pm	q	q_df	q_p	i2	pooled_effect_fixed	pooled_effect_pm	p_value_pm	direction_consistent	stouffer_z_equal	stouffer_p_equal	stouffer_z_units	stouffer_p_units	fdr	fdr_pm	stouffer_fdr_equal	stouffer_fdr_units	gene	resistance_fdr05_count	resistance_nominal_p05_count	crispr_effect	crispr_fdr	global_rank	resistance_rank	vote_count_rank	pooled_z_rank	rank_shift	primary_arm	primary_se_variant
USP34	edger_only	wald	2	2	2	gse111151,gse240112			False	True	True		0.2266413640098535	0.12851689294628887	-0.025247117569862393	0.47852984558956935	1.763514187232754	0.0778138066157483	0.0	0.0	0.6839102388153329	1.0	0.40824349067512367	0.0	0.2266413640098535	0.2266413640098535	0.0778138066157483	True	1.9847137462757147	0.04717632855185854	1.9971879899036562	0.045804765239761236	0.7817402807788522	0.7817402807788518	0.5661159426223025	0.44110308467222126	USP34	1.0	1.0	-1.3912980676838431	0.0416851803622835	994.0	4050.0	1.0	1.0	0.0	edger_only	wald
SUPT4H1	edger_only	wald	2	2	2	gse111151,gse240112			False	True	True		0.4514330882418603	0.4889597900092649	-0.5069104900645667	1.4097766665482874	0.9232519676787869	0.35587591259589124	0.38451600542634357	0.3845160054263388	4.817394209767437	1.0	0.028173906879892036	79.24188977575336	0.22430609392418455	0.45143308824185974	0.35587591259588947	True	1.64735790836798	0.09948450164744403	1.7896065748845587	0.07351718077870355	0.7817402807788522	0.7817402807788518	0.5969070098846642	0.44110308467222126	SUPT4H1	0.0	1.0	-1.6837884606622353	0.0372575660229722	2518.0	24761.0	3.0	2.0	1.0	edger_only	wald
TADA2B	edger_only	wald	2	2	2	gse111151,gse240112			False	True	True		0.1357490389782435	0.16929415694818137	-0.1960614114332633	0.46755948938975034	0.8018530670246017	0.42263795746758803	0.0	0.0	0.8116209386096865	1.0	0.3676414532773745	0.0	0.1357490389782435	0.1357490389782435	0.42263795746758803	True	1.0731646888241493	0.2831972308546985	1.1262807613714891	0.2600466983830162	0.7817402807788522	0.7817402807788518	0.7106877203330506	0.733820250381907	TADA2B	0.0	0.0	-2.0643649381530107	0.0145874633758381	2729.0	22244.0	3.0	3.0	0.0	edger_only	wald
KDM1A	edger_only	wald	2	2	2	gse111151,gse240112			False	True	True		0.11823392535855304	0.16120390072916682	-0.19771991423798407	0.43418776495509015	0.733443327511	0.46328808128102916	0.0	0.0	0.13283938053685534	1.0	0.7155060481452864	0.0	0.11823392535855304	0.11823392535855304	0.46328808128102916	True	0.8192614393629525	0.41263726792111355	0.8398055030558988	0.40101744745802914	0.7817402807788522	0.7817402807788518	0.7106877203330506	0.733820250381907	KDM1A	0.0	0.0	-2.167335634799461	0.0003849877126404	2241.0	21543.0	3.0	4.0	-1.0	edger_only	wald
VEZF1	edger_only	wald	2	2	2	gse111151,gse240112			False	True	True		0.4347521865930855	0.6935089711827975	-0.9245004198806239	1.7940047930667948	0.6268876174040032	0.5307329046279154	0.890976132129901	0.8909761321184146	13.408898187813753	1.0	0.0002504334718664767	92.54226569556015	0.17622158310149974	0.43475218659283704	0.5307329046256946	False	1.1028423613255738	0.2700956283696728	1.3953996006048062	0.16289537170564805	0.7817402807788522	0.7817402807788518	0.7106877203330506	0.6515814868225922	VEZF1	1.0	1.0	-1.602445388833546	0.0372575660229722	1138.0	6962.0	1.0	5.0	-4.0	edger_only	wald
TLK2	edger_only	wald	2	2	2	gse111151,gse240112			False	True	True		0.06926389741627836	0.12177240473561891	-0.16940563017636942	0.3079334250089262	0.5687979765748882	0.5694932479897512	0.0	0.0	0.0028975720802213493	1.0	0.9570713241332102	0.0	0.06926389741627836	0.06926389741627836	0.5694932479897512	True	0.6062053102054645	0.5443784270255106	0.574719839586731	0.5654807875197527	0.7817402807788522	0.7817402807788518	0.7106877203330506	0.733820250381907	TLK2	0.0	0.0	-1.848198303730188	0.0016758310698192	2726.0	29732.0	3.0	6.0	-3.0	edger_only	wald
ICK	edger_only	wald	2	2	2	gse111151,gse240112			False	True	True		0.013224461280366888	0.25003875016134763	-0.47684248377528315	0.5032914063360169	0.05288964719201831	0.9578198331960068	0.06144952107716608	0.061449521077166266	1.798532683643463	1.0	0.17988998754159247	44.3991199551513	-0.052049937844760245	0.013224461280367007	0.9578198331960065	False	-0.015234270752394082	0.9878452807240223	0.1343785296152732	0.8931032585236302	0.9578198331960067	0.9578198331960065	0.9878452807240223	0.8931032585236302	ICK	0.0	0.0	-1.2245539921905229	0.0372575660229722	2584.0	28826.0	3.0	7.0	-4.0	edger_only	wald
TSR3	edger_only	wald	2	2	2	gse111151,gse240112			False	True	True		-0.09043576244300679	0.24912548727643122	-0.5787127451358035	0.3978412202497899	-0.36301288732717535	0.7165952573806145	0.04426613570503232	0.04426613570503272	1.484242253121648	1.0	0.22311196021117696	32.62555368594264	-0.05363283743012935	-0.090435762443007	0.7165952573806141	False	-0.49047372619962176	0.6237987173716524	-0.6054113886021413	0.5449056858060215	0.7817402807788522	0.7817402807788518	0.7106877203330506	0.733820250381907									8.0		edger_only	wald
CTDNEP1	edger_only	wald	2	2	2	gse111151,gse240112			False	True	True		-0.0666891663373124	0.17465377155449308	-0.409004268348205	0.2756259356735802	-0.38183639404835273	0.7025827218868032	0.0	0.0	0.04070257241386603	1.0	0.8401131214573836	0.0	-0.0666891663373124	-0.0666891663373124	0.7025827218868032	True	-0.45172966648127794	0.6514637436386297	-0.4592512110523274	0.6460537791909987	0.7817402807788522	0.7817402807788518	0.7106877203330506	0.733820250381907									9.0		edger_only	wald
PET117	edger_only	wald	2	2	2	gse111151,gse240112			False	True	True		-0.08828600723337034	0.2016216797857343	-0.483457238115877	0.30688522364913634	-0.4378795342206894	0.6614736120931219	0.0	0.0	0.4136286068582812	1.0	0.5201334899019554	0.0	-0.08828600723337034	-0.08828600723337034	0.6614736120931219	False	-0.5023539352272687	0.6154185760477405	-0.5617956692868867	0.5742552430727661	0.7817402807788522	0.7817402807788518	0.7106877203330506	0.733820250381907									10.0		edger_only	wald
EIF4ENIF1	edger_only	wald	2	2	2	gse111151,gse240112			False	True	True		-0.07531773139683123	0.13031441099087343	-0.33072928360549375	0.18009382081183128	-0.5779693191576956	0.5632848333183681	0.0	0.0	0.4366728177221555	1.0	0.5087327316782536	0.0	-0.07531773139683123	-0.07531773139683123	0.5632848333183681	False	-0.5142312004149312	0.6070903564030039	-0.4224884041909692	0.6726685628500815	0.7817402807788522	0.7817402807788518	0.7106877203330506	0.733820250381907	EIF4ENIF1	0.0	1.0	-1.5506541534723943	0.0372575660229722	2536.0	27255.0	3.0	11.0	-8.0	edger_only	wald
HMGB1	edger_only	wald	2	2	2	gse111151,gse240112			False	True	True		-0.13439384703215443	0.18621746514285098	-0.4993733720044853	0.2305856779401764	-0.7217037721411272	0.4704766224229566	0.0	0.0	0.002262608143614915	1.0	0.9620614274760206	0.0	-0.13439384703215443	-0.13439384703215443	0.4704766224229566	True	-0.7722153776627727	0.43998687518737023	-0.7394495813686331	0.45963404456773604	0.7817402807788522	0.7817402807788518	0.7106877203330506	0.733820250381907	HMGB1	0.0	0.0	-1.4740651006700034	0.0372575660229722	2690.0	23022.0	3.0	12.0	-9.0	edger_only	wald
USP17L29	edger_only	wald	2	0	0		gse111151,gse240112		False	False	True	not tested in gse111151,gse240112																									USP17L29	0.0	0.0	-2.1448239489713394	0.0280336431249791		37490.0	3.0			edger_only	wald
