gene_symbol	dataset	dataset_key	engine	se_variant	alpha_name	alpha	alpha_definition	target_power	tested_in_dataset	n_biological_units	pseudoreplicated	group_confounded_with_biobank	dataset_caveat	external_reference_abs_log2fc	external_reference_dataset	post_freeze_exploratory	observed_log2fc	observed_abs_log2fc	se	df_total	dispersion_proxy	observed_p_value	observed_fdr	mde80	observed_abs_log2fc_below_mde80	mde80_exceeds_external_reference_effect	power_interpretation	not_tested_reason
CTDNEP1	GSE111151	gse111151	edgeR_glmQLF	wald	bonferroni_13	0.0038461538461538464	Bonferroni across the 13-candidate family, 0.05/13	0.8	True	4	False	False	4 cell lines, each resistant subline compared within its own cell line	0.354663041745843	GSE118713	True	-0.0440235942969099	0.0440235942969099	0.207666693520496	11.3294259899688	3.00848779700273	0.802268756238586	0.946275269708185	0.9533624588486114	1.0	1.0	null_uninformative_observed_effect_below_mde80	
CTDNEP1	GSE111151	gse111151	edgeR_glmQLF	wald	nominal_0.05	0.05	fixed nominal alpha = 0.05, per-gene type-I error	0.8	True	4	False	False	4 cell lines, each resistant subline compared within its own cell line	0.354663041745843	GSE118713	True	-0.0440235942969099	0.0440235942969099	0.207666693520496	11.3294259899688	3.00848779700273	0.802268756238586	0.946275269708185	0.6374019103747781	1.0	1.0	null_uninformative_observed_effect_below_mde80	
CTDNEP1	GSE111151	gse111151	edgeR_glmQLF	wald	observed_bh_threshold	7.52279464143052e-05	largest nominal p-value that attained BH FDR <= 0.05 in this dataset; DESCRIPTIVE ONLY -- outcome-dependent, not a prospective design alpha, and not equivalent to FDR control	0.8	True	4	False	False	4 cell lines, each resistant subline compared within its own cell line	0.354663041745843	GSE118713	True	-0.0440235942969099	0.0440235942969099	0.207666693520496	11.3294259899688	3.00848779700273	0.802268756238586	0.946275269708185	1.5043029208342769	1.0	1.0	null_uninformative_observed_effect_below_mde80	
CTDNEP1	GSE118713	gse118713	limma_eBayes_log2TPM1	wald	bonferroni_13	0.0038461538461538464	Bonferroni across the 13-candidate family, 0.05/13	0.8	True	1	True	False	3 replicates per arm of a single MCF7/TAMR lineage; replicates are not independent biological units, so this dataset's p-values and SEs are anticonservative by an unidentifiable factor	0.121467789229156	GSE240112	True	-0.354663041745843	0.354663041745843	0.217653424127937	10.2816586136819	6.42126992467915	0.133428690802711	0.25349742818574	1.023187995852698	1.0	1.0	null_uninformative_observed_effect_below_mde80	
CTDNEP1	GSE118713	gse118713	limma_eBayes_log2TPM1	wald	nominal_0.05	0.05	fixed nominal alpha = 0.05, per-gene type-I error	0.8	True	1	True	False	3 replicates per arm of a single MCF7/TAMR lineage; replicates are not independent biological units, so this dataset's p-values and SEs are anticonservative by an unidentifiable factor	0.121467789229156	GSE240112	True	-0.354663041745843	0.354663041745843	0.217653424127937	10.2816586136819	6.42126992467915	0.133428690802711	0.25349742818574	0.6748062270423101	1.0	1.0	null_uninformative_observed_effect_below_mde80	
CTDNEP1	GSE118713	gse118713	limma_eBayes_log2TPM1	wald	observed_bh_threshold	0.01512778116206	largest nominal p-value that attained BH FDR <= 0.05 in this dataset; DESCRIPTIVE ONLY -- outcome-dependent, not a prospective design alpha, and not equivalent to FDR control	0.8	True	1	True	False	3 replicates per arm of a single MCF7/TAMR lineage; replicates are not independent biological units, so this dataset's p-values and SEs are anticonservative by an unidentifiable factor	0.121467789229156	GSE240112	True	-0.354663041745843	0.354663041745843	0.217653424127937	10.2816586136819	6.42126992467915	0.133428690802711	0.25349742818574	0.8347484585679347	1.0	1.0	null_uninformative_observed_effect_below_mde80	
CTDNEP1	GSE240112	gse240112	edgeR_glmQLF	wald	bonferroni_13	0.0038461538461538464	Bonferroni across the 13-candidate family, 0.05/13	0.8	True	6	False	True	group is perfectly confounded with biobank at n = 3 vs 3; no weighting scheme separates recurrence from biobank, so this dataset's effect is not attributable to recurrence alone	0.354663041745843	GSE118713	True	-0.121467789229156	0.121467789229156	0.322841280317742	9.15889485541321	5.80608920691971	0.69769767798679	0.796356321458072	1.567316735340687	1.0	1.0	null_uninformative_observed_effect_below_mde80	
CTDNEP1	GSE240112	gse240112	edgeR_glmQLF	wald	nominal_0.05	0.05	fixed nominal alpha = 0.05, per-gene type-I error	0.8	True	6	False	True	group is perfectly confounded with biobank at n = 3 vs 3; no weighting scheme separates recurrence from biobank, so this dataset's effect is not attributable to recurrence alone	0.354663041745843	GSE118713	True	-0.121467789229156	0.121467789229156	0.322841280317742	9.15889485541321	5.80608920691971	0.69769767798679	0.796356321458072	1.0145822815202372	1.0	1.0	null_uninformative_observed_effect_below_mde80	
CTDNEP1	GSE240112	gse240112	edgeR_glmQLF	wald	observed_bh_threshold	0.0144284705853847	largest nominal p-value that attained BH FDR <= 0.05 in this dataset; DESCRIPTIVE ONLY -- outcome-dependent, not a prospective design alpha, and not equivalent to FDR control	0.8	True	6	False	True	group is perfectly confounded with biobank at n = 3 vs 3; no weighting scheme separates recurrence from biobank, so this dataset's effect is not attributable to recurrence alone	0.354663041745843	GSE118713	True	-0.121467789229156	0.121467789229156	0.322841280317742	9.15889485541321	5.80608920691971	0.69769767798679	0.796356321458072	1.2754685860381225	1.0	1.0	null_uninformative_observed_effect_below_mde80	
EIF4ENIF1	GSE111151	gse111151	edgeR_glmQLF	wald	bonferroni_13	0.0038461538461538464	Bonferroni across the 13-candidate family, 0.05/13	0.8	True	4	False	False	4 cell lines, each resistant subline compared within its own cell line	0.53145903933498	GSE118713	True	-0.128950200396878	0.128950200396878	0.15352206376331	11.3297225287149	4.1433412528424	0.321816876485056	0.72170580070892	0.7047894270513617	1.0	1.0	null_uninformative_observed_effect_below_mde80	
