candidate	paper_title	PMID	DOI	year	journal	review_or_primary	fully_verified_primary_text	first_claim_id_citing_this_reference	verification_status
CITED2	Physical and Functional Interactions among AP-2 Transcription Factors, p300/CREB-binding Protein, and CITED2	12586840	10.1074/jbc.M208144200	2003	Journal of Biological Chemistry	primary	False	CITED2-06	bibliographic identity verified (PMID/DOI/journal/year); narrative content from secondary aggregation, primary full text paywalled/blocked
CITED2	Structural basis for negative regulation of hypoxia-inducible factor-1alpha by CITED2	12778114	10.1038/nsb936	2003	Nature Structural Biology	primary	True	CITED2-07	full text fetched and quote-verified
CITED2	FOXO3a is activated in response to hypoxic stress and inhibits HIF1-induced apoptosis via regulation of CITED2	18158893	10.1016/j.molcel.2007.10.035	2007	Molecular Cell	primary	False	CITED2-08	bibliographic identity verified (PMID/DOI/journal/year); narrative content from secondary aggregation, primary full text paywalled/blocked
CITED2	A role for CITED2, a CBP/p300 interacting protein, in colon cancer cell invasion	18054336	10.1016/j.febslet.2007.11.072	2007	FEBS Letters	primary	False	CITED2-13	bibliographic identity verified (PMID/DOI/journal/year); narrative content from secondary aggregation, primary full text paywalled/blocked
CITED2	CITED2 and NCOR2 in anti-oestrogen resistance and progression of breast cancer	19904269	10.1038/sj.bjc.6605423	2009	British Journal of Cancer	primary	True	CITED2-01	full text fetched and quote-verified
CITED2	CITED2 functions as a molecular switch of cytokine-induced proliferation and quiescence	22814619	10.1038/cdd.2012.91	2012	Cell Death & Differentiation	primary	True	CITED2-09	full text fetched and quote-verified
CITED2	CITED2 Modulates Estrogen Receptor Transcriptional Activity in Breast Cancer Cells	23811274	10.1016/j.bbrc.2013.06.063	2013	Biochemical and Biophysical Research Communications	primary	True	CITED2-02	full text fetched and quote-verified
CITED2	CITED2 is a novel direct effector of peroxisome proliferator-activated receptor gamma in suppressing hepatocellular carcinoma cell growth	23212831	10.1002/cncr.27865	2013	Cancer	primary	False	CITED2-14	bibliographic identity verified (PMID/DOI/journal/year); narrative content from secondary aggregation, primary full text paywalled/blocked
CITED2	Acute Loss of Cited2 Impairs Nanog Expression and Decreases Self-Renewal of Mouse Embryonic Stem Cells	25377420	10.1002/stem.1889	2015	Stem Cells	primary	True	CITED2-15	full text fetched and quote-verified
CITED2	CITED2 in breast carcinoma as a potent prognostic predictor associated with proliferation, migration and chemoresistance	27627783	10.1111/cas.13081	2016	Cancer Science	primary	True	CITED2-03	full text fetched and quote-verified
