gene	crispr_effect	crispr_p	crispr_fdr	crispr_testable	crispr_direction	gse118713_log2fc	gse118713_p	gse118713_fdr	gse118713_testable	gse118713_direction	gse245601_epi_log2fc	gse245601_epi_p	gse245601_epi_fdr	gse245601_malignant_log2fc	gse245601_malignant_p	gse245601_malignant_fdr	gse245601_testable	gse245601_track_direction_agreement	gse240112_tumor_log2fc	gse240112_tumor_p	gse240112_tumor_fdr	gse240112_epi_log2fc	gse240112_epi_p	gse240112_epi_fdr	gse240112_testable	gse240112_track_direction_agreement	gse240112_outlier_fragility	gse111151_log2fc	gse111151_p	gse111151_fdr	gse111151_testable	crispr_evidence_percentile	gse118713_evidence_percentile	gse245601_track_a_percentile	gse245601_track_b_percentile	gse245601_evidence_percentile	gse245601_one_track_only	gse240112_tumor_percentile	gse240112_epi_percentile	gse240112_evidence_percentile	gse111151_evidence_percentile	n_datasets_testable	coverage_tier	n_datasets_fdr05	n_datasets_nominal_p05	n_datasets_top10pct	n_datasets_top20pct	median_evidence_percentile	equal_dataset_mean_percentile	min_evidence_percentile	max_evidence_percentile	resistance_datasets_testable	resistance_up_count	resistance_down_count	resistance_fdr05_count	resistance_nominal_p05_count	resistance_top10pct_count	resistance_top20pct_count	resistance_median_percentile	resistance_direction_consensus	evidence_category	global_rank
ACOT4	-0.2027664207368866	0.50379076865777	0.9027184379663842	True	sensitising_KO	-2.73798348038228	8.0343327757776e-09	9.31354919742094e-07	True	down_in_TAMR	-0.0135487934381833	0.934313282311499	0.981222570693806	0.265740221107933	0.222192753994066	0.645261665689011	True	False	-12.498299569898	2.06418304115211e-07	2.25081450191427e-05	-13.6437616089056	3.78745050037417e-08	7.0418781505122e-06	True	True	False	-0.753925815955073	0.0140550645770441	0.27634464000639	True	0.4419432520154958	0.9916326530612244	0.0483153563883019	0.6561823690665127	0.3522488627274073	False	0.9908829435068106	0.9946706143597336	0.9908829435068106	0.9489640858381824	5	A	2	3	3	3	0.9489640858381824	0.7451343594298241	0.3522488627274073	0.9916326530612244	3	0	3	2	3	3	3	0.9908829435068106	all_down	RNA_RESISTANCE_CONSENSUS	131.0
CITED2	-1.4953555271062804	0.0001957008133862	0.109955077591718	True	sensitising_KO	-0.0712402035096886	0.827083171330202	0.895048558224723	True	down_in_TAMR	0.19690414713124	0.070506161673923	0.402857156934197	0.046714761965582	0.806113319999418	0.936726651731093	True	True	1.55383256440471	0.0013388731604333	0.0087275396535076	1.28571042368648	0.0069731207332922	0.0295642813349166	True	True	False	0.692687178856127	0.244471168774896	0.662311130855006	True	0.9982724322060518	0.0755102040816326	0.8250305793394863	0.1394459673928726	0.4822382733661794	False	0.8466380854181365	0.7641746854182088	0.8466380854181365	0.6304807086468256	5	A	1	2	1	2	0.6304807086468256	0.6066279407437651	0.0755102040816326	0.9982724322060518	3	2	1	1	1	0	1	0.6304807086468256	majority_up	RNA_RESISTANCE_CONSENSUS	2073.0
CTDNEP1	-1.3929700500469568	9.053999047143436e-05	0.0691834175190324	True	sensitising_KO	-0.354663041745843	0.133428690802711	0.25349742818574	True	down_in_TAMR	0.15110673769838	0.106340177230712	0.462797185542904	0.304676723801525	0.0774339615916268	0.560098840484709	True	True	-0.121467789229156	0.69769767798679	0.796356321458072	-0.0499886148469966	0.853252982817966	0.907015813656905	True	True	False	-0.0440235942969099	0.802268756238586	0.946275269708185	True	0.9987435870589468	0.4725850340136054	0.7702657622595352	0.8623575241667869	0.8163116432131611	False	0.1238942855592337	0.0593140883296323	0.1238942855592337	0.151995848930729	5	A	0	1	1	2	0.4725850340136054	0.5127060797551353	0.1238942855592337	0.9987435870589468	3	0	3	0	0	0	0	0.151995848930729	all_down	FUNCTIONAL_ONLY	5045.0
CUX1	1.2655384098421134	4.945480305157648e-05	0.044987385842584	True	tolerance_associated_KO	-0.899390794469496	7.34075335107767e-05	0.0007915850161576	True	down_in_TAMR	-0.0635570551072721	0.491953793044081	0.80228969354788	-0.253893522732994	0.15024954813718	0.600089163303291	True	True	-0.977593527385808	0.0080710346236776	0.0325811667130628	-0.841084624454655	0.0290456382698598	0.0846718793407622	True	True	False	-0.473959264701485	0.0325238713726489	0.353075674922462	True	0.9989529892157888	0.9071428571428573	0.3870788390970755	0.7496753715192612	0.5683771053081683	False	0.7523199652683562	0.6569948186528498	0.7523199652683562	0.9077128349579332	5	A	3	4	3	3	0.9071428571428573	0.8269011503786208	0.5683771053081683	0.9989529892157888	3	0	3	2	3	2	2	0.9071428571428573	all_down	MULTIMODAL_STRONG	10.0
DCAF7	-1.069272925769825	0.0001928218107752	0.109955077591718	True	sensitising_KO	-0.172147185617008	0.357137063431644	0.509832571406458	True	down_in_TAMR	0.0211389618474836	0.800490796246867	0.938373618190138	-0.134619730739771	0.415248722241137	0.760586874502459	True	False	0.699436897661634	0.0220163842611892	0.0679397787747824	0.76038186378687	0.0091431031576592	0.0359964564831106	True	True	False	-0.171723746471453	0.265590703354805	0.682415585262386	True	0.9983247827452624	0.2987074829931972	0.1469476259312798	0.4541913143846486	0.3005694701579642	False	0.6760188853313074	0.7461139896373057	0.6760188853313074	0.6105036877802898	5	A	0	2	1	1	0.6105036877802898	0.5768248618016042	0.2987074829931972	0.9983247827452624	3	1	2	0	1	0	0	0.6105036877802898	majority_down	LOW_EVIDENCE	5226.0
DLX2	-0.2546725733009047	0.4460204199151314	0.8882857432844812	True	sensitising_KO	4.09946036442767	5.13708292620808e-10	1.5607939994064e-07	True	up_in_TAMR	-0.440992832334232	0.0452973666648279	0.342914029545564	-0.0633404747241631	0.853899634377582	0.954062466342356	True	True	4.11274557481225	3.18664948271758e-06	0.0001188736369787	3.76765746513206	8.79028578483835e-07	4.52141958668868e-05	True	True	False	2.63376720995289	0.0002024102431213	0.0681580293592368	True	0.498586535441315	0.9968027210884354	0.8679528522183921	0.1050353484345693	0.4864941003264807	False	0.9732457806479622	0.9806069578090304	0.9732457806479622	0.9971090767577184	5	A	2	4	3	3	0.9732457806479622	0.7904476428523823	0.4864941003264807	0.9971090767577184	3	3	0	2	3	3	3	0.9968027210884354	all_up	RNA_RESISTANCE_CONSENSUS	100.0
DMRTA1	-0.0478186965360958	0.8743604206751495	0.98463570784176	True	sensitising_KO	1.66612525298514	1.35847909609319e-07	6.69671522519295e-06	True	up_in_TAMR	0.129659114117763	0.515854009311112	0.814823361441527				True		1.45784459213153	0.0004743945443765	0.0040680049622012	1.35484220100488	0.0002233534976073	0.0022785583079383	True	True	False	2.31285987676122	1.84547553514192e-05	0.0252996241112606	True	0.1125536593026907	0.98	0.3669520738352051		0.3669520738352051	True	0.8834319205513649	0.9020478657784358	0.8834319205513649	0.999295800748675	5	A	3	3	2	3	0.8834319205513649	0.6684466908875871	0.1125536593026907	0.999295800748675	3	3	0	3	3	2	3	0.98	all_up	RNA_RESISTANCE_CONSENSUS	15.0
DOT1L	-1.2987922672008398	0.0001589866545259	0.1013040488730637	True	sensitising_KO	-0.222677200752233	0.359135303352915	0.511585378835801	True	down_in_TAMR	0.0343369384455433	0.726589706985351	0.911187970406854	-0.36992992260982	0.073519406391694	0.555923915141495	True	False	-0.256225018163554	0.387038564167701	0.530778960462317	0.209569145408852	0.508409034976531	0.643722198102861	True	False	False	-0.11925573910874	0.558273130140188	0.850830097115613	True	0.9985341849021044	0.2973469387755102	0.202602023796286	0.8682008368200836	0.5354014303081849	False	0.2708525533185	0.2102146558105107	0.2708525533185	0.3429820985137689	5	A	0	1	1	1	0.3429820985137689	0.4890234411636136	0.2708525533185	0.9985341849021044	3	0	3	0	0	0	0	0.2973469387755102	all_down	LOW_EVIDENCE	5919.0
DPP9	1.3751072314321586	3.712159796876289e-05	0.0416851803622835	True	tolerance_associated_KO	-1.04265717095817	0.0002526278697883	0.0021070783203592	True	down_in_TAMR	-0.0106261465606046	0.896451481668324	0.971353783178804	0.148474471764936	0.404850898915782	0.755226786100859	True	False	0.109543831770581	0.705189268990129	0.801863890967389	0.259616241395649	0.352358979227488	0.502420817070589	True	True	False	0.0421912603365501	0.830870980509648	0.953611308284714	True	0.9991623913726312	0.8797959183673469	0.077115534304459	0.4640744481315827	0.2705949912180209	False	0.1205839257611114	0.2986923266716013	0.1205839257611114	0.1284237055705867	5	A	2	2	1	2	0.2705949912180209	0.4797121864579393	0.1205839257611114	0.9991623913726312	3	2	1	1	1	0	1	0.1284237055705867	majority_up	MULTIMODAL_STRONG	1090.0
DSCAM	0.1416794853666481	0.6383431224296444	0.9393212654270142	True	tolerance_associated_KO	-3.72818900802547	1.3968974477474201e-09	2.96121328551601e-07	True	down_in_TAMR	-0.580994115008457	0.15681327020301	0.52919330040179				True		-9.8866293305472	1.59224079810531e-09	1.92761230897756e-06	-9.48553996658149	1.6043644575785601e-09	2.11788324823606e-06	True	True	False	-2.30567151097129	0.025818305956794	0.330119657609586	True	0.3204376505078002	0.9954421768707484	0.7037139997776047		0.7037139997776047	True	0.9992402452922342	0.9993091537132988	0.9992402452922342	0.921537378154998	5	A	2	3	3	3	0.921537378154998	0.7880742901206771	0.3204376505078002	0.9992402452922342	3	0	3	2	3	3	3	0.9954421768707484	all_down	RNA_RESISTANCE_CONSENSUS	185.0
