gene	global_rank	archetype	axis_a_functional	axis_b_resistance	axis_c_human	evidence_category
CUX1	10.0	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	STRONG	VERY_STRONG	STRONG	MULTIMODAL_STRONG
SOX2	16.0	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	STRONG	VERY_STRONG	STRONG	MULTIMODAL_STRONG
TFAP2C	272.0	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	STRONG	STRONG	WEAK	MULTIMODAL_STRONG
USP34	994.0	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	STRONG	STRONG	NO_EVIDENCE	MULTIMODAL_STRONG
DPP9	1090.0	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	STRONG	STRONG	NO_EVIDENCE	MULTIMODAL_STRONG
VEZF1	1138.0	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	STRONG	STRONG	STRONG	MULTIMODAL_STRONG
LZTR1	1173.0	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	STRONG	STRONG	NO_EVIDENCE	MULTIMODAL_STRONG
KDM1A	2241.0	C_FUNCTIONAL_ONLY	VERY_STRONG	NO_EVIDENCE	WEAK	FUNCTIONAL_ONLY
SUPT4H1	2518.0	C_FUNCTIONAL_ONLY	STRONG	NO_EVIDENCE	NO_EVIDENCE	FUNCTIONAL_ONLY
EIF4ENIF1	2536.0	C_FUNCTIONAL_ONLY	STRONG	NO_EVIDENCE	NO_EVIDENCE	FUNCTIONAL_ONLY
ICK	2584.0	C_FUNCTIONAL_ONLY	STRONG	NO_EVIDENCE	NO_EVIDENCE	FUNCTIONAL_ONLY
HMGB1	2690.0	C_FUNCTIONAL_ONLY	STRONG	NO_EVIDENCE	NO_EVIDENCE	FUNCTIONAL_ONLY
TLK2	2726.0	C_FUNCTIONAL_ONLY	VERY_STRONG	NO_EVIDENCE	NO_EVIDENCE	FUNCTIONAL_ONLY
TADA2B	2729.0	C_FUNCTIONAL_ONLY	STRONG	NO_EVIDENCE	NO_EVIDENCE	FUNCTIONAL_ONLY
PET117	2790.0	C_FUNCTIONAL_ONLY	STRONG	NO_EVIDENCE	NO_EVIDENCE	FUNCTIONAL_ONLY
USP17L29		C_FUNCTIONAL_ONLY	STRONG	NO_EVIDENCE	NO_EVIDENCE	LOW_COVERAGE
GREB1	1.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	VERY_STRONG	RNA_RESISTANCE_CONSENSUS
LARP6	2.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	VERY_STRONG	RNA_RESISTANCE_CONSENSUS
EPAS1	6.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
LAMB3	13.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
DMRTA1	15.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
HLA-DQB1	20.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
SUSD3	31.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
GFRA1	49.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
PDGFC	53.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
SPRY4	99.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
DLX2	100.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
IL20	101.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
SULF1	120.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
EYA2	125.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
ACOT4	131.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
GJB2	151.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
DSCAM	185.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
EML5	256.0	D_RESISTANCE_BIOMARKER_PATHWAY	WEAK	VERY_STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
CITED2	2073.0	D_RESISTANCE_BIOMARKER_PATHWAY	WEAK	STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
TIPARP	2102.0	D_RESISTANCE_BIOMARKER_PATHWAY	WEAK	STRONG	NO_EVIDENCE	RNA_RESISTANCE_CONSENSUS
MBTPS2	2104.0	D_RESISTANCE_BIOMARKER_PATHWAY	WEAK	STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
SPRED2	2484.0	D_RESISTANCE_BIOMARKER_PATHWAY	MODERATE	STRONG	STRONG	HUMAN_TUMOR_SUPPORTED
GABBR2	11094.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
SLC4A10	11095.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
MALRD1	11099.0	D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	VERY_STRONG	STRONG	RNA_RESISTANCE_CONSENSUS
SPINK13		D_RESISTANCE_BIOMARKER_PATHWAY	NO_EVIDENCE	STRONG	NO_EVIDENCE	LOW_COVERAGE
TAF6L	4960.0	H_LOW_INSUFFICIENT_EVIDENCE	WEAK	NO_EVIDENCE	WEAK	LOW_EVIDENCE
CTDNEP1	5045.0	H_LOW_INSUFFICIENT_EVIDENCE	MODERATE	NO_EVIDENCE	WEAK	FUNCTIONAL_ONLY
DCAF7	5226.0	H_LOW_INSUFFICIENT_EVIDENCE	WEAK	NO_EVIDENCE	NO_EVIDENCE	LOW_EVIDENCE
TSR3	5449.0	H_LOW_INSUFFICIENT_EVIDENCE	MODERATE	NO_EVIDENCE	NO_EVIDENCE	FUNCTIONAL_ONLY
SYNCRIP	5904.0	H_LOW_INSUFFICIENT_EVIDENCE	WEAK	NO_EVIDENCE	NO_EVIDENCE	LOW_EVIDENCE
DOT1L	5919.0	H_LOW_INSUFFICIENT_EVIDENCE	WEAK	NO_EVIDENCE	NO_EVIDENCE	LOW_EVIDENCE
MRGBP	5971.0	H_LOW_INSUFFICIENT_EVIDENCE	WEAK	NO_EVIDENCE	NO_EVIDENCE	LOW_EVIDENCE
F8A3		H_LOW_INSUFFICIENT_EVIDENCE	WEAK	NO_EVIDENCE	WEAK	LOW_COVERAGE
NPAP1		H_LOW_INSUFFICIENT_EVIDENCE	NO_EVIDENCE	MODERATE	NO_EVIDENCE	LOW_COVERAGE
