gene	candidate_group	global_rank	rank_without_crispr	rank_without_gse118713	rank_without_gse245601	rank_without_gse240112	rank_without_gse111151	median_alternate_rank	best_rank	worst_rank	rank_range	n_top20_appearances_of_9_schemes	stability_label	note
GREB1	top10_resistance_rna	1.0	1.0	2.0	65.0	1.0	2.0	1.5	1.0	65.0	64.0	9.0	MODERATELY_STABLE	
EPAS1	top10_resistance_rna	6.0	4.0	22.0	1.0	22.0	551.0	15.0	1.0	834.0	833.0	5.0	DATASET_DEPENDENT	
CUX1	MULTIMODAL_STRONG	10.0	428.0	15.0	3.0	7.0	14.0	14.5	3.0	428.0	425.0	6.0	MODERATELY_STABLE	
LAMB3	top10_resistance_rna	13.0	14.0	24.0	4.0	14.0	629.0	20.0	4.0	629.0	625.0	5.0	MODERATELY_STABLE	
DMRTA1	top10_resistance_rna	15.0	13.0	30.0	5.0	23.0	969.0	26.5	5.0	2068.0	2063.0	4.0	DATASET_DEPENDENT	
SOX2	MULTIMODAL_STRONG	16.0	902.0	16.0	7.0	35.0	10.0	28.0	7.0	1013.0	1006.0	4.0	MODERATELY_STABLE	
HLA-DQB1	top10_resistance_rna	20.0	17.0	27.0	8.0	36.0	1272.0	31.5	8.0	1272.0	1264.0	4.0	DATASET_DEPENDENT	
SUSD3	top10_resistance_rna	31.0	24.0	47.0	58.0	57.0	41.0	34.5	5.0	58.0	53.0	3.0	DATASET_DEPENDENT	
GFRA1	top10_resistance_rna	49.0	44.0	123.0	24.0	131.0	172.0	46.5	2.0	172.0	170.0	1.0	DATASET_DEPENDENT	
SPRY4	top10_resistance_rna	99.0	45.0	185.0	59.0	178.0	238.0	79.0	22.0	238.0	216.0	0.0	DATASET_DEPENDENT	
TFAP2C	MULTIMODAL_STRONG	272.0	1803.0	542.0	283.0	13.0	308.0	332.0	13.0	1803.0	1790.0	1.0	DATASET_DEPENDENT	
USP34	MULTIMODAL_STRONG	994.0	3303.0	1423.0	938.0	34.0	949.0	1360.0	34.0	3404.0	3370.0	0.0	DATASET_DEPENDENT	
DPP9	MULTIMODAL_STRONG	1090.0	3883.0	1812.0	1059.0	39.0	998.0	1768.0	39.0	13612.0	13573.0	0.0	DATASET_DEPENDENT	
VEZF1	MULTIMODAL_STRONG	1138.0	4053.0	35.0	1089.0	1281.0	1062.0	1229.0	35.0	4053.0	4018.0	0.0	DATASET_DEPENDENT	
LZTR1	MULTIMODAL_STRONG	1173.0	4774.0	1718.0	1125.0	43.0	1156.0	1603.5	43.0	5994.0	5951.0	0.0	DATASET_DEPENDENT	
KDM1A	top10_crispr_sensitising	2241.0	6467.0	977.0	2724.0	1005.0	1939.0	3753.5	977.0	12871.0	11894.0	0.0	DATASET_DEPENDENT	
SUPT4H1	top10_crispr_sensitising	2518.0	9907.0	1328.0	2684.0	1772.0	2204.0	2966.0	1328.0	9907.0	8579.0	0.0	DATASET_DEPENDENT	
EIF4ENIF1	top10_crispr_sensitising	2536.0	7244.0	1522.0	2364.0	1343.0	2254.0	2956.5	1343.0	7244.0	5901.0	0.0	DATASET_DEPENDENT	
ICK	top10_crispr_sensitising	2584.0	8435.0	1449.0	2614.0	1472.0	2498.0	3116.5	1449.0	8435.0	6986.0	0.0	DATASET_DEPENDENT	
HMGB1	top10_crispr_sensitising	2690.0	10246.0	1671.0	2714.0	1678.0	2575.0	3503.5	1671.0	10665.0	8994.0	0.0	DATASET_DEPENDENT	
TLK2	top10_crispr_sensitising	2726.0	10341.0	1672.0	2721.0	1679.0	2556.0	3644.5	1672.0	11580.0	9908.0	0.0	DATASET_DEPENDENT	
TADA2B	top10_crispr_sensitising	2729.0	10333.0	1723.0	2720.0	1780.0	2524.0	3654.0	1723.0	11694.0	9971.0	0.0	DATASET_DEPENDENT	
GABBR2	top10_resistance_rna	11094.0	11448.0	12252.0	2.0	11312.0	11177.0	5642.5	2.0	12252.0	12250.0	3.0	DATASET_DEPENDENT	
SLC4A10	top10_resistance_rna	11095.0	11449.0	12256.0	6.0	11311.0	11226.0	5985.0	6.0	12256.0	12250.0	2.0	DATASET_DEPENDENT	
USP17L29	top10_crispr_sensitising													not in primary ranking (LOW_COVERAGE)
