gene	candidate_archetype	crispr_effect	crispr_fdr	crispr_sensitising	gse118713_log2fc	gse118713_fdr	gse240112_log2fc	gse240112_fdr	gse111151_log2fc	gse111151_fdr	resistance_consensus	gse245601_acute_summary	human_tumor_summary	global_rank	resistance_rank	crispr_screen_rank	leave_one_out_stability	coverage_tier	evidence_category	main_strength	main_weakness
GREB1	D_RESISTANCE_BIOMARKER_PATHWAY	-0.3533095277586469	0.8163859673702398	True	-7.14538036307953	5.8250403645660415e-09	-8.12006079608	3.02304606892318e-06	-4.64120424333962	0.237051976177589	all_down	epi_fdr=0.0402, malig_fdr=0.421	significant	1.0	7	6039	MODERATELY_STABLE	A	RNA_RESISTANCE_CONSENSUS	2/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance
EPAS1	D_RESISTANCE_BIOMARKER_PATHWAY	0.149728728535667	0.9243328570351124	False	5.9473037686576	6.14437686554197e-08	7.49755691339593	5.33238730658102e-05	1.54018987568339	0.0163651497737581	all_up	epi_fdr=0.967, malig_fdr=0.658	significant	6.0	1	11740	DATASET_DEPENDENT	A	RNA_RESISTANCE_CONSENSUS	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
CUX1	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	1.2655384098421134	0.044987385842584	False	-0.899390794469496	0.0007915850161576	-0.977593527385808	0.0325811667130628	-0.473959264701485	0.353075674922462	all_down	epi_fdr=0.802, malig_fdr=0.6	significant	10.0	448	21	MODERATELY_STABLE	A	MULTIMODAL_STRONG	CRISPR FDR<0.05; 2/3 resistance datasets FDR<0.05; human-tumor support	CRISPR direction is tolerance-associated, not sensitising
LAMB3	D_RESISTANCE_BIOMARKER_PATHWAY	0.4263586672189277	0.7675762105551595	False	1.98623956140971	0.0001408773064495	3.67819351907871	0.0036152461254765	1.73734283578094	0.0215374992764131	all_up	epi_fdr=0.456, malig_fdr=0.914	significant	13.0	5	3032	MODERATELY_STABLE	A	RNA_RESISTANCE_CONSENSUS	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
DMRTA1	D_RESISTANCE_BIOMARKER_PATHWAY	-0.0478186965360958	0.98463570784176	True	1.66612525298514	6.69671522519295e-06	1.45784459213153	0.0040680049622012	2.31285987676122	0.0252996241112606	all_up	epi_fdr=0.815, malig_fdr=nan	significant	15.0	4	16953	DATASET_DEPENDENT	A	RNA_RESISTANCE_CONSENSUS	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance
SOX2	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	1.5125795984924384	0.012231538169301	False	0.689938479322989	0.009274260760025	7.44086437435914	5.59971704623335e-05	0.885804950531392	0.631863307812325	all_up	epi_fdr=0.694, malig_fdr=0.686	significant	16.0	705	7	MODERATELY_STABLE	A	MULTIMODAL_STRONG	CRISPR FDR<0.05; 2/3 resistance datasets FDR<0.05; human-tumor support	CRISPR direction is tolerance-associated, not sensitising
HLA-DQB1	D_RESISTANCE_BIOMARKER_PATHWAY	0.3161325155560064	0.92039532339481	False	1.42040464062219	0.0015561353400998	1.87792948687874	0.0027713887297057	1.95897568565374	0.0390633924740031	all_up	epi_fdr=0.893, malig_fdr=0.56	significant	20.0	6	11464	DATASET_DEPENDENT	A	RNA_RESISTANCE_CONSENSUS	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
SUSD3	D_RESISTANCE_BIOMARKER_PATHWAY	0.4434842670516028	0.7898456056467551	False	-3.49583799597967	9.68892137320034e-06	-15.4681824314526	5.64890743493613e-06	-3.06066943455664	0.0676240868322766	all_down	epi_fdr=0.0979, malig_fdr=0.526	significant	31.0	10	3854	DATASET_DEPENDENT	A	RNA_RESISTANCE_CONSENSUS	2/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
GFRA1	D_RESISTANCE_BIOMARKER_PATHWAY	0.6260486171656119	0.7893096654426276	False	-5.16472990661696	1.05059148724618e-08	-6.51163795906791	2.17061711993829e-05	-6.40699623334473	0.0647800261582162	all_down	epi_fdr=0.459, malig_fdr=0.837	significant	49.0	9	3733	DATASET_DEPENDENT	A	RNA_RESISTANCE_CONSENSUS	2/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
SPRY4	D_RESISTANCE_BIOMARKER_PATHWAY	0.3824885303119218	0.7909727675032434	False	5.07151582384541	4.06453741983047e-08	7.05023058575436	3.67892643880068e-06	1.80310779729195	0.202998506987195	all_up	epi_fdr=0.637, malig_fdr=0.929	significant	99.0	8	4010	DATASET_DEPENDENT	A	RNA_RESISTANCE_CONSENSUS	2/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
