gene	gse245601_percentile	median_percentile_with_gse245601	median_percentile_without_gse245601	shift
HRK	0.9985544312242856	0.923753188256363	0.7017467647909393	-0.22200642346542365
SYTL5	0.9970882144455708	0.9410884353741495	0.7582366059186736	-0.18285182945547596
MSMO1	0.99635785350805	0.8017006802721088	0.6698729857014523	-0.13182769457065657
MYBL1	0.9990621843889772	0.9828571428571428	0.8811101992407355	-0.10174694361640724
NEDD9	0.7369895681700397	0.7837922730604125	0.8707056603397301	0.08691338727931752
SOX2	0.5566068612046533	0.8161224489795919	0.8991883748669598	0.08306592588736794
DMRTA1	0.3669520738352051	0.8834319205513649	0.9317159602756824	0.048284039724317496
LARP6	0.9969900883007756	0.9904761904761904	0.9619924779518567	-0.028483712524333682
LAMB3	0.483363252615899	0.8877733760243122	0.9149411097808635	0.02716773375655135
WBP2	0.9952173842452016	0.7751020408163265	0.7543768737755047	-0.020725167040821835
GREB1	0.9976993199298648	0.9976993199298648	0.9805789651321216	-0.01712035479774321
FGD3	0.9941748285505824	0.915977384567061	0.9003696446644829	-0.015607739902578133
EPAS1	0.3600737339064098	0.98290551907527	0.9903643241634854	0.007458805088215392
C6orf141	0.9685135441674662	0.8972108843537415	0.8906470116130243	-0.006563872740717236
PLOD2	0.6610228216906325	0.9651977317371484	0.9716052526343578	0.006407520897209418
HLA-DQB1	0.5499938769927388	0.8889115646258503	0.8939320942465009	0.005020529620650582
MED13L	0.963859842061548	0.9223157036433044	0.9176076266086496	-0.004708077034654812
RUNX1	0.9843541762703812	0.8857654528680741	0.8847194611279146	-0.0010459917401595131
PTGER4	0.9933819861463292	0.8995918367346939	0.8985746886130754	-0.0010171481216184608
CUX1	0.5683771053081683	0.9071428571428573	0.9074278460503953	0.00028498890753803074
