gene	candidate_archetype	crispr_evidence	resistance_rna_evidence	human_evidence	global_evidence	dataset_stability
USP34	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	fdr=0.0417, sensitising_KO	1/3 FDR<0.05, all_up	none_FDR<0.05	rank 994/15,255, A	STRONG/STRONG/NO_EVIDENCE
VEZF1	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	fdr=0.0373, sensitising_KO	1/3 FDR<0.05, majority_up	GSE240112_sig	rank 1138/15,255, A	STRONG/STRONG/STRONG
CUX1	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	fdr=0.045, tolerance_associated_KO	2/3 FDR<0.05, all_down	GSE240112_sig	rank 10/15,255, A	STRONG/VERY_STRONG/STRONG
DPP9	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	fdr=0.0417, tolerance_associated_KO	1/3 FDR<0.05, majority_up	none_FDR<0.05	rank 1090/15,255, A	STRONG/STRONG/NO_EVIDENCE
LZTR1	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	fdr=0.0124, tolerance_associated_KO	1/3 FDR<0.05, all_up	none_FDR<0.05	rank 1173/15,255, A	STRONG/STRONG/NO_EVIDENCE
SOX2	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	fdr=0.0122, tolerance_associated_KO	2/3 FDR<0.05, all_up	GSE240112_sig	rank 16/15,255, A	STRONG/VERY_STRONG/STRONG
TFAP2C	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	fdr=0.0482, tolerance_associated_KO	1/3 FDR<0.05, all_down	none_FDR<0.05	rank 272/15,255, A	STRONG/STRONG/WEAK
KDM1A	C_FUNCTIONAL_ONLY	fdr=0.000385, sensitising_KO	0/3 FDR<0.05, all_up	none_FDR<0.05	rank 2241/15,255, A	VERY_STRONG/NO_EVIDENCE/WEAK
TLK2	C_FUNCTIONAL_ONLY	fdr=0.00168, sensitising_KO	0/3 FDR<0.05, majority_up	none_FDR<0.05	rank 2726/15,255, A	VERY_STRONG/NO_EVIDENCE/NO_EVIDENCE
TADA2B	C_FUNCTIONAL_ONLY	fdr=0.0146, sensitising_KO	0/3 FDR<0.05, all_up	none_FDR<0.05	rank 2729/15,255, A	STRONG/NO_EVIDENCE/NO_EVIDENCE
USP17L29	C_FUNCTIONAL_ONLY	fdr=0.028, sensitising_KO	0/3 FDR<0.05, insufficient	none_FDR<0.05	rank NA/15,255, E	STRONG/NO_EVIDENCE/NO_EVIDENCE
HMGB1	C_FUNCTIONAL_ONLY	fdr=0.0373, sensitising_KO	0/3 FDR<0.05, all_down	none_FDR<0.05	rank 2690/15,255, A	STRONG/NO_EVIDENCE/NO_EVIDENCE
EIF4ENIF1	C_FUNCTIONAL_ONLY	fdr=0.0373, sensitising_KO	0/3 FDR<0.05, majority_up	none_FDR<0.05	rank 2536/15,255, A	STRONG/NO_EVIDENCE/NO_EVIDENCE
SUPT4H1	C_FUNCTIONAL_ONLY	fdr=0.0373, sensitising_KO	0/3 FDR<0.05, all_up	none_FDR<0.05	rank 2518/15,255, A	STRONG/NO_EVIDENCE/NO_EVIDENCE
ICK	C_FUNCTIONAL_ONLY	fdr=0.0373, sensitising_KO	0/3 FDR<0.05, majority_up	none_FDR<0.05	rank 2584/15,255, A	STRONG/NO_EVIDENCE/NO_EVIDENCE
