gene	candidate_archetype	crispr_evidence	resistance_rna_evidence	human_evidence	global_evidence	dataset_stability
USP34	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	fdr=0.0417, sensitising_KO	1/3 FDR<0.05, all_up	none_FDR<0.05	rank 994/15,255, A	STRONG/STRONG/NO_EVIDENCE
VEZF1	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	fdr=0.0373, sensitising_KO	1/3 FDR<0.05, majority_up	GSE240112_sig	rank 1138/15,255, A	STRONG/STRONG/STRONG
CUX1	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	fdr=0.045, tolerance_associated_KO	2/3 FDR<0.05, all_down	GSE240112_sig	rank 10/15,255, A	STRONG/VERY_STRONG/STRONG
DPP9	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	fdr=0.0417, tolerance_associated_KO	1/3 FDR<0.05, majority_up	none_FDR<0.05	rank 1090/15,255, A	STRONG/STRONG/NO_EVIDENCE
LZTR1	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	fdr=0.0124, tolerance_associated_KO	1/3 FDR<0.05, all_up	none_FDR<0.05	rank 1173/15,255, A	STRONG/STRONG/NO_EVIDENCE
SOX2	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	fdr=0.0122, tolerance_associated_KO	2/3 FDR<0.05, all_up	GSE240112_sig	rank 16/15,255, A	STRONG/VERY_STRONG/STRONG
TFAP2C	A_FUNCTIONAL_RESISTANCE_CONVERGENCE	fdr=0.0482, tolerance_associated_KO	1/3 FDR<0.05, all_down	none_FDR<0.05	rank 272/15,255, A	STRONG/STRONG/WEAK
EPAS1	D_RESISTANCE_BIOMARKER_PATHWAY	fdr=0.924, tolerance_associated_KO	3/3 FDR<0.05, all_up	GSE240112_sig	rank 6/15,255, A	NO_EVIDENCE/VERY_STRONG/STRONG
GABBR2	D_RESISTANCE_BIOMARKER_PATHWAY	fdr=0.929, tolerance_associated_KO	3/3 FDR<0.05, all_up	GSE240112_sig	rank 11094/15,255, B	NO_EVIDENCE/VERY_STRONG/STRONG
SLC4A10	D_RESISTANCE_BIOMARKER_PATHWAY	fdr=0.972, sensitising_KO	3/3 FDR<0.05, all_down	GSE240112_sig	rank 11095/15,255, B	NO_EVIDENCE/VERY_STRONG/STRONG
DMRTA1	D_RESISTANCE_BIOMARKER_PATHWAY	fdr=0.985, sensitising_KO	3/3 FDR<0.05, all_up	GSE240112_sig	rank 15/15,255, A	NO_EVIDENCE/VERY_STRONG/STRONG
LAMB3	D_RESISTANCE_BIOMARKER_PATHWAY	fdr=0.768, tolerance_associated_KO	3/3 FDR<0.05, all_up	GSE240112_sig	rank 13/15,255, A	NO_EVIDENCE/VERY_STRONG/STRONG
HLA-DQB1	D_RESISTANCE_BIOMARKER_PATHWAY	fdr=0.92, tolerance_associated_KO	3/3 FDR<0.05, all_up	GSE240112_sig	rank 20/15,255, A	NO_EVIDENCE/VERY_STRONG/STRONG
GREB1	D_RESISTANCE_BIOMARKER_PATHWAY	fdr=0.816, sensitising_KO	2/3 FDR<0.05, all_down	GSE245601_epi_sig	rank 1/15,255, A	NO_EVIDENCE/VERY_STRONG/VERY_STRONG
SPRY4	D_RESISTANCE_BIOMARKER_PATHWAY	fdr=0.791, tolerance_associated_KO	2/3 FDR<0.05, all_up	GSE240112_sig	rank 99/15,255, A	NO_EVIDENCE/VERY_STRONG/STRONG
GFRA1	D_RESISTANCE_BIOMARKER_PATHWAY	fdr=0.789, tolerance_associated_KO	2/3 FDR<0.05, all_down	GSE240112_sig	rank 49/15,255, A	NO_EVIDENCE/VERY_STRONG/STRONG
SUSD3	D_RESISTANCE_BIOMARKER_PATHWAY	fdr=0.79, tolerance_associated_KO	2/3 FDR<0.05, all_down	GSE240112_sig	rank 31/15,255, A	NO_EVIDENCE/VERY_STRONG/STRONG
