gene	global_rank	evidence_category	crispr_direction	axis_a_functional	axis_b_resistance	axis_c_human	human_evidence_sources
KDM1A	2241.0	FUNCTIONAL_ONLY	sensitising_KO	VERY_STRONG	NO_EVIDENCE	WEAK	none_FDR<0.05
TLK2	2726.0	FUNCTIONAL_ONLY	sensitising_KO	VERY_STRONG	NO_EVIDENCE	NO_EVIDENCE	none_FDR<0.05
CUX1	10.0	MULTIMODAL_STRONG	tolerance_associated_KO	STRONG	VERY_STRONG	STRONG	GSE240112_recurrence
SOX2	16.0	MULTIMODAL_STRONG	tolerance_associated_KO	STRONG	VERY_STRONG	STRONG	GSE240112_recurrence
DPP9	1090.0	MULTIMODAL_STRONG	tolerance_associated_KO	STRONG	STRONG	NO_EVIDENCE	none_FDR<0.05
LZTR1	1173.0	MULTIMODAL_STRONG	tolerance_associated_KO	STRONG	STRONG	NO_EVIDENCE	none_FDR<0.05
TFAP2C	272.0	MULTIMODAL_STRONG	tolerance_associated_KO	STRONG	STRONG	WEAK	none_FDR<0.05
USP34	994.0	MULTIMODAL_STRONG	sensitising_KO	STRONG	STRONG	NO_EVIDENCE	none_FDR<0.05
VEZF1	1138.0	MULTIMODAL_STRONG	sensitising_KO	STRONG	STRONG	STRONG	GSE240112_recurrence
EIF4ENIF1	2536.0	FUNCTIONAL_ONLY	sensitising_KO	STRONG	NO_EVIDENCE	NO_EVIDENCE	none_FDR<0.05
HMGB1	2690.0	FUNCTIONAL_ONLY	sensitising_KO	STRONG	NO_EVIDENCE	NO_EVIDENCE	none_FDR<0.05
ICK	2584.0	FUNCTIONAL_ONLY	sensitising_KO	STRONG	NO_EVIDENCE	NO_EVIDENCE	none_FDR<0.05
PET117	2790.0	FUNCTIONAL_ONLY	sensitising_KO	STRONG	NO_EVIDENCE	NO_EVIDENCE	none_FDR<0.05
SUPT4H1	2518.0	FUNCTIONAL_ONLY	sensitising_KO	STRONG	NO_EVIDENCE	NO_EVIDENCE	none_FDR<0.05
TADA2B	2729.0	FUNCTIONAL_ONLY	sensitising_KO	STRONG	NO_EVIDENCE	NO_EVIDENCE	none_FDR<0.05
USP17L29		LOW_COVERAGE	sensitising_KO	STRONG	NO_EVIDENCE	NO_EVIDENCE	none_FDR<0.05
SPRED2	2484.0	HUMAN_TUMOR_SUPPORTED	tolerance_associated_KO	MODERATE	STRONG	STRONG	GSE240112_recurrence
CTDNEP1	5045.0	FUNCTIONAL_ONLY	sensitising_KO	MODERATE	NO_EVIDENCE	WEAK	none_FDR<0.05
TSR3	5449.0	FUNCTIONAL_ONLY	sensitising_KO	MODERATE	NO_EVIDENCE	NO_EVIDENCE	none_FDR<0.05
EML5	256.0	RNA_RESISTANCE_CONSENSUS	sensitising_KO	WEAK	VERY_STRONG	STRONG	GSE240112_recurrence
CITED2	2073.0	RNA_RESISTANCE_CONSENSUS	sensitising_KO	WEAK	STRONG	STRONG	GSE240112_recurrence
MBTPS2	2104.0	RNA_RESISTANCE_CONSENSUS	tolerance_associated_KO	WEAK	STRONG	STRONG	GSE240112_recurrence
