gene	crispr_effect	crispr_p	crispr_fdr	crispr_evidence_percentile	gse118713_log2fc	gse118713_fdr	gse245601_epi_log2fc	gse245601_epi_fdr	gse245601_malignant_log2fc	gse245601_malignant_fdr	gse240112_tumor_log2fc	gse240112_tumor_fdr	gse111151_log2fc	gse111151_fdr	resistance_direction_consensus	global_rank	evidence_category	support_class
KDM1A	-2.167335634799461	8.061303724868798e-08	0.0003849877126404	0.9998429483823684	0.146667919066447	0.493845720601604	-0.215079883472444	0.369442163215661	-0.362291502794021	0.546271051771107	0.191941386609262	0.59163963287314	0.0713993613378379	0.905930650706976	all_up	2241.0	FUNCTIONAL_ONLY	functional_only_no_RNA_support
TLK2	-1.848198303730188	4.386303381194677e-07	0.0016758310698192	0.9997905978431578	-0.151752544851276	0.674943903042664	-0.0362993225303796	0.882198640375374	-0.221502174721007	0.628030081252529	0.0570763695102118	0.882577720157556	0.0727893622757189	0.839733945674166	majority_up	2726.0	FUNCTIONAL_ONLY	functional_only_no_RNA_support
TADA2B	-2.0643649381530107	6.8725943769325934e-06	0.0145874633758381	0.9995811956863156	0.0065434913994528	0.984583852830181	0.0702306580392095	0.789858424764366	-0.154267537692414	0.784486461726752	0.427658434315663	0.380115251679473	0.0560617398417958	0.922008042963833	all_up	2729.0	FUNCTIONAL_ONLY	functional_only_no_RNA_support
USP17L29	-2.1448239489713394	1.4674995092382969e-05	0.0280336431249791	0.999528845147105											insufficient		LOW_COVERAGE	functional_only_no_RNA_support
VEZF1	-1.602445388833546	2.497000741678817e-05	0.0372575660229722	0.9994764946078945	0.426552278550176	0.237500391027449	-0.0505827437413172	0.890005371824952	-0.436025202244726	0.51885876990854	1.14940832913316	0.0194899399382215	-0.238235372712826	0.607594477564463	majority_up	1138.0	MULTIMODAL_STRONG	functional_with_RNA_support
HMGB1	-1.4740651006700034	2.551808246234588e-05	0.0372575660229722	0.999424144068684	-0.0794061555047207	0.731817935481995	-0.0697664035194113	0.800435901224173	0.164731106307106	0.763953154172748	-0.154623744509501	0.820887420028315	-0.130515412318803	0.80271652586053	all_down	2690.0	FUNCTIONAL_ONLY	functional_only_no_RNA_support
EIF4ENIF1	-1.5506541534723943	2.8211529650492784e-05	0.0372575660229722	0.9993717935294734	0.53145903933498	0.0529761966227399	-0.0618984390937733	0.839383757340375	-0.259810148331114	0.647959512553079	0.0629475872692003	0.863278728164698	-0.128950200396878	0.72170580070892	majority_up	2536.0	FUNCTIONAL_ONLY	functional_only_no_RNA_support
SUPT4H1	-1.6837884606622353	2.8217361523605968e-05	0.0372575660229722	0.9993194429902628	0.037335300465398	0.893464168113868	0.0698538693732563	0.803091952332355	0.277728602004246	0.598419148974724	1.00349742270902	0.0765239610374908	0.0183645827810597	0.977955507540752	all_up	2518.0	FUNCTIONAL_ONLY	functional_only_no_RNA_support
ICK	-1.2245539921905229	2.92552735352868e-05	0.0372575660229722	0.9992670924510524	0.106733026979587	0.663325990388584	-0.0894575161021647	0.699401614317978	-0.172517635891842	0.717664144153142	0.358028755494179	0.44062569101796	-0.168093978284892	0.697681709271967	majority_up	2584.0	FUNCTIONAL_ONLY	functional_only_no_RNA_support
USP34	-1.3912980676838431	3.927829380312541e-05	0.0416851803622835	0.9991100408334206	0.590437436807219	0.0073136129571408	-0.0334650201061386	0.900549578140749	-0.180624008897835	0.703086078272564	0.400106644327525	0.22750138874853	0.161522475648414	0.632236473760328	all_up	994.0	MULTIMODAL_STRONG	functional_with_RNA_support
PET117	-1.8279505886266567	4.387078841638455e-05	0.0419031835559097	0.9990053397549996	-0.0587411607946384	0.783384004604082	0.0463310730641482	0.922436902008411	0.432519344643182	0.531923452695452	-0.246376118564829	0.570163539426128	0.0180744802898094	0.982753570306189	majority_down	2790.0	FUNCTIONAL_ONLY	functional_only_no_RNA_support
TSR3	-1.6187529731582495	8.291733910908465e-05	0.0679959978896869	0.9988482881373678	-0.467160834528706	0.19102192420909	-0.134880623343638	0.682338116517599	0.356923934758475	0.555923915141495	-0.426897318866676	0.379225116913949	0.0940236720029586	0.883155989074822	majority_down	5449.0	FUNCTIONAL_ONLY	functional_only_no_RNA_support
CTDNEP1	-1.3929700500469568	9.053999047143436e-05	0.0691834175190324	0.9987435870589468	-0.354663041745843	0.25349742818574	0.15110673769838	0.462797185542904	0.304676723801525	0.560098840484709	-0.121467789229156	0.796356321458072	-0.0440235942969099	0.946275269708185	all_down	5045.0	FUNCTIONAL_ONLY	functional_only_no_RNA_support
DOT1L	-1.2987922672008398	0.0001589866545259	0.1013040488730637	0.9985341849021044	-0.222677200752233	0.511585378835801	0.0343369384455433	0.911187970406854	-0.36992992260982	0.555923915141495	-0.256225018163554	0.530778960462317	-0.11925573910874	0.850830097115613	all_down	5919.0	LOW_EVIDENCE	functional_only_no_RNA_support
MRGBP	-1.593677951029952	0.000177469090535	0.1093610334351893	0.9984294838236834	-0.215211396829581	0.478819286432796	0.0560333969474567	0.80396333763211	0.152879668094861	0.720094720609848	0.220842081984122	0.648818727826956	0.0703292737946595	0.920535342605689	majority_up	5971.0	LOW_EVIDENCE	functional_only_no_RNA_support
F8A3	-1.9141933709753545	0.0001890826054922	0.109955077591718	0.9983771332844728			0.424035024328984	0.3583937395927	0.724605620162948	0.555576863437654					insufficient		LOW_COVERAGE	functional_only_no_RNA_support
DCAF7	-1.069272925769825	0.0001928218107752	0.109955077591718	0.9983247827452624	-0.172147185617008	0.509832571406458	0.0211389618474836	0.938373618190138	-0.134619730739771	0.760586874502459	0.699436897661634	0.0679397787747824	-0.171723746471453	0.682415585262386	majority_down	5226.0	LOW_EVIDENCE	functional_only_no_RNA_support
CITED2	-1.4953555271062804	0.0001957008133862	0.109955077591718	0.9982724322060518	-0.0712402035096886	0.895048558224723	0.19690414713124	0.402857156934197	0.046714761965582	0.936726651731093	1.55383256440471	0.0087275396535076	0.692687178856127	0.662311130855006	majority_up	2073.0	RNA_RESISTANCE_CONSENSUS	functional_with_RNA_support
TAF6L	-1.8404070938940915	0.0002204426486718	0.1127753613387858	0.99811538058842	-0.507181786401484	0.0824879511272443	0.347848137773587	0.183014621655546	0.286334958501012	0.64855782158543	0.0178556829446686	0.970177680689359	-0.134178315063179	0.822101383281483	majority_down	4960.0	LOW_EVIDENCE	functional_only_no_RNA_support
SYNCRIP	-1.7275353891230507	0.0002872480766746	0.1371825002178894	0.9979583289707884	0.0194491691068919	0.951573960808453	-0.184448041021257	0.305239727651917	-0.176666510051346	0.690442347121334	0.26763596638263	0.645926732957162	-0.0857100614964523	0.848647590202857	majority_up	5904.0	LOW_EVIDENCE	functional_only_no_RNA_support
