gene	gse118713_log2fc	gse118713_fdr	gse240112_tumor_log2fc	gse240112_tumor_fdr	gse111151_log2fc	gse111151_fdr	resistance_direction_consensus	resistance_fdr05_count	resistance_nominal_p05_count	resistance_median_percentile	crispr_effect	crispr_fdr	crispr_direction	human_support	global_rank	evidence_category
EPAS1	5.9473037686576	6.14437686554197e-08	7.49755691339593	5.33238730658102e-05	1.54018987568339	0.0163651497737581	all_up	3	3	0.9978231292517008	0.149728728535667	0.9243328570351124	tolerance_associated_KO	GSE240112_tumor	6	RNA_RESISTANCE_CONSENSUS
GABBR2	1.73433298110773	4.61442797506191e-06	4.27267482332268	9.6134739832737e-05	2.8974768927314	0.0390633924740031	all_up	3	3	0.9834013605442176	0.1842574992020509	0.9285299753064464	tolerance_associated_KO	GSE240112_tumor	11094	RNA_RESISTANCE_CONSENSUS
SLC4A10	-1.79650886544087	3.17578637831859e-06	-4.52693826974416	0.0148115705577018	-2.31322351738801	0.0463666318039153	all_down	3	3	0.9859863945578232	-0.0811186226936495	0.9717213996819616	sensitising_KO	GSE240112_tumor	11095	RNA_RESISTANCE_CONSENSUS
DMRTA1	1.66612525298514	6.69671522519295e-06	1.45784459213153	0.0040680049622012	2.31285987676122	0.0252996241112606	all_up	3	3	0.98	-0.0478186965360958	0.98463570784176	sensitising_KO	GSE240112_tumor	15	RNA_RESISTANCE_CONSENSUS
LAMB3	1.98623956140971	0.0001408773064495	3.67819351907871	0.0036152461254765	1.73734283578094	0.0215374992764131	all_up	3	3	0.942108843537415	0.4263586672189277	0.7675762105551595	tolerance_associated_KO	GSE240112_tumor	13	RNA_RESISTANCE_CONSENSUS
HLA-DQB1	1.42040464062219	0.0015561353400998	1.87792948687874	0.0027713887297057	1.95897568565374	0.0390633924740031	all_up	3	3	0.8989526238671515	0.3161325155560064	0.92039532339481	tolerance_associated_KO	GSE240112_tumor	20	RNA_RESISTANCE_CONSENSUS
GREB1	-7.14538036307953	5.8250403645660415e-09	-8.12006079608	3.02304606892318e-06	-4.64120424333962	0.237051976177589	all_down	2	3	0.9984804905844684	-0.3533095277586469	0.8163859673702398	sensitising_KO	GSE245601_epi+GSE240112_tumor	1	RNA_RESISTANCE_CONSENSUS
SPRY4	5.07151582384541	4.06453741983047e-08	7.05023058575436	3.67892643880068e-06	1.80310779729195	0.202998506987195	all_up	2	3	0.9983176860042328	0.3824885303119218	0.7909727675032434	tolerance_associated_KO	GSE240112_tumor	99	RNA_RESISTANCE_CONSENSUS
GFRA1	-5.16472990661696	1.05059148724618e-08	-6.51163795906791	2.17061711993829e-05	-6.40699623334473	0.0647800261582162	all_down	2	3	0.9976279604165894	0.6260486171656119	0.7893096654426276	tolerance_associated_KO	GSE240112_tumor	49	RNA_RESISTANCE_CONSENSUS
SUSD3	-3.49583799597967	9.68892137320034e-06	-15.4681824314526	5.64890743493613e-06	-3.06066943455664	0.0676240868322766	all_down	2	3	0.997232322135996	0.4434842670516028	0.7898456056467551	tolerance_associated_KO	GSE240112_tumor	31	RNA_RESISTANCE_CONSENSUS
DLX2	4.09946036442767	1.5607939994064e-07	4.11274557481225	0.0001188736369787	2.63376720995289	0.0681580293592368	all_up	2	3	0.9968027210884354	-0.2546725733009047	0.8882857432844812	sensitising_KO	GSE240112_tumor	100	RNA_RESISTANCE_CONSENSUS
SULF1	-4.968387215047	8.6203189384681e-09	-7.78100776526041	0.0002805329526224	-6.58745128360917	0.0942743233407641	all_down	2	3	0.9960342463214856	0.526501117651776	0.8014286065646663	tolerance_associated_KO	GSE240112_tumor	120	RNA_RESISTANCE_CONSENSUS
DSCAM	-3.72818900802547	2.96121328551601e-07	-9.8866293305472	1.92761230897756e-06	-2.30567151097129	0.330119657609586	all_down	2	3	0.9954421768707484	0.1416794853666481	0.9393212654270142	tolerance_associated_KO	GSE240112_tumor	185	RNA_RESISTANCE_CONSENSUS
EYA2	3.38813903313652	3.21719572405814e-07	4.628708841464	1.9624773200367e-05	1.16081854043456	0.256534373325544	all_up	2	3	0.9923481847289304	0.0017800849392752	0.9994371829708416	tolerance_associated_KO	GSE240112_tumor	125	RNA_RESISTANCE_CONSENSUS
GJB2	3.81456101188536	1.29401299291055e-06	7.19666756148338	1.61823228206499e-05	0.950368925454072	0.296039070249586	all_up	2	3	0.9908843537414966	-0.4107786867013256	0.7909727675032434	sensitising_KO	GSE240112_tumor	151	RNA_RESISTANCE_CONSENSUS
ACOT4	-2.73798348038228	9.31354919742094e-07	-12.498299569898	2.25081450191427e-05	-0.753925815955073	0.27634464000639	all_down	2	3	0.9908829435068106	-0.2027664207368866	0.9027184379663842	sensitising_KO	GSE240112_tumor	131	RNA_RESISTANCE_CONSENSUS
LARP6	3.18867565082983	1.52218625983823e-06	4.35977048344305	2.15258880852754e-05	1.02921322051357	0.308539603882257	all_up	2	3	0.9904761904761904	0.4086334541544962	0.8391932743393512	tolerance_associated_KO	GSE245601_epi+GSE240112_tumor	2	RNA_RESISTANCE_CONSENSUS
MALRD1	-2.00670613359584	1.69613954343944e-06	-11.4223031263856	1.71743527749721e-06	-3.5845862703199	0.23150214664048	all_down	2	3	0.9896598639455784	0.3406285432216451	0.813514228114586	tolerance_associated_KO	GSE240112_tumor	11099	RNA_RESISTANCE_CONSENSUS
PDGFC	2.70278424286021	1.86629415482332e-06	6.78908254287889	5.61434588086665e-06	0.755682793623905	0.241949198124582	all_up	2	3	0.9889795918367348	0.706841955876385	0.7268524351319124	tolerance_associated_KO	GSE240112_tumor	53	RNA_RESISTANCE_CONSENSUS
IL20	-4.62274443473232	2.02946100104899e-05	-15.5941788859754	9.23929691220522e-06	-6.7450873803842	0.135454947663012	all_down	2	3	0.9886957488603092	-0.0203661336602625	0.9941012600195046	sensitising_KO	GSE240112_tumor	101	RNA_RESISTANCE_CONSENSUS
