gene_symbol	crispr_effect_size	crispr_fdr	crispr_direction	crispr_direction_description	tamr_vs_mcf7_log2fc	tamr_vs_mcf7_fdr	tamr_vs_fasr_log2fc	tamr_vs_fasr_fdr	mcf7_baseline_log2_tpm_plus1	gse118713_de_na_reason	evidence_class	evidence_class_label	primary_rna_direction	rna_pattern_description
PTEN	3.3317870701317656	2.2317000159876773e-07	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	-0.39072867283774	0.0738932933249503	-0.111825044584299	0.547248692939314	5.489654190266465		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	No significant TAMR-associated expression difference detected in either contrast at FDR<0.05.
CSK	2.8930076779394955	1.980969177858585e-06	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	0.320365895079171	0.229948458536039	1.19067011799513	0.0003860768522978	6.805158989310125		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.
NF1	3.201469104004488	1.980969177858585e-06	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	0.401298410976755	0.241892052255367	1.04225674599884	0.0040559800221732	3.865213643791748		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.
KDM1A	-2.167335634799461	0.0003849877126404	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	0.146667919066447	0.493845720601604	0.766020062077172	0.0013534280744467	6.1414666719780575		SECONDARY_CONTEXT_SUPPORT	negative CRISPR effect, DE available, not significant in TAMR_vs_MCF7, significant TAMR_vs_FASR only (secondary/contextual endocrine-resistance evidence, not tamoxifen-specific)	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.
TLK2	-1.848198303730188	0.0016758310698192	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	-0.151752544851276	0.674943903042664	0.482742539005659	0.106369921946388	5.844355523603434		NO_SIGNIFICANT_RNA_SUPPORT	negative CRISPR effect, DE available, no significant RNA support in either contrast	not_applicable	No significant TAMR-associated expression difference detected in either contrast at FDR<0.05.
KMT2C	1.683754395316134	0.0052539443921356	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	0.0353127981755366	0.925860041774026	0.239277493735555	0.366349273844174	3.1693806516547496		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	No significant TAMR-associated expression difference detected in either contrast at FDR<0.05.
SOX2	1.5125795984924384	0.012231538169301	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	0.689938479322989	0.009274260760025	-1.39377691575381	5.3882062872673e-05	0.9941675442387348		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	Significant TAMR-associated expression difference vs both MCF7 and FASR (FDR<0.05): up vs MCF7, down vs FASR.
LZTR1	1.4583532397139498	0.0124208335090964	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	1.11048033871916	0.0151008717779807	-0.116106183698546	0.752902083374587	4.08089447434901		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	Significant TAMR-associated expression difference vs MCF7 only (FDR<0.05, up); TAMR_vs_FASR not significant at this threshold.
TADA2B	-2.0643649381530107	0.0145874633758381	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	0.0065434913994528	0.984583852830181	1.49326556920082	3.85518916059116e-05	3.7903945710432616		SECONDARY_CONTEXT_SUPPORT	negative CRISPR effect, DE available, not significant in TAMR_vs_MCF7, significant TAMR_vs_FASR only (secondary/contextual endocrine-resistance evidence, not tamoxifen-specific)	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.
USP17L29	-2.1448239489713394	0.0280336431249791	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).					0.0	filtered_out_no_de_fit	RNA_UNAVAILABLE	negative CRISPR effect, RNA unavailable (expression-filtered out)	not_applicable	No GSE118713 differential-expression result available (removed by the expression filter).
