gene_symbol	crispr_effect_size	crispr_fdr	crispr_direction	crispr_direction_description	tamr_vs_mcf7_log2fc	tamr_vs_mcf7_fdr	tamr_vs_fasr_log2fc	tamr_vs_fasr_fdr	mcf7_baseline_log2_tpm_plus1	gse118713_de_na_reason	evidence_class	evidence_class_label	primary_rna_direction	rna_pattern_description
USP34	-1.3912980676838431	0.0416851803622835	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	0.590437436807219	0.0073136129571408	0.0195025681205152	0.911804815437693	5.109054966421399		PRIMARY_RESISTANCE_SUPPORT	negative CRISPR effect, DE available, significant TAMR_vs_MCF7 (primary resistance-expression evidence)	elevated_in_TAMR	Significant TAMR-associated expression difference vs MCF7 only (FDR<0.05, up); TAMR_vs_FASR not significant at this threshold.
KDM1A	-2.167335634799461	0.0003849877126404	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	0.146667919066447	0.493845720601604	0.766020062077172	0.0013534280744467	6.1414666719780575		SECONDARY_CONTEXT_SUPPORT	negative CRISPR effect, DE available, not significant in TAMR_vs_MCF7, significant TAMR_vs_FASR only (secondary/contextual endocrine-resistance evidence, not tamoxifen-specific)	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.
TADA2B	-2.0643649381530107	0.0145874633758381	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	0.0065434913994528	0.984583852830181	1.49326556920082	3.85518916059116e-05	3.7903945710432616		SECONDARY_CONTEXT_SUPPORT	negative CRISPR effect, DE available, not significant in TAMR_vs_MCF7, significant TAMR_vs_FASR only (secondary/contextual endocrine-resistance evidence, not tamoxifen-specific)	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.
EIF4ENIF1	-1.5506541534723943	0.0372575660229722	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	0.53145903933498	0.0529761966227399	1.20505283442699	0.0003365029185869	4.04758490675983		SECONDARY_CONTEXT_SUPPORT	negative CRISPR effect, DE available, not significant in TAMR_vs_MCF7, significant TAMR_vs_FASR only (secondary/contextual endocrine-resistance evidence, not tamoxifen-specific)	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.
HMGB1	-1.4740651006700034	0.0372575660229722	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	-0.0794061555047207	0.731817935481995	1.05475404542941	0.0001938243914095	10.469741756796765		SECONDARY_CONTEXT_SUPPORT	negative CRISPR effect, DE available, not significant in TAMR_vs_MCF7, significant TAMR_vs_FASR only (secondary/contextual endocrine-resistance evidence, not tamoxifen-specific)	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.
VEZF1	-1.602445388833546	0.0372575660229722	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	0.426552278550176	0.237500391027449	1.74439416761153	0.0002282310194573	4.845240317115391		SECONDARY_CONTEXT_SUPPORT	negative CRISPR effect, DE available, not significant in TAMR_vs_MCF7, significant TAMR_vs_FASR only (secondary/contextual endocrine-resistance evidence, not tamoxifen-specific)	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.
PET117	-1.8279505886266567	0.0419031835559097	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	-0.0587411607946384	0.783384004604082	0.350248005764482	0.046406480750034	4.123281251519637		SECONDARY_CONTEXT_SUPPORT	negative CRISPR effect, DE available, not significant in TAMR_vs_MCF7, significant TAMR_vs_FASR only (secondary/contextual endocrine-resistance evidence, not tamoxifen-specific)	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.
CTDNEP1	-1.3929700500469568	0.0691834175190324	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	-0.354663041745843	0.25349742818574	0.88464025425656	0.0057909543819809	6.952592037261899		SECONDARY_CONTEXT_SUPPORT	negative CRISPR effect, DE available, not significant in TAMR_vs_MCF7, significant TAMR_vs_FASR only (secondary/contextual endocrine-resistance evidence, not tamoxifen-specific)	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.
TLK2	-1.848198303730188	0.0016758310698192	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	-0.151752544851276	0.674943903042664	0.482742539005659	0.106369921946388	5.844355523603434		NO_SIGNIFICANT_RNA_SUPPORT	negative CRISPR effect, DE available, no significant RNA support in either contrast	not_applicable	No significant TAMR-associated expression difference detected in either contrast at FDR<0.05.
ICK	-1.2245539921905229	0.0372575660229722	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	0.106733026979587	0.663325990388584	0.159263852234927	0.423799941945005	2.951234890613648		NO_SIGNIFICANT_RNA_SUPPORT	negative CRISPR effect, DE available, no significant RNA support in either contrast	not_applicable	No significant TAMR-associated expression difference detected in either contrast at FDR<0.05.
