gene_symbol	crispr_effect_size	crispr_fdr	crispr_direction	crispr_direction_description	tamr_vs_mcf7_log2fc	tamr_vs_mcf7_fdr	tamr_vs_fasr_log2fc	tamr_vs_fasr_fdr	mcf7_baseline_log2_tpm_plus1	gse118713_de_na_reason	evidence_class	evidence_class_label	primary_rna_direction	rna_pattern_description	not_inhibition_candidate_reason
PTEN	3.3317870701317656	2.2317000159876773e-07	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	-0.39072867283774	0.0738932933249503	-0.111825044584299	0.547248692939314	5.489654190266465		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	No significant TAMR-associated expression difference detected in either contrast at FDR<0.05.	Positive CRISPR effect (tolerance_associated_knockout): knockout is associated with a relative fitness/tolerance advantage under 4-OHT, not increased sensitivity, so it is not a candidate for inhibition to enhance tamoxifen sensitivity. Retained as tolerance/resistance-biology evidence only.
CSK	2.8930076779394955	1.980969177858585e-06	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	0.320365895079171	0.229948458536039	1.19067011799513	0.0003860768522978	6.805158989310125		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.	Positive CRISPR effect (tolerance_associated_knockout): knockout is associated with a relative fitness/tolerance advantage under 4-OHT, not increased sensitivity, so it is not a candidate for inhibition to enhance tamoxifen sensitivity. Retained as tolerance/resistance-biology evidence only.
NF1	3.201469104004488	1.980969177858585e-06	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	0.401298410976755	0.241892052255367	1.04225674599884	0.0040559800221732	3.865213643791748		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.	Positive CRISPR effect (tolerance_associated_knockout): knockout is associated with a relative fitness/tolerance advantage under 4-OHT, not increased sensitivity, so it is not a candidate for inhibition to enhance tamoxifen sensitivity. Retained as tolerance/resistance-biology evidence only.
KMT2C	1.683754395316134	0.0052539443921356	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	0.0353127981755366	0.925860041774026	0.239277493735555	0.366349273844174	3.1693806516547496		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	No significant TAMR-associated expression difference detected in either contrast at FDR<0.05.	Positive CRISPR effect (tolerance_associated_knockout): knockout is associated with a relative fitness/tolerance advantage under 4-OHT, not increased sensitivity, so it is not a candidate for inhibition to enhance tamoxifen sensitivity. Retained as tolerance/resistance-biology evidence only.
SOX2	1.5125795984924384	0.012231538169301	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	0.689938479322989	0.009274260760025	-1.39377691575381	5.3882062872673e-05	0.9941675442387348		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	Significant TAMR-associated expression difference vs both MCF7 and FASR (FDR<0.05): up vs MCF7, down vs FASR.	Positive CRISPR effect (tolerance_associated_knockout): knockout is associated with a relative fitness/tolerance advantage under 4-OHT, not increased sensitivity, so it is not a candidate for inhibition to enhance tamoxifen sensitivity. Retained as tolerance/resistance-biology evidence only.
LZTR1	1.4583532397139498	0.0124208335090964	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	1.11048033871916	0.0151008717779807	-0.116106183698546	0.752902083374587	4.08089447434901		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	Significant TAMR-associated expression difference vs MCF7 only (FDR<0.05, up); TAMR_vs_FASR not significant at this threshold.	Positive CRISPR effect (tolerance_associated_knockout): knockout is associated with a relative fitness/tolerance advantage under 4-OHT, not increased sensitivity, so it is not a candidate for inhibition to enhance tamoxifen sensitivity. Retained as tolerance/resistance-biology evidence only.
DPP9	1.3751072314321586	0.0416851803622835	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	-1.04265717095817	0.0021070783203592	0.676227309284662	0.011976425706191	6.08291025086847		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	Significant TAMR-associated expression difference vs both MCF7 and FASR (FDR<0.05): down vs MCF7, up vs FASR.	Positive CRISPR effect (tolerance_associated_knockout): knockout is associated with a relative fitness/tolerance advantage under 4-OHT, not increased sensitivity, so it is not a candidate for inhibition to enhance tamoxifen sensitivity. Retained as tolerance/resistance-biology evidence only.
KDM6A	2.259563025014412	0.0416851803622835	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	0.146645780508053	0.562375182137919	0.540107592718189	0.0207509351634455	3.5035409407886657		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.	Positive CRISPR effect (tolerance_associated_knockout): knockout is associated with a relative fitness/tolerance advantage under 4-OHT, not increased sensitivity, so it is not a candidate for inhibition to enhance tamoxifen sensitivity. Retained as tolerance/resistance-biology evidence only.
RASA2	1.2969414819378675	0.0419031835559097	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	0.0429116506321199	0.887661109172614	-0.0771099320565356	0.73459294427115	2.066419243753652		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	No significant TAMR-associated expression difference detected in either contrast at FDR<0.05.	Positive CRISPR effect (tolerance_associated_knockout): knockout is associated with a relative fitness/tolerance advantage under 4-OHT, not increased sensitivity, so it is not a candidate for inhibition to enhance tamoxifen sensitivity. Retained as tolerance/resistance-biology evidence only.
CUX1	1.2655384098421134	0.044987385842584	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	-0.899390794469496	0.0007915850161576	-0.580034589771422	0.005540506700525	5.784972599847112		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	Significant TAMR-associated expression difference vs both MCF7 and FASR (FDR<0.05): down vs MCF7, down vs FASR.	Positive CRISPR effect (tolerance_associated_knockout): knockout is associated with a relative fitness/tolerance advantage under 4-OHT, not increased sensitivity, so it is not a candidate for inhibition to enhance tamoxifen sensitivity. Retained as tolerance/resistance-biology evidence only.
