sample_id	patient	condition	total_epithelial_cells	n_compared	infercnv_malignant_count	infercnv_malignant_pct	copykat_aneuploid_count	copykat_aneuploid_pct	agreement_count	agreement_pct	both_malignant_aneuploid	both_nonmalignant_diploid	infercnv_malignant_copykat_diploid	infercnv_nonmalignant_copykat_aneuploid	copykat_not_defined_count
Tumor_01_Control	Tumor_01	Control	3334	3334	1	0.029994001199760048	3301	99.01019796040792	34	1.0197960407918416	1	33	0	3300	0
Tumor_01_Tamoxifen	Tumor_01	Tamoxifen	2774	2774	2	0.07209805335255948	0	0.0	2772	99.92790194664744	0	2772	2	0	0
Tumor_02_Control	Tumor_02	Control	355	355	134	37.74647887323944	165	46.478873239436616	308	86.7605633802817	126	182	8	39	0
Tumor_02_Tamoxifen	Tumor_02	Tamoxifen	325	325	183	56.30769230769231	202	62.15384615384615	306	94.15384615384616	183	123	0	19	0
Tumor_03_Control	Tumor_03	Control	513	513	276	53.801169590643276	327	63.74269005847953	398	77.58284600389864	244	154	32	83	0
Tumor_03_Tamoxifen	Tumor_03	Tamoxifen	1105	1105	582	52.66968325791855	614	55.56561085972851	969	87.6923076923077	530	439	52	84	0
Tumor_04_Control	Tumor_04	Control	151	151	0	0.0	151	100.0	0	0.0	0	0	0	151	0
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	70	70	1	1.4285714285714286	70	100.0	1	1.4285714285714286	1	0	0	69	0
Tumor_05_Control	Tumor_05	Control	2565	2565	22	0.8576998050682261	830	32.358674463937625	1753	68.34307992202729	20	1733	2	810	0
Tumor_05_Tamoxifen	Tumor_05	Tamoxifen	2795	2795	12	0.4293381037567084	742	26.547406082289804	2045	73.16636851520572	2	2043	10	740	0
Tumor_06_Control	Tumor_06	Control	4533	4533	9	0.1985440105890139	2378	52.45973968674167	2160	47.650562541363335	7	2153	2	2371	0
Tumor_06_Tamoxifen	Tumor_06	Tamoxifen	3422	3422	19	0.5552308591466978	2649	77.41087083576856	790	23.08591466978375	18	772	1	2631	0
Tumor_07_Control	Tumor_07	Control	360	360	80	22.22222222222222	277	76.94444444444444	163	45.27777777777778	80	83	0	197	0
Tumor_07_Tamoxifen	Tumor_07	Tamoxifen	446	446	146	32.73542600896861	373	83.6322869955157	215	48.20627802690583	144	71	2	229	0
Tumor_08_Control	Tumor_08	Control	906	906	17	1.8763796909492274	880	97.13024282560707	43	4.746136865342163	17	26	0	863	0
Tumor_08_Tamoxifen	Tumor_08	Tamoxifen	984	984	25	2.540650406504065	294	29.878048780487806	681	69.20731707317073	8	673	17	286	0
Tumor_09_Control	Tumor_09	Control	1854	1853	47	2.536427415002698	717	38.69400971397734	1183	63.84241770102536	47	1136	0	670	1
Tumor_09_Tamoxifen	Tumor_09	Tamoxifen	1989	1988	119	5.985915492957746	720	36.21730382293762	1387	69.76861167002012	119	1268	0	601	1
Tumor_10_Control	Tumor_10	Control	416	416	61	14.663461538461538	154	37.01923076923077	315	75.72115384615384	57	258	4	97	0
Tumor_10_Tamoxifen	Tumor_10	Tamoxifen	278	278	2	0.7194244604316546	22	7.913669064748201	254	91.36690647482014	0	254	2	22	0
