gene_symbol	crispr_effect_size	crispr_se	crispr_p_value	crispr_fdr	crispr_n_guides	gse118713_gene_id	mapping_status	passed_gse118713_expression_filter	mcf7_baseline_log2_tpm_plus1	tamr_vs_mcf7_log2fc	tamr_vs_mcf7_fdr	tamr_vs_fasr_log2fc	tamr_vs_fasr_fdr	gse118713_de_na_reason
PTEN	3.3317870701317656	0.2259660928778226	1.1682458336322448e-11	2.2317000159876773e-07	4	ENSG00000171862	unique_filtered	True	5.489654190266465	-0.39072867283774	0.0738932933249503	-0.111825044584299	0.547248692939314	
CSK	2.8930076779394955	0.233578436478356	2.2005773402918175e-10	1.980969177858585e-06	4	ENSG00000103653	unique_filtered	True	6.805158989310125	0.320365895079171	0.229948458536039	1.19067011799513	0.0003860768522978	
NF1	3.201469104004488	0.2639525418430762	3.1109812770642067e-10	1.980969177858585e-06	4	ENSG00000196712	unique_filtered	True	3.8652136437917477	0.401298410976755	0.241892052255367	1.04225674599884	0.0040559800221732	
KDM1A	-2.1673356347994606	0.25421898635992957	8.061303724868798e-08	0.00038498771264042166	4	ENSG00000004487	unique_filtered	True	6.1414666719780575					blinded_at_source_not_recomputed
TLK2	-1.8481983037301877	0.24354877054016874	4.3863033811946755e-07	0.0016758310698192377	4	ENSG00000146872	unique_filtered	True	5.844355523603434	-0.151752544851276	0.674943903042664	0.482742539005659	0.106369921946389	
KMT2C	1.683754395316134	0.24411780571326333	1.6501945428892681e-06	0.005253944392135615	4	ENSG00000055609	unique_filtered	True	3.1693806516547496	0.0353127981755361	0.925860041774027	0.239277493735556	0.36634927384417	
SOX2	1.5125795984924384	0.23645123986025163	4.4820586915723774e-06	0.012231538169301018	4	ENSG00000181449	unique_filtered	True	0.9941675442387347	0.689938479322989	0.0092742607600249	-1.39377691575381	5.3882062872673e-05	
LZTR1	1.4583532397139498	0.2306112099134055	5.201626345221791e-06	0.012420833509096485	4	ENSG00000099949	unique_filtered	True	4.08089447434901	1.11048033871916	0.0151008717779808	-0.116106183698546	0.752902083374587	
TADA2B	-2.0643649381530107	0.3336115013396296	6.8725943769325934e-06	0.014587463375838149	4	ENSG00000173011	unique_filtered	True	3.7903945710432616	0.0065434913994519	0.984583852830181	1.49326556920082	3.85518916059116e-05	
USP17L29	-2.1448239489713394	0.3683039795210282	1.4674995092382967e-05	0.028033643124979184	4	ENSG00000231637	unique_filtered_out	False	0.0					filtered_out_no_de_fit
