gene	anon_id
ANKRD39	Gene00001
TMCO1-AS1	Gene00002
AL355377.3	Gene00003
LINC01819	Gene00004
FAM86HP	Gene00005
PACSIN1	Gene00006
TAP1	Gene00007
ZBTB44	Gene00008
RN7SL425P	Gene00009
LINC01311	Gene00010
SNORD116-20	Gene00011
CTC-260E6.2	Gene00012
MAK	Gene00013
HSD17B7	Gene00014
CNNM4	Gene00015
RP11-32B5.1	Gene00016
RP11-381E24.1	Gene00017
FAM26D	Gene00018
CTA-292E10.6	Gene00019
TRAPPC2B	Gene00020
AC022031.2	Gene00021
RP11-347D21.2	Gene00022
NAT10	Gene00023
NUDT4	Gene00024
FAM64A	Gene00025
C19orf40	Gene00026
NR4A2	Gene00027
RP11-197M22.2	Gene00028
AL162231.2	Gene00029
HTR1A	Gene00030
SMARCD1	Gene00031
TRAM1	Gene00032
AP000962.1	Gene00033
RP11-52J3.2	Gene00034
RP11-596C23.2	Gene00035
LA16c-380H5.1	Gene00036
FOXC2	Gene00037
FAM200A	Gene00038
AC087241.2	Gene00039
RP11-573M3.3	Gene00040
RP3-324O17.7	Gene00041
PCSK1N	Gene00042
TUBD1	Gene00043
CDR1	Gene00044
SOX14	Gene00045
LINC01604	Gene00046
RP11-580I1.1	Gene00047
AC096649.2	Gene00048
TBC1D7	Gene00049
C6orf229	Gene00050
C20orf196	Gene00051
UNC5A	Gene00052
CNN1	Gene00053
CYB561	Gene00054
RP11-576C12.1	Gene00055
AL162151.3	Gene00056
STX3	Gene00057
RP11-313P22.1	Gene00058
EAF1-AS1	Gene00059
AC005899.7	Gene00060
AC009812.4	Gene00061
COX11	Gene00062
HNRNPA3P7	Gene00063
STARD5	Gene00064
AL355472.4	Gene00065
HS3ST3A1	Gene00066
TWISTNB	Gene00067
AC092957.1	Gene00068
CHCHD4	Gene00069
AC005229.4	Gene00070
RP11-51F16.8	Gene00071
BCL2L1	Gene00072
AC145212.1	Gene00073
USPL1	Gene00074
FAM150B	Gene00075
CBLN3	Gene00076
LINC00152	Gene00077
CMKLR1	Gene00078
RP11-451H23.1	Gene00079
LINC01229	Gene00080
MET	Gene00081
GPR151	Gene00082
DEAR	Gene00083
RP11-93K22.6	Gene00084
MSS51	Gene00085
LRRC46	Gene00086
NEURL4	Gene00087
CIAPIN1	Gene00088
LCA5	Gene00089
MTND1P3	Gene00090
AL049870.2	Gene00091
ZNF727	Gene00092
MAP3K4	Gene00093
MYO9B	Gene00094
AL158068.2	Gene00095
RP11-241F15.10	Gene00096
OLFM3	Gene00097
GPAT2	Gene00098
CA10	Gene00099
CAMKMT	Gene00100
STK19B	Gene00101
RPL13A	Gene00102
AF064860.7	Gene00103
AC090948.3	Gene00104
USP19	Gene00105
AC092661.1	Gene00106
FBXW9	Gene00107
VLDLR-AS1	Gene00108
RBPJL	Gene00109
TRO	Gene00110
TPX2	Gene00111
RP5-1042I8.7	Gene00112
SPART-AS1	Gene00113
LINC02476	Gene00114
RP11-151A6.4	Gene00115
AC093323.1	Gene00116
EML2-AS1	Gene00117
PRR35	Gene00118
RTCB	Gene00119
LXN	Gene00120
TGOLN2	Gene00121
CSPG4	Gene00122
CUL5	Gene00123
RP11-849I19.2	Gene00124
ULK4	Gene00125
AC006160.1	Gene00126
RYR2	Gene00127
DDO	Gene00128
ACTN1	Gene00129
CTD-2270L9.4	Gene00130
DSCR3	Gene00131
FOXL2NB	Gene00132
AL354696.2	Gene00133
ANHX	Gene00134
RP4-564F22.7	Gene00135
AC239803.3	Gene00136
AC023790.2	Gene00137
ZFHX4	Gene00138
ITFG2	Gene00139
EDARADD	Gene00140
PUS7	Gene00141
AC018695.6	Gene00142
AC008026.3	Gene00143
ZBTB6	Gene00144
NUDT15	Gene00145
CMC1	Gene00146
CCDC3	Gene00147
ALKBH3-AS1	Gene00148
DM1-AS	Gene00149
LHX6	Gene00150
IDNK	Gene00151
NPFF	Gene00152
SLC8A1	Gene00153
NCOA1	Gene00154
NPAS3	Gene00155
TMEM89	Gene00156
SPPL2B	Gene00157
C10orf55	Gene00158
FCER1G	Gene00159
AL158211.3	Gene00160
AP006621.5	Gene00161
RP1-228P16.4	Gene00162
RP13-210D15.8	Gene00163
RP11-397E7.4	Gene00164
HLA-DRA	Gene00165
LINC02253	Gene00166
OLMALINC	Gene00167
VCX2	Gene00168
SPICE1	Gene00169
AC113383.1	Gene00170
CEP57L1	Gene00171
CTHRC1	Gene00172
RNU1-124P	Gene00173
UBXN8	Gene00174
LINC01364	Gene00175
AC011825.4	Gene00176
AL138999.2	Gene00177
XCR1	Gene00178
DOCK9	Gene00179
RBMY1D	Gene00180
IFI27L2	Gene00181
MAP3K7	Gene00182
SMYD5	Gene00183
ZNF500	Gene00184
AC025442.2	Gene00185
DLEU1-AS1	Gene00186
RP11-535A19.2	Gene00187
RP11-715F3.2	Gene00188
APBB1	Gene00189
SLC45A4	Gene00190
CNPPD1	Gene00191
RP11-245J9.6	Gene00192
VWA3A	Gene00193
RP11-475C16.1	Gene00194
AL137796.1	Gene00195
BMP3	Gene00196
IFNA14	Gene00197
RNF19A	Gene00198
COQ7	Gene00199
BOLA2P2	Gene00200
AC009227.1	Gene00201
DENND5B	Gene00202
RP11-761I4.3	Gene00203
GALNT6	Gene00204
RDM1	Gene00205
ABCA6	Gene00206
MRPS33	Gene00207
ZNF252P-AS1	Gene00208
IGF2BP1	Gene00209
TPMT	Gene00210
RP11-120K18.2	Gene00211
LINC01446	Gene00212
TLE4	Gene00213
CSPG5	Gene00214
NOP53-AS1	Gene00215
AC023049.1	Gene00216
MIA	Gene00217
FBXW4P1	Gene00218
RP11-1079K10.3	Gene00219
BX255925.3	Gene00220
NPFFR1	Gene00221
SLC23A1	Gene00222
AAK1	Gene00223
RP11-707M3.3	Gene00224
RP5-1042K10.10	Gene00225
CREB1	Gene00226
RN7SL608P	Gene00227
AL596094.1	Gene00228
CTD-2517M22.17	Gene00229
AC022613.3	Gene00230
AL138826.1	Gene00231
RP11-680F20.10	Gene00232
MTND5P2	Gene00233
FAR2P4	Gene00234
CREB3L1	Gene00235
EIF2D	Gene00236
CLEC5A	Gene00237
AC036108.3	Gene00238
LUCAT1	Gene00239
UBXN6	Gene00240
CTR9	Gene00241
LINC00969	Gene00242
RP11-47I22.4	Gene00243
GABRG2	Gene00244
NT5C3B	Gene00245
MIATNB	Gene00246
AC016766.1	Gene00247
KIRREL	Gene00248
AL591893.1	Gene00249
RP5-857K21.7	Gene00250
AC078881.1	Gene00251
CTC-453G23.5	Gene00252
SPHAR	Gene00253
TRHDE	Gene00254
PNRC1	Gene00255
DZIP1L	Gene00256
RN7SL767P	Gene00257
DEF8	Gene00258
RETREG2	Gene00259
ZNF446	Gene00260
RP11-36B15.1	Gene00261
C2orf16	Gene00262
CCDC168	Gene00263
RP11-66D17.3	Gene00264
EI24	Gene00265
AC012178.1	Gene00266
BZW1P1	Gene00267
KDM1B	Gene00268
RP5-1024G6.2	Gene00269
DDX12P	Gene00270
PRSS50	Gene00271
TTF1	Gene00272
STAT3	Gene00273
RP11-93O14.3	Gene00274
OPHN1	Gene00275
RNASEL	Gene00276
CTD-2396E7.11	Gene00277
AP001437.1	Gene00278
AC023830.1	Gene00279
SELENOP	Gene00280
PLAGL1	Gene00281
RP11-173A16.2	Gene00282
FLJ46284	Gene00283
LINC01481	Gene00284
MIR181B1	Gene00285
SNRPEP4	Gene00286
BRIP1	Gene00287
PILRA	Gene00288
HHIPL2	Gene00289
RP11-973H7.3	Gene00290
AC007848.1	Gene00291
LOC102724279	Gene00292
RP11-33B1.4	Gene00293
PCSK2	Gene00294
RP11-380G5.2	Gene00295
NUP107	Gene00296
CPA5	Gene00297
AC025183.2	Gene00298
VPS28	Gene00299
RP11-73K9.2	Gene00300
RP11-983P16.2	Gene00301
UCP3	Gene00302
SMIM36	Gene00303
CDC42-IT1	Gene00304
LINC02763	Gene00305
FAM83D	Gene00306
JAKMIP3	Gene00307
UVSSA	Gene00308
RP11-45P15.4	Gene00309
MARC2	Gene00310
ADM2	Gene00311
DNAJC12	Gene00312
OLA1	Gene00313
KCNA7	Gene00314
CTD-2201G3.1	Gene00315
AC092162.1	Gene00316
LINC01194	Gene00317
ZNF808	Gene00318
CEBPA	Gene00319
LRP5L	Gene00320
GPT	Gene00321
MIR29B2	Gene00322
IBTK	Gene00323
KIAA1549L	Gene00324
B3GALT4	Gene00325
AL358072.1	Gene00326
DUSP14	Gene00327
ZNF790	Gene00328
ZNF774	Gene00329
AC004803.1	Gene00330
CTD-2336O2.1	Gene00331
FHP1	Gene00332
MYO15A	Gene00333
AC073332.1	Gene00334
RP11-114M1.3	Gene00335
MIR378J	Gene00336
AKNA	Gene00337
RP3-430N8.10	Gene00338
KCTD16	Gene00339
SPN	Gene00340
AC133680.1	Gene00341
ZRANB2-AS2	Gene00342
HOXB6	Gene00343
SPANXA2	Gene00344
AP003068.23	Gene00345
MSRA	Gene00346
RCAN1	Gene00347
CTD-3099C6.9	Gene00348
XDH	Gene00349
CNOT6L	Gene00350
SLC17A2	Gene00351
RP4-550H1.4	Gene00352
ZBTB33	Gene00353
AC100832.2	Gene00354
BNIP3P16	Gene00355
AVPR1A	Gene00356
AC116036.2	Gene00357
RP11-218M22.1	Gene00358
SIRT1	Gene00359
VSIG10L2	Gene00360
AL391845.1	Gene00361
UGT1A6	Gene00362
MYH7	Gene00363
CD8A	Gene00364
AC097382.3	Gene00365
ENDOG	Gene00366
SNORD110	Gene00367
TRIM13	Gene00368
RP11-490G8.1	Gene00369
TJP2	Gene00370
CLDN15	Gene00371
NRD1	Gene00372
AC093388.3	Gene00373
AP003419.16	Gene00374
F11-AS1	Gene00375
CISD2	Gene00376
APOBEC3D	Gene00377
PCBP1	Gene00378
ZNF512B	Gene00379
AC018557.3	Gene00380
ECD	Gene00381
RGS4	Gene00382
MAS1	Gene00383
SEMA3F-AS1	Gene00384
AC104781.2	Gene00385
