gene	crispr_effect	crispr_p	crispr_fdr	crispr_direction	crispr_fdr_significant	crispr_evidence_percentile
PTEN	3.3317870701317656	1.1682458336322448e-11	2.2317000159876773e-07	tolerance_associated_KO	True	1.0
CSK	2.8930076779394955	2.2005773402918168e-10	1.980969177858585e-06	tolerance_associated_KO	True	0.9999476494607894
NF1	3.201469104004488	3.1109812770642067e-10	1.980969177858585e-06	tolerance_associated_KO	True	0.9998952989215788
KDM1A	-2.167335634799461	8.061303724868798e-08	0.0003849877126404	sensitising_KO	True	0.9998429483823684
TLK2	-1.848198303730188	4.386303381194677e-07	0.0016758310698192	sensitising_KO	True	0.9997905978431578
KMT2C	1.683754395316134	1.650194542889268e-06	0.0052539443921356	tolerance_associated_KO	True	0.9997382473039472
SOX2	1.5125795984924384	4.4820586915723774e-06	0.012231538169301	tolerance_associated_KO	True	0.9996858967647366
LZTR1	1.4583532397139498	5.201626345221791e-06	0.0124208335090964	tolerance_associated_KO	True	0.999633546225526
TADA2B	-2.0643649381530107	6.8725943769325934e-06	0.0145874633758381	sensitising_KO	True	0.9995811956863156
USP17L29	-2.1448239489713394	1.4674995092382969e-05	0.0280336431249791	sensitising_KO	True	0.999528845147105
VEZF1	-1.602445388833546	2.497000741678817e-05	0.0372575660229722	sensitising_KO	True	0.9994764946078945
HMGB1	-1.4740651006700034	2.551808246234588e-05	0.0372575660229722	sensitising_KO	True	0.999424144068684
EIF4ENIF1	-1.5506541534723943	2.8211529650492784e-05	0.0372575660229722	sensitising_KO	True	0.9993717935294734
SUPT4H1	-1.6837884606622353	2.8217361523605968e-05	0.0372575660229722	sensitising_KO	True	0.9993194429902628
ICK	-1.2245539921905229	2.92552735352868e-05	0.0372575660229722	sensitising_KO	True	0.9992670924510524
KDM6A	2.259563025014412	3.574163466644781e-05	0.0416851803622835	tolerance_associated_KO	True	0.9992147419118416
DPP9	1.3751072314321586	3.712159796876289e-05	0.0416851803622835	tolerance_associated_KO	True	0.9991623913726312
USP34	-1.3912980676838431	3.927829380312541e-05	0.0416851803622835	sensitising_KO	True	0.9991100408334206
RASA2	1.2969414819378675	4.2032356836587575e-05	0.0419031835559097	tolerance_associated_KO	True	0.99905769029421
PET117	-1.8279505886266567	4.387078841638455e-05	0.0419031835559097	sensitising_KO	True	0.9990053397549996
CUX1	1.2655384098421134	4.945480305157648e-05	0.044987385842584	tolerance_associated_KO	True	0.9989529892157888
TFAP2C	1.5406554782432211	5.552676879419332e-05	0.0482149029216125	tolerance_associated_KO	True	0.9989006386765784
TSR3	-1.6187529731582495	8.291733910908465e-05	0.0679959978896869	sensitising_KO	True	0.9988482881373678
PTPN3	1.6135574502712569	8.542657956093207e-05	0.0679959978896869	tolerance_associated_KO	True	0.9987959375981572
CTDNEP1	-1.3929700500469568	9.053999047143436e-05	0.0691834175190324	sensitising_KO	True	0.9987435870589468
SPRED2	1.6872268467811598	0.0001071833806909	0.0783442627744789	tolerance_associated_KO	True	0.998691236519736
ILK	2.1731202681634	0.0001107310419782	0.0783442627744789	tolerance_associated_KO	True	0.9986388859805256
TSC1	1.2814671009362222	0.0001215676504178	0.0829395294976029	tolerance_associated_KO	True	0.998586535441315
DOT1L	-1.2987922672008398	0.0001589866545259	0.1013040488730637	sensitising_KO	False	0.9985341849021044
TIPARP	1.1260406665820897	0.0001590913189651	0.1013040488730637	tolerance_associated_KO	False	0.998481834362894
MRGBP	-1.593677951029952	0.000177469090535	0.1093610334351893	sensitising_KO	False	0.9984294838236834
F8A3	-1.9141933709753545	0.0001890826054922	0.109955077591718	sensitising_KO	False	0.9983771332844728
DCAF7	-1.069272925769825	0.0001928218107752	0.109955077591718	sensitising_KO	False	0.9983247827452624
CITED2	-1.4953555271062804	0.0001957008133862	0.109955077591718	sensitising_KO	False	0.9982724322060518
KCTD5	1.2488462817636783	0.0002074412417513	0.1127753613387858	tolerance_associated_KO	False	0.9982200816668412
SLC30A1	1.3764921244002135	0.0002197816236458	0.1127753613387858	tolerance_associated_KO	False	0.9981677311276306
TAF6L	-1.8404070938940915	0.0002204426486718	0.1127753613387858	sensitising_KO	False	0.99811538058842
MBTPS2	1.1614302745015106	0.0002243345930416	0.1127753613387858	tolerance_associated_KO	False	0.9980630300492096
FIBP	1.2809082172705288	0.0002765687497509	0.1354690468331292	tolerance_associated_KO	False	0.998010679509999
SYNCRIP	-1.7275353891230507	0.0002872480766746	0.1371825002178894	sensitising_KO	False	0.9979583289707884
EML5	-1.058423339442026	0.0003193061123217	0.1487732844800642	sensitising_KO	False	0.9979059784315778
PTRH1	1.280537851544283	0.000335545208233	0.1526171455446533	tolerance_associated_KO	False	0.9978536278923672
MED6	-1.4428207121724963	0.0003654592237971	0.1623573849348215	sensitising_KO	False	0.9978012773531568
YBX1	-1.1597376260436816	0.0003996034810342	0.1701995429309157	sensitising_KO	False	0.9977489268139462
BRPF1	-1.932293691195467	0.0004009307141229	0.1701995429309157	sensitising_KO	False	0.9976965762747356
NANS	1.079443305758888	0.0004223772309072	0.1754059183048018	tolerance_associated_KO	False	0.997644225735525
CDR1	1.5083647448065207	0.0004782561682905	0.1897587915192537	tolerance_associated_KO	False	0.9975918751963144
SMARCD1	1.481030068996299	0.0004884294371374	0.1897587915192537	tolerance_associated_KO	False	0.997539524657104
JARID2	-1.405223847793744	0.0005037185030793	0.1897587915192537	sensitising_KO	False	0.9974871741178934
G6PD	1.212505619799881	0.0005084708946996	0.1897587915192537	tolerance_associated_KO	False	0.9974348235786828
DDX19A	-1.336013107159161	0.0005126584187986	0.1897587915192537	sensitising_KO	False	0.9973824730394724
TMEM53	0.9566415256551322	0.0005165396617809	0.1897587915192537	tolerance_associated_KO	False	0.9973301225002618
SENP3	1.3475758725940432	0.0005499474181094	0.1982197269461327	tolerance_associated_KO	False	0.9972777719610512
ATP5E	-1.308642448097924	0.0005665028119407	0.2004056151204539	sensitising_KO	False	0.9972254214218408
LPPR2	-1.3982267755575748	0.00062350187995	0.2165592075033807	sensitising_KO	False	0.99717307088263
STK11	1.754400198648688	0.0006440140533638	0.2181201395287632	tolerance_associated_KO	False	0.9971207203434196
TAF4	1.2736798999637902	0.0006508322228518	0.2181201395287632	tolerance_associated_KO	False	0.997068369804209
PBRM1	1.313084266455431	0.0006721813951214	0.2213910550173145	tolerance_associated_KO	False	0.9970160192649984
SPEN	0.9751941388545616	0.0006963041200523	0.2253490677044233	tolerance_associated_KO	False	0.996963668725788
ATRN	1.0266843483270325	0.0007172231796701	0.2253490677044233	tolerance_associated_KO	False	0.9969113181865772
RCOR1	-2.336427091214848	0.0007283298253742	0.2253490677044233	sensitising_KO	False	0.9968589676473668
LUC7L2	-0.92838273560276	0.0007328772397914	0.2253490677044233	sensitising_KO	False	0.9968066171081562
CARM1	-1.025773238843696	0.0007431812419713	0.2253490677044233	sensitising_KO	False	0.9967542665689456
SCO1	-1.1609310366307737	0.0007827257707987	0.2336314124932632	sensitising_KO	False	0.9967019160297352
C9orf153	0.9700335787561132	0.0008091812842159	0.2364959150502595	tolerance_associated_KO	False	0.9966495654905244
RARS	-1.2655037347199247	0.0008333604326029	0.2364959150502595	sensitising_KO	False	0.996597214951314
ACSM2B	-1.138540934085703	0.0008400391515657	0.2364959150502595	sensitising_KO	False	0.9965448644121034
CLDN3	1.2355908563456897	0.0008518146220105	0.2364959150502595	tolerance_associated_KO	False	0.9964925138728928
FGF12	1.0748195131000138	0.0008850703210914	0.2364959150502595	tolerance_associated_KO	False	0.9964401633336823
ARIH2	1.0189916023289385	0.0008902025718697	0.2364959150502595	tolerance_associated_KO	False	0.9963878127944716
PPIP5K2	0.9612903208593532	0.0008905045987849	0.2364959150502595	tolerance_associated_KO	False	0.9963354622552612
RIC1	1.4076756925662233	0.0008913629211966	0.2364959150502595	tolerance_associated_KO	False	0.9962831117160508
SPC25	-1.093755952878943	0.000906486764125	0.2372139267819376	sensitising_KO	False	0.9962307611768402
NR2F2	1.243319890515716	0.000949783792091	0.2451854024367028	tolerance_associated_KO	False	0.9961784106376296
CLASRP	1.1321622106222202	0.0009636021041629	0.2454358799443414	tolerance_associated_KO	False	0.996126060098419
USP7	-1.1113057786764902	0.0009872605910123	0.2459445453513707	sensitising_KO	False	0.9960737095592084
UBXN10	1.2143668084055133	0.0010011525344563	0.2459445453513707	tolerance_associated_KO	False	0.996021359019998
EEF1A1	-1.3266595024358976	0.0010042231344504	0.2459445453513707	sensitising_KO	False	0.9959690084807874
ATN1	-0.9928936119708284	0.0010688403734084	0.2569712731144878	sensitising_KO	False	0.9959166579415768
RBFA	-1.12480416568709	0.0010761504396774	0.2569712731144878	sensitising_KO	False	0.9958643074023662
BPTF	-1.1419164553715984	0.0011161331063387	0.2584478618132996	sensitising_KO	False	0.9958119568631556
MRFAP1L1	-1.7298940165514534	0.0011281410067776	0.2584478618132996	sensitising_KO	False	0.9957596063239452
DDX24	-1.1014863571987554	0.0011282023593332	0.2584478618132996	sensitising_KO	False	0.9957072557847346
TSC2	0.8569709608267981	0.0011364508397799	0.2584478618132996	tolerance_associated_KO	False	0.995654905245524
PDCD1LG2	1.0690793217702748	0.0011622634361659	0.2612084520126788	tolerance_associated_KO	False	0.9956025547063134
PCGF2	-1.3158128561668043	0.0011869485698961	0.2636544015200702	sensitising_KO	False	0.9955502041671028
MAP2K3	-0.9260476403501904	0.0012311725895075	0.2703343675558943	sensitising_KO	False	0.9954978536278924
CCNF	-1.1042841405037738	0.0012470038557151	0.2706990301787155	sensitising_KO	False	0.9954455030886818
NEIL3	1.0810646258016776	0.0012857967061897	0.2759839829027206	tolerance_associated_KO	False	0.9953931525494712
ENDOG	1.150872747893093	0.0013612631600044	0.2859674335694762	tolerance_associated_KO	False	0.9953408020102608
XPNPEP3	-0.9231556579405922	0.0013622486758531	0.2859674335694762	sensitising_KO	False	0.9952884514710502
RDX	1.1609318870176528	0.0013980370166112	0.2902902296557069	tolerance_associated_KO	False	0.9952361009318396
KCMF1	-1.369302530718512	0.0014228393840008	0.2917448895675328	sensitising_KO	False	0.9951837503926292
CDK13	-1.4324159261560103	0.0014386247024145	0.2917448895675328	sensitising_KO	False	0.9951313998534184
RARB	1.123512447813115	0.0014515264638035	0.2917448895675328	tolerance_associated_KO	False	0.995079049314208
ATP5J2-PTCD1	-0.9278997224199026	0.0014826798451069	0.2917448895675328	sensitising_KO	False	0.9950266987749974
TMEM239	1.0196307948386458	0.0014870693351463	0.2917448895675328	tolerance_associated_KO	False	0.9949743482357868
MPO	-1.3216159942824284	0.0014966758717279	0.2917448895675328	sensitising_KO	False	0.9949219976965764
ZBTB7A	-1.355449389102393	0.0015448833001219	0.294220831937354	sensitising_KO	False	0.9948696471573656
ZBTB9	-1.0069658255216805	0.0015505737589724	0.294220831937354	sensitising_KO	False	0.9948172966181552
CHD6	1.0052383292880176	0.0015798681586587	0.294220831937354	tolerance_associated_KO	False	0.9947649460789446
KLF4	1.1323716701214952	0.0015819669444611	0.294220831937354	tolerance_associated_KO	False	0.994712595539734
SFXN2	1.4594979764028355	0.0015889386002791	0.294220831937354	tolerance_associated_KO	False	0.9946602450005236
ZSWIM6	-1.329045820693506	0.0016044402121918	0.294220831937354	sensitising_KO	False	0.9946078944613128
NUF2	-1.2785919975828088	0.0016171903550972	0.294220831937354	sensitising_KO	False	0.9945555439221024
