gene	evidence_category
5S_rRNA	LOW_COVERAGE
7SK	LOW_COVERAGE
A1BG	LOW_EVIDENCE
A1BG-AS1	LOW_EVIDENCE
A1CF	LOW_COVERAGE
A2M	RNA_RESISTANCE_CONSENSUS
A2M-AS1	ACUTE_RESPONSE
A2ML1	LOW_EVIDENCE
A2ML1-AS1	LOW_COVERAGE
A2MP1	LOW_COVERAGE
A3GALT2	LOW_COVERAGE
A4GALT	RNA_RESISTANCE_CONSENSUS
A4GNT	LOW_COVERAGE
AAAS	RNA_RESISTANCE_CONSENSUS
AACS	LOW_EVIDENCE
AADAC	LOW_EVIDENCE
AADACL2	LOW_COVERAGE
AADACL3	LOW_COVERAGE
AADACL4	LOW_COVERAGE
AADAT	LOW_EVIDENCE
AAED1	RNA_RESISTANCE_CONSENSUS
AAGAB	LOW_EVIDENCE
AAK1	LOW_EVIDENCE
AAMDC	LOW_EVIDENCE
AAMP	RNA_RESISTANCE_CONSENSUS
AANAT	LOW_EVIDENCE
AAR2	LOW_EVIDENCE
AARD	RNA_RESISTANCE_CONSENSUS
AARS	RNA_RESISTANCE_CONSENSUS
AARS2	LOW_EVIDENCE
AARSD1	LOW_EVIDENCE
AASDH	LOW_EVIDENCE
AASDHPPT	LOW_EVIDENCE
AASS	RNA_RESISTANCE_CONSENSUS
AATBC	LOW_COVERAGE
AATF	LOW_EVIDENCE
AATK	RNA_RESISTANCE_CONSENSUS
AB015752.3	LOW_COVERAGE
AB019441.29	LOW_COVERAGE
ABALON	LOW_COVERAGE
ABAT	RNA_RESISTANCE_CONSENSUS
ABC12-49244600F4.4	LOW_COVERAGE
ABCA1	ACUTE_RESPONSE
ABCA10	LOW_EVIDENCE
ABCA11P	LOW_COVERAGE
ABCA12	RNA_RESISTANCE_CONSENSUS
ABCA13	LOW_COVERAGE
ABCA17P	LOW_COVERAGE
ABCA2	RNA_RESISTANCE_CONSENSUS
ABCA3	RNA_RESISTANCE_CONSENSUS
ABCA4	RNA_RESISTANCE_CONSENSUS
