gene	global_rank	status
CSK	2363	ranked_but_far_down
CTDNEP1	5045	ranked_but_far_down
DPP9	1090	ranked_but_far_down
EIF4ENIF1	2536	ranked_but_far_down
HMGB1	2690	ranked_but_far_down
ICK	2584	ranked_but_far_down
ILK	5415	ranked_but_far_down
KDM1A	2241	ranked_but_far_down
KDM6A	2575	ranked_but_far_down
KMT2C	2673	ranked_but_far_down
LZTR1	1173	ranked_but_far_down
NF1	2581	ranked_but_far_down
PET117	2790	ranked_but_far_down
PTEN	2385	ranked_but_far_down
PTPN3	5913	ranked_but_far_down
RASA2	2805	ranked_but_far_down
SPRED2	2484	ranked_but_far_down
SUPT4H1	2518	ranked_but_far_down
TADA2B	2729	ranked_but_far_down
TLK2	2726	ranked_but_far_down
TSC1	5350	ranked_but_far_down
TSR3	5449	ranked_but_far_down
USP17L29		below_coverage_threshold_1_of_5_testable
VEZF1	1138	ranked_but_far_down
