gene	n_datasets_present	n_datasets_testable	crispr_present	crispr_testable	gse118713_present	gse118713_testable	gse245601_present	gse245601_testable	gse240112_present	gse240112_testable	gse111151_present	gse111151_testable
5S_rRNA	1	1	False	False	False	False	False	False	False	False	True	True
7SK	1	1	False	False	True	True	False	False	False	False	False	False
A1BG	5	5	True	True	True	True	True	True	True	True	True	True
A1BG-AS1	4	4	False	False	True	True	True	True	True	True	True	True
A1CF	2	2	True	True	False	False	False	False	False	False	True	True
A2M	5	5	True	True	True	True	True	True	True	True	True	True
A2M-AS1	3	3	False	False	False	False	True	True	True	True	True	True
A2ML1	3	3	True	True	False	False	False	False	True	True	True	True
A2ML1-AS1	2	2	False	False	False	False	False	False	True	True	True	True
A2MP1	2	2	False	False	True	True	False	False	False	False	True	True
A3GALT2	1	1	True	True	False	False	False	False	False	False	False	False
A4GALT	5	5	True	True	True	True	True	True	True	True	True	True
A4GNT	1	1	True	True	False	False	False	False	False	False	False	False
AAAS	5	5	True	True	True	True	True	True	True	True	True	True
AACS	5	5	True	True	True	True	True	True	True	True	True	True
AADAC	3	3	True	True	False	False	True	True	False	False	True	True
AADACL2	1	1	True	True	False	False	False	False	False	False	False	False
AADACL3	2	2	True	True	False	False	False	False	False	False	True	True
AADACL4	2	2	True	True	False	False	False	False	False	False	True	True
AADAT	5	5	True	True	True	True	True	True	True	True	True	True
AAED1	4	4	True	True	True	True	True	True	False	False	True	True
AAGAB	5	5	True	True	True	True	True	True	True	True	True	True
AAK1	5	5	True	True	True	True	True	True	True	True	True	True
AAMDC	5	5	True	True	True	True	True	True	True	True	True	True
AAMP	5	5	True	True	True	True	True	True	True	True	True	True
AANAT	3	3	True	True	False	False	False	False	True	True	True	True
AAR2	5	5	True	True	True	True	True	True	True	True	True	True
AARD	5	5	True	True	True	True	True	True	True	True	True	True
AARS	5	5	True	True	True	True	True	True	True	True	True	True
AARS2	5	5	True	True	True	True	True	True	True	True	True	True
AARSD1	5	5	True	True	True	True	True	True	True	True	True	True
AASDH	5	5	True	True	True	True	True	True	True	True	True	True
AASDHPPT	5	5	True	True	True	True	True	True	True	True	True	True
AASS	5	5	True	True	True	True	True	True	True	True	True	True
AATBC	1	1	False	False	False	False	False	False	False	False	True	True
AATF	5	5	True	True	True	True	True	True	True	True	True	True
AATK	5	5	True	True	True	True	True	True	True	True	True	True
AB015752.3	1	1	False	False	False	False	False	False	False	False	True	True
AB019441.29	1	1	False	False	False	False	False	False	False	False	True	True
ABALON	3	3	False	False	False	False	True	True	True	True	True	True
ABAT	5	5	True	True	True	True	True	True	True	True	True	True
ABC12-49244600F4.4	1	1	False	False	False	False	False	False	False	False	True	True
ABCA1	3	3	True	True	False	False	True	True	False	False	True	True
ABCA10	4	4	True	True	False	False	True	True	True	True	True	True
ABCA11P	2	2	False	False	True	True	False	False	False	False	True	True
ABCA12	5	5	True	True	True	True	True	True	True	True	True	True
ABCA13	2	2	True	True	False	False	False	False	True	True	False	False
ABCA17P	1	1	False	False	False	False	False	False	False	False	True	True
ABCA2	5	5	True	True	True	True	True	True	True	True	True	True
ABCA3	5	5	True	True	True	True	True	True	True	True	True	True
ABCA4	4	4	True	True	False	False	True	True	True	True	True	True
ABCA5	5	5	True	True	True	True	True	True	True	True	True	True
ABCA6	4	4	True	True	False	False	True	True	True	True	True	True
ABCA7	5	5	True	True	True	True	True	True	True	True	True	True
ABCA8	1	1	True	True	False	False	False	False	False	False	False	False
ABCA9	4	4	True	True	False	False	True	True	True	True	True	True
ABCB1	4	4	True	True	False	False	True	True	True	True	True	True
ABCB10	5	5	True	True	True	True	True	True	True	True	True	True
ABCB11	3	3	True	True	False	False	False	False	True	True	True	True
ABCB4	3	3	True	True	False	False	False	False	True	True	True	True
ABCB5	1	1	True	True	False	False	False	False	False	False	False	False
ABCB6	5	5	True	True	True	True	True	True	True	True	True	True
ABCB7	5	5	True	True	True	True	True	True	True	True	True	True
ABCB8	5	5	True	True	True	True	True	True	True	True	True	True
ABCB9	5	5	True	True	True	True	True	True	True	True	True	True
ABCC1	5	5	True	True	True	True	True	True	True	True	True	True
ABCC10	5	5	True	True	True	True	True	True	True	True	True	True
ABCC11	5	5	True	True	True	True	True	True	True	True	True	True
ABCC12	3	3	True	True	False	False	False	False	True	True	True	True
ABCC13	1	1	False	False	False	False	False	False	False	False	True	True
ABCC2	5	5	True	True	True	True	True	True	True	True	True	True
ABCC3	5	5	True	True	True	True	True	True	True	True	True	True
ABCC4	5	5	True	True	True	True	True	True	True	True	True	True
ABCC5	5	5	True	True	True	True	True	True	True	True	True	True
ABCC5-AS1	2	2	False	False	False	False	False	False	True	True	True	True
ABCC6	5	5	True	True	True	True	True	True	True	True	True	True
ABCC6P1	1	1	False	False	False	False	False	False	False	False	True	True
ABCC6P2	1	1	False	False	False	False	False	False	False	False	True	True
ABCC8	5	5	True	True	True	True	True	True	True	True	True	True
ABCC9	3	3	True	True	False	False	True	True	False	False	True	True
ABCD1	5	5	True	True	True	True	True	True	True	True	True	True
ABCD2	1	1	True	True	False	False	False	False	False	False	False	False
ABCD3	5	5	True	True	True	True	True	True	True	True	True	True
ABCD4	5	5	True	True	True	True	True	True	True	True	True	True
ABCE1	5	5	True	True	True	True	True	True	True	True	True	True
ABCF1	5	5	True	True	True	True	True	True	True	True	True	True
ABCF2	4	4	True	True	True	True	False	False	True	True	True	True
ABCF2.1	1	1	False	False	False	False	True	True	False	False	False	False
ABCF3	5	5	True	True	True	True	True	True	True	True	True	True
ABCG1	5	5	True	True	True	True	True	True	True	True	True	True
ABCG2	5	5	True	True	True	True	True	True	True	True	True	True
ABCG4	1	1	True	True	False	False	False	False	False	False	False	False
ABCG5	1	1	True	True	False	False	False	False	False	False	False	False
ABCG8	3	3	True	True	False	False	True	True	True	True	False	False
ABHD1	5	5	True	True	True	True	True	True	True	True	True	True
ABHD10	5	5	True	True	True	True	True	True	True	True	True	True
ABHD11	5	5	True	True	True	True	True	True	True	True	True	True
ABHD11-AS1	2	2	False	False	True	True	False	False	False	False	True	True
ABHD12	5	5	True	True	True	True	True	True	True	True	True	True
ABHD12B	3	3	True	True	False	False	True	True	False	False	True	True
ABHD13	5	5	True	True	True	True	True	True	True	True	True	True
ABHD14A	5	5	True	True	True	True	True	True	True	True	True	True
ABHD14A-ACY1	3	3	False	False	True	True	True	True	False	False	True	True
ABHD14B	5	5	True	True	True	True	True	True	True	True	True	True
ABHD15	5	5	True	True	True	True	True	True	True	True	True	True
ABHD15-AS1	1	1	False	False	False	False	False	False	True	True	False	False
ABHD16A	5	5	True	True	True	True	True	True	True	True	True	True
ABHD16B	2	2	True	True	False	False	False	False	False	False	True	True
ABHD17A	5	5	True	True	True	True	True	True	True	True	True	True
ABHD17AP1	1	1	False	False	False	False	False	False	False	False	True	True
ABHD17B	5	5	True	True	True	True	True	True	True	True	True	True
ABHD17C	5	5	True	True	True	True	True	True	True	True	True	True
ABHD18	2	2	False	False	False	False	True	True	True	True	False	False
ABHD2	5	5	True	True	True	True	True	True	True	True	True	True
ABHD3	5	5	True	True	True	True	True	True	True	True	True	True
ABHD4	5	5	True	True	True	True	True	True	True	True	True	True
ABHD5	5	5	True	True	True	True	True	True	True	True	True	True
ABHD6	5	5	True	True	True	True	True	True	True	True	True	True
ABHD8	5	5	True	True	True	True	True	True	True	True	True	True
ABI1	5	5	True	True	True	True	True	True	True	True	True	True
ABI2	5	5	True	True	True	True	True	True	True	True	True	True
ABI3	1	1	True	True	False	False	False	False	False	False	False	False
ABI3BP	4	4	True	True	False	False	True	True	True	True	True	True
ABITRAM	1	1	False	False	False	False	False	False	True	True	False	False
ABL1	5	5	True	True	True	True	True	True	True	True	True	True
ABL2	5	5	True	True	True	True	True	True	True	True	True	True
ABLIM1	5	5	True	True	True	True	True	True	True	True	True	True
ABLIM2	5	5	True	True	True	True	True	True	True	True	True	True
ABLIM3	5	5	True	True	True	True	True	True	True	True	True	True
ABO	2	2	True	True	False	False	True	True	False	False	False	False
ABR	5	5	True	True	True	True	True	True	True	True	True	True
ABRA	2	2	True	True	False	False	False	False	False	False	True	True
ABRACL	5	5	True	True	True	True	True	True	True	True	True	True
ABRAXAS1	2	2	False	False	False	False	True	True	True	True	False	False
ABRAXAS2	2	2	False	False	False	False	True	True	True	True	False	False
ABT1	5	5	True	True	True	True	True	True	True	True	True	True
ABTB1	5	5	True	True	True	True	True	True	True	True	True	True
ABTB2	5	5	True	True	True	True	True	True	True	True	True	True
AC000068.1	2	2	False	False	False	False	True	True	True	True	False	False
AC000068.10	1	1	False	False	False	False	False	False	False	False	True	True
AC000068.3	1	1	False	False	False	False	False	False	True	True	False	False
AC000068.5	2	2	False	False	True	True	False	False	False	False	True	True
AC000068.9	2	2	False	False	True	True	False	False	False	False	True	True
AC000078.5	1	1	False	False	False	False	False	False	False	False	True	True
AC000085.1	1	1	False	False	False	False	False	False	True	True	False	False
AC000095.11	1	1	False	False	False	False	False	False	False	False	True	True
AC000095.9	2	2	False	False	True	True	False	False	False	False	True	True
AC000120.7	1	1	False	False	False	False	False	False	False	False	True	True
AC000123.2	1	1	False	False	False	False	False	False	False	False	True	True
AC000123.3	2	2	False	False	True	True	False	False	False	False	True	True
AC000123.4	1	1	False	False	False	False	False	False	False	False	True	True
AC000124.1	1	1	False	False	False	False	False	False	False	False	True	True
AC001226.2	1	1	False	False	False	False	True	True	False	False	False	False
AC002044.1	2	2	False	False	False	False	False	False	True	True	True	True
AC002044.3	1	1	False	False	False	False	False	False	False	False	True	True
AC002059.10	1	1	False	False	True	True	False	False	False	False	False	False
AC002064.4	1	1	False	False	False	False	False	False	False	False	True	True
AC002066.1	2	2	False	False	False	False	False	False	True	True	True	True
AC002069.5	1	1	False	False	False	False	False	False	False	False	True	True
AC002070.1	1	1	False	False	False	False	False	False	True	True	False	False
AC002075.3	1	1	False	False	False	False	False	False	False	False	True	True
AC002075.4	1	1	False	False	False	False	False	False	False	False	True	True
AC002076.1	2	2	False	False	False	False	True	True	True	True	False	False
AC002076.10	1	1	False	False	False	False	False	False	False	False	True	True
AC002091.1	1	1	False	False	False	False	False	False	True	True	False	False
AC002116.2	2	2	False	False	False	False	True	True	True	True	False	False
AC002116.7	2	2	False	False	True	True	False	False	False	False	True	True
AC002116.8	2	2	False	False	True	True	False	False	False	False	True	True
AC002117.1	2	2	False	False	True	True	False	False	False	False	True	True
AC002128.1	1	1	False	False	False	False	False	False	True	True	False	False
AC002128.5	1	1	False	False	False	False	False	False	False	False	True	True
AC002310.1	2	2	False	False	False	False	True	True	True	True	False	False
AC002310.12	2	2	False	False	True	True	False	False	False	False	True	True
AC002310.13	1	1	False	False	False	False	False	False	False	False	True	True
AC002310.14	1	1	False	False	False	False	False	False	False	False	True	True
AC002310.17	1	1	False	False	False	False	False	False	False	False	True	True
AC002310.2	2	2	False	False	False	False	True	True	True	True	False	False
AC002310.7	1	1	False	False	False	False	False	False	False	False	True	True
AC002375.1	1	1	False	False	False	False	False	False	True	True	False	False
AC002377.1	1	1	False	False	False	False	False	False	True	True	False	False
AC002378.1	1	1	False	False	False	False	False	False	True	True	False	False
AC002398.1	1	1	False	False	False	False	False	False	True	True	False	False
AC002398.11	1	1	False	False	False	False	False	False	False	False	True	True
AC002398.13	1	1	False	False	False	False	False	False	False	False	True	True
AC002398.9	2	2	False	False	True	True	False	False	False	False	True	True
AC002400.1	1	1	False	False	False	False	False	False	False	False	True	True
AC002401.1	2	2	False	False	False	False	False	False	True	True	True	True
AC002401.4	1	1	False	False	False	False	True	True	False	False	False	False
AC002429.2	1	1	False	False	False	False	False	False	True	True	False	False
AC002429.5	1	1	False	False	False	False	False	False	False	False	True	True
AC002451.1	2	2	False	False	False	False	True	True	True	True	False	False
AC002454.1	1	1	False	False	False	False	True	True	False	False	False	False
AC002456.1	1	1	False	False	False	False	True	True	False	False	False	False
AC002456.2	1	1	False	False	False	False	False	False	False	False	True	True
AC002460.2	1	1	False	False	False	False	False	False	True	True	False	False
AC002463.1	1	1	False	False	False	False	False	False	True	True	False	False
AC002467.1	2	2	False	False	False	False	True	True	True	True	False	False
AC002467.7	2	2	False	False	True	True	False	False	False	False	True	True
AC002470.1	2	2	False	False	False	False	True	True	True	True	False	False
AC002519.1	1	1	False	False	False	False	False	False	True	True	False	False
AC002519.8	1	1	False	False	False	False	False	False	False	False	True	True
AC002543.2	1	1	False	False	False	False	False	False	False	False	True	True
AC002550.1	2	2	False	False	False	False	True	True	True	True	False	False
AC002550.2	2	2	False	False	False	False	True	True	True	True	False	False
AC002550.5	1	1	False	False	False	False	False	False	False	False	True	True
AC002550.6	1	1	False	False	False	False	False	False	False	False	True	True
AC002553.1	2	2	False	False	False	False	True	True	True	True	False	False
AC002553.2	2	2	False	False	False	False	True	True	True	True	False	False
AC002553.4	1	1	False	False	False	False	False	False	False	False	True	True
AC002558.1	1	1	False	False	False	False	False	False	False	False	True	True
AC002558.2	1	1	False	False	False	False	False	False	True	True	False	False
AC002558.3	1	1	False	False	False	False	False	False	True	True	False	False
AC002985.3	1	1	False	False	False	False	False	False	False	False	True	True
AC003001.1	1	1	False	False	False	False	False	False	False	False	True	True
AC003002.4	1	1	False	False	False	False	False	False	False	False	True	True
AC003002.6	1	1	False	False	False	False	False	False	False	False	True	True
AC003003.5	1	1	False	False	False	False	False	False	False	False	True	True
AC003005.2	1	1	False	False	False	False	True	True	False	False	False	False
AC003005.4	1	1	False	False	False	False	False	False	False	False	True	True
AC003006.7	1	1	False	False	False	False	False	False	False	False	True	True
AC003070.2	1	1	False	False	False	False	False	False	True	True	False	False
AC003075.4	1	1	False	False	False	False	False	False	False	False	True	True
AC003086.1	1	1	False	False	False	False	False	False	True	True	False	False
AC003088.1	1	1	False	False	False	False	False	False	False	False	True	True
AC003090.1	1	1	False	False	False	False	False	False	False	False	True	True
AC003092.1	1	1	False	False	False	False	True	True	False	False	False	False
AC003101.1	3	3	False	False	False	False	True	True	True	True	True	True
AC003101.2	2	2	False	False	False	False	True	True	True	True	False	False
AC003102.1	2	2	False	False	False	False	True	True	True	True	False	False
AC003102.3	1	1	False	False	True	True	False	False	False	False	False	False
AC003104.1	1	1	False	False	False	False	False	False	False	False	True	True
AC003665.1	1	1	False	False	True	True	False	False	False	False	False	False
AC003681.1	2	2	False	False	False	False	True	True	True	True	False	False
AC003956.1	1	1	False	False	False	False	False	False	False	False	True	True
AC003965.1	2	2	False	False	False	False	True	True	True	True	False	False
AC003965.2	1	1	False	False	False	False	False	False	True	True	False	False
AC003984.1	1	1	False	False	False	False	False	False	False	False	True	True
AC003986.6	1	1	False	False	False	False	False	False	False	False	True	True
AC003989.3	1	1	False	False	False	False	False	False	False	False	True	True
AC003989.4	1	1	False	False	False	False	False	False	False	False	True	True
AC003991.1	2	2	False	False	False	False	True	True	True	True	False	False
AC003991.3	1	1	False	False	False	False	False	False	False	False	True	True
AC004000.1	1	1	False	False	False	False	False	False	True	True	False	False
AC004012.1	1	1	False	False	False	False	False	False	True	True	False	False
AC004019.10	1	1	False	False	False	False	False	False	False	False	True	True
AC004019.13	1	1	False	False	False	False	False	False	False	False	True	True
AC004034.1	1	1	False	False	False	False	False	False	True	True	False	False
AC004039.1	1	1	False	False	False	False	False	False	True	True	False	False
AC004053.1	2	2	False	False	False	False	False	False	True	True	True	True
AC004054.1	1	1	False	False	False	False	False	False	False	False	True	True
AC004057.1	2	2	False	False	True	True	False	False	False	False	True	True
AC004066.2	1	1	False	False	False	False	False	False	True	True	False	False
AC004066.3	1	1	False	False	False	False	False	False	False	False	True	True
AC004067.5	1	1	False	False	False	False	False	False	False	False	True	True
AC004069.1	2	2	False	False	False	False	True	True	True	True	False	False
AC004069.2	2	2	False	False	True	True	False	False	False	False	True	True
AC004076.2	2	2	False	False	False	False	True	True	True	True	False	False
AC004076.5	1	1	False	False	False	False	False	False	False	False	True	True
AC004076.7	1	1	False	False	False	False	False	False	False	False	True	True
AC004076.9	1	1	False	False	False	False	False	False	False	False	True	True
AC004083.1	1	1	False	False	False	False	False	False	True	True	False	False
AC004112.1	1	1	False	False	False	False	False	False	True	True	False	False
AC004112.4	1	1	False	False	False	False	False	False	False	False	True	True
AC004130.1	1	1	False	False	False	False	True	True	False	False	False	False
AC004130.2	1	1	False	False	False	False	False	False	True	True	False	False
AC004148.1	1	1	False	False	False	False	False	False	True	True	False	False
AC004148.2	1	1	False	False	False	False	True	True	False	False	False	False
AC004156.1	1	1	False	False	False	False	False	False	True	True	False	False
AC004156.3	1	1	False	False	False	False	False	False	False	False	True	True
AC004158.1	1	1	False	False	False	False	False	False	True	True	False	False
AC004158.2	1	1	False	False	True	True	False	False	False	False	False	False
AC004158.3	1	1	False	False	False	False	False	False	False	False	True	True
AC004160.1	1	1	False	False	False	False	False	False	True	True	False	False
AC004160.4	1	1	False	False	False	False	False	False	False	False	True	True
AC004221.1	1	1	False	False	False	False	False	False	True	True	False	False
AC004223.4	1	1	False	False	False	False	True	True	False	False	False	False
AC004231.1	2	2	False	False	False	False	True	True	True	True	False	False
AC004231.2	1	1	False	False	False	False	False	False	False	False	True	True
AC004231.3	1	1	False	False	False	False	False	False	True	True	False	False
AC004232.2	1	1	False	False	False	False	True	True	False	False	False	False
AC004233.1	1	1	False	False	False	False	False	False	True	True	False	False
AC004233.2	2	2	False	False	False	False	True	True	True	True	False	False
AC004233.3	2	2	False	False	False	False	True	True	True	True	False	False
AC004233.4	1	1	False	False	False	False	True	True	False	False	False	False
AC004237.1	1	1	False	False	False	False	False	False	False	False	True	True
AC004241.1	2	2	False	False	False	False	True	True	True	True	False	False
AC004241.3	1	1	False	False	False	False	False	False	True	True	False	False
AC004253.1	1	1	False	False	False	False	False	False	True	True	False	False
AC004257.1	2	2	False	False	False	False	True	True	True	True	False	False
AC004263.1	1	1	False	False	False	False	False	False	True	True	False	False
AC004263.2	1	1	False	False	False	False	False	False	True	True	False	False
AC004264.1	2	2	False	False	False	False	True	True	True	True	False	False
AC004381.6	2	2	False	False	True	True	False	False	False	False	True	True
AC004383.3	1	1	False	False	False	False	False	False	False	False	True	True
AC004448.2	1	1	False	False	False	False	False	False	True	True	False	False
AC004453.8	2	2	False	False	True	True	False	False	False	False	True	True
AC004466.1	2	2	False	False	False	False	True	True	True	True	False	False
AC004477.1	2	2	False	False	False	False	False	False	True	True	True	True
AC004477.3	1	1	False	False	False	False	False	False	True	True	False	False
AC004490.1	1	1	False	False	False	False	False	False	False	False	True	True
AC004494.1	2	2	False	False	False	False	True	True	True	True	False	False
AC004510.3	1	1	False	False	False	False	False	False	False	False	True	True
AC004520.1	1	1	False	False	False	False	True	True	False	False	False	False
AC004522.3	1	1	False	False	False	False	False	False	True	True	False	False
AC004538.3	1	1	False	False	False	False	False	False	False	False	True	True
AC004540.1	2	2	False	False	False	False	True	True	True	True	False	False
AC004540.2	1	1	False	False	False	False	False	False	True	True	False	False
AC004540.4	2	2	False	False	True	True	False	False	False	False	True	True
AC004540.5	2	2	False	False	True	True	False	False	False	False	True	True
AC004549.6	1	1	False	False	False	False	False	False	False	False	True	True
AC004551.1	1	1	False	False	False	False	False	False	True	True	False	False
AC004554.2	1	1	False	False	False	False	False	False	True	True	False	False
AC004556.1	2	2	False	False	False	False	True	True	False	False	True	True
AC004584.3	1	1	False	False	False	False	False	False	True	True	False	False
AC004585.1	2	2	False	False	False	False	True	True	True	True	False	False
AC004590.1	2	2	False	False	False	False	True	True	True	True	False	False
AC004594.1	1	1	False	False	False	False	False	False	True	True	False	False
AC004596.1	2	2	False	False	False	False	True	True	True	True	False	False
AC004623.2	1	1	False	False	False	False	False	False	False	False	True	True
AC004623.3	1	1	False	False	False	False	False	False	False	False	True	True
AC004687.1	1	1	False	False	False	False	True	True	False	False	False	False
AC004702.1	1	1	False	False	False	False	False	False	True	True	False	False
AC004704.1	1	1	False	False	False	False	False	False	True	True	False	False
AC004706.3	1	1	False	False	False	False	False	False	True	True	False	False
AC004754.3	1	1	False	False	False	False	False	False	False	False	True	True
