dataset	symbol	issue	resolution	excluded_from_testable
gse118713	AKAP17A	pseudoautosomal_ENSGR_duplicate	dropped_ENSGR_row_kept_ENSG_row_identical_statistics	False
gse118713	ASMTL	pseudoautosomal_ENSGR_duplicate	dropped_ENSGR_row_kept_ENSG_row_identical_statistics	False
gse118713	ASMTL-AS1	pseudoautosomal_ENSGR_duplicate	dropped_ENSGR_row_kept_ENSG_row_identical_statistics	False
gse118713	CD99	pseudoautosomal_ENSGR_duplicate	dropped_ENSGR_row_kept_ENSG_row_identical_statistics	False
gse118713	CD99P1	pseudoautosomal_ENSGR_duplicate	dropped_ENSGR_row_kept_ENSG_row_identical_statistics	False
gse118713	DHRSX	pseudoautosomal_ENSGR_duplicate	dropped_ENSGR_row_kept_ENSG_row_identical_statistics	False
gse118713	GTPBP6	pseudoautosomal_ENSGR_duplicate	dropped_ENSGR_row_kept_ENSG_row_identical_statistics	False
gse118713	LINC00106	pseudoautosomal_ENSGR_duplicate	dropped_ENSGR_row_kept_ENSG_row_identical_statistics	False
gse118713	LINC00685	pseudoautosomal_ENSGR_duplicate	dropped_ENSGR_row_kept_ENSG_row_identical_statistics	False
gse118713	PLCXD1	pseudoautosomal_ENSGR_duplicate	dropped_ENSGR_row_kept_ENSG_row_identical_statistics	False
gse118713	PPP2R3B	pseudoautosomal_ENSGR_duplicate	dropped_ENSGR_row_kept_ENSG_row_identical_statistics	False
gse118713	SLC25A6	pseudoautosomal_ENSGR_duplicate	dropped_ENSGR_row_kept_ENSG_row_identical_statistics	False
gse118713	VAMP7	pseudoautosomal_ENSGR_duplicate	dropped_ENSGR_row_kept_ENSG_row_identical_statistics	False
gse118713	WASH6P	pseudoautosomal_ENSGR_duplicate	dropped_ENSGR_row_kept_ENSG_row_identical_statistics	False
gse118713	ZBED1	pseudoautosomal_ENSGR_duplicate	dropped_ENSGR_row_kept_ENSG_row_identical_statistics	False
gse118713	ACEA_U3	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	BLOC1S1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	C11orf48	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	C4orf3	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	CLEC2D	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	CYB561D2	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	DCAF8	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	ERICH2	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	FAM47E-STBD1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	FDX1L	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	GATA3-AS1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	GLG1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	HIST2H2AA4	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	ICOSLG	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	IDS	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	IER3IP1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	IRF9	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	ITFG3	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	KIAA0391	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	KLC1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	LINC00674	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	LINC00869	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	LY6G5B	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	MRPS17	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	Metazoa_SRP	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	NBPF14	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	NDUFB8	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	NPIPA7	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	PAGR1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	PDXDC2P	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	PKD1P6	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	POLR2J4	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	PRICKLE4	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	PSMA2	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	RNA5-8S5	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	RNASE4	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	RNVU1-14	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	RPL41	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	RPP14	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	SERPINA3	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	SMIM11	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	SNORA11	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	SNORA63	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	SNORA76C	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	SNORA79	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	SNORD22	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	TFDP2	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	THTPA	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	TM9SF1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	U1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	U2AF1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	UQCR11	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	URM1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	WASH7P	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	ZNF23	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse118713	uc_338	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	7SK	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	ACSL6	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	ALG1L9P	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	BMS1P4	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	C11orf71	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	C12orf79	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	C6orf165	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	CCDC7	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	CLN3	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	CRIP1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	CROCCP2	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	CSNK2B	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	CYB561D2	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	DGCR6	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	DLEU2_6	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	DUXAP8	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	ECSCR	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	FAM47E-STBD1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	FBF1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	HULC	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	ICOSLG	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	IDS	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	KRT222	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	MALAT1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	MATR3	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	MTHFS	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	Metazoa_SRP	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	OR7E47P	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	OR8B4	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	OR8D2	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	PAGR1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	PAK6	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	PAPD7	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	PCDH20	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	PDXDC2P	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	PI4K2B	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	PIK3R3	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	PKD1P6	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	PLAC4	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	POLR2J2	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	POLR2J4	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	PRICKLE2-AS1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	PSMA2	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	RAET1E-AS1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	RGS5	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	RMRP	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	RNU11	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	RNU12	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	RP1-37E16.12	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	RPL41	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	RPP14	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	RPPH1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SCARNA10	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SCARNA15	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SCARNA18	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SCARNA2	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SCARNA20	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SCARNA21	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SERPINA3	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA11	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA12	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA16A	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA17	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA19	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA2	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA21	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA22	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA24	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA25	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA26	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA31	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA4	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA40	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA42	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA43	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA46	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA48	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA50	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA51	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA58	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA62	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA63	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA67	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA70	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA72	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA74	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA75	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA76	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA76A	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA79	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA81	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORA9	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORD19	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORD22	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORD38B	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORD3D	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORD41	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORD63	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNORD70	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNURF	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SNX29P2	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SP110	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	SYT15	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	TARDBP	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	TIMM10B	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	TMBIM4	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	TMEM256-PLSCR3	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	TRPV1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	TUBB3	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	U1	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	U3	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	U4	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	U6	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	U7	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	Vault	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	WASH7P	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	Y_RNA	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	ZNF286A	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	ZNF670	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	ZNF709	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	ZNF747	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	snoU109	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	snoU13	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	snoU2-30	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	snoU2_19	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
gse111151	uc_338	duplicate_symbol_multiple_distinct_ensembl_ids	not_collapsed_excluded_from_single_row_table	True
