gene	n_datasets_testable	coverage_tier	max_evidence_percentile	max_percentile_dataset	crispr_evidence_percentile	gse118713_evidence_percentile	gse245601_evidence_percentile	gse240112_evidence_percentile	gse111151_evidence_percentile
RMST	2	D	0.9998517475260369	gse111151_evidence_percentile				0.7794540619742769	0.9998517475260369
RP11-321G12.1	1	E	0.9997405581705645	gse111151_evidence_percentile					0.9997405581705645
RP11-116O11.1	1	E	0.9997034950520737	gse111151_evidence_percentile					0.9997034950520737
AC005307.3	1	E	0.9996293688150921	gse111151_evidence_percentile					0.9996293688150921
RP11-788M5.4	1	E	0.9995923056966013	gse111151_evidence_percentile					0.9995923056966013
RP11-105N14.3	1	E	0.9995552425781106	gse111151_evidence_percentile					0.9995552425781106
USP17L29	1	E	0.999528845147105	crispr_evidence_percentile	0.999528845147105				
GUCY1A1	2	D	0.9995115862592935	gse240112_evidence_percentile			0.3386798318248232	0.9995115862592935	
RP11-373N22.3	1	E	0.9994811163411289	gse111151_evidence_percentile					0.9994811163411289
RP11-412H8.2	1	E	0.9994440532226382	gse111151_evidence_percentile					0.9994440532226382
MAGEA1	2	D	0.9993699269856565	gse111151_evidence_percentile	0.7700240812480369				0.9993699269856565
RP11-74D3.2	1	E	0.9993328638671658	gse111151_evidence_percentile					0.9993328638671658
RP11-11N9.4	1	E	0.9991846113932026	gse111151_evidence_percentile					0.9991846113932026
RP11-528M18.2	1	E	0.999110485156221	gse111151_evidence_percentile					0.999110485156221
CYP2B6	2	D	0.9991104192149449	gse245601_evidence_percentile	0.4079677520678463		0.9991104192149449		
GAGE2A	2	D	0.9989992958007486	gse111151_evidence_percentile	0.4684849753952466				0.9989992958007486
WARS2P1	1	E	0.9988139802082947	gse111151_evidence_percentile					0.9988139802082947
SPINK13	2	D	0.998776917089804	gse111151_evidence_percentile	0.9192754685373259				0.998776917089804
RNU6-813P	2	D	0.998639455782313	gse118713_evidence_percentile		0.998639455782313			0.9856195100255736
RP11-748H22.1	1	E	0.9986286646158408	gse111151_evidence_percentile					0.9986286646158408
NLGN1-AS1	1	E	0.9985916014973499	gse111151_evidence_percentile					0.9985916014973499
SCARNA7	1	E	0.9985174752603684	gse111151_evidence_percentile					0.9985174752603684
