gene	resistance_datasets_testable	resistance_up_count	resistance_down_count	resistance_fdr05_count	resistance_nominal_p05_count	resistance_top10pct_count	resistance_top20pct_count	resistance_median_percentile	resistance_direction_consensus
EPAS1	3	3	0	3	3	3	3	0.9978231292517008	all_up
GABBR2	3	3	0	3	3	3	3	0.9834013605442176	all_up
SLC4A10	3	0	3	3	3	2	3	0.9859863945578232	all_down
DMRTA1	3	3	0	3	3	2	3	0.98	all_up
LAMB3	3	3	0	3	3	2	3	0.942108843537415	all_up
HLA-DQB1	3	3	0	3	3	1	3	0.8989526238671515	all_up
GREB1	3	0	3	2	3	3	3	0.9984804905844684	all_down
SPRY4	3	3	0	2	3	3	3	0.9983176860042328	all_up
GFRA1	3	0	3	2	3	3	3	0.9976279604165894	all_down
SUSD3	3	0	3	2	3	3	3	0.997232322135996	all_down
DLX2	3	3	0	2	3	3	3	0.9968027210884354	all_up
SULF1	3	0	3	2	3	3	3	0.9960342463214856	all_down
DSCAM	3	0	3	2	3	3	3	0.9954421768707484	all_down
EYA2	3	3	0	2	3	3	3	0.9923481847289304	all_up
GJB2	3	3	0	2	3	3	3	0.9908843537414966	all_up
ACOT4	3	0	3	2	3	3	3	0.9908829435068106	all_down
LARP6	3	3	0	2	3	3	3	0.9904761904761904	all_up
MALRD1	3	0	3	2	3	3	3	0.9896598639455784	all_down
PDGFC	3	3	0	2	3	3	3	0.9889795918367348	all_up
IL20	3	0	3	2	3	3	3	0.9886957488603092	all_down
HS3ST5	3	3	0	2	3	3	3	0.9882238020296304	all_up
TNFRSF21	3	3	0	2	3	3	3	0.9874149659863946	all_up
NCAM2	3	0	3	2	3	3	3	0.9860544217687076	all_down
NPY1R	3	0	3	2	3	3	3	0.98578231292517	all_down
ITGA2B	3	0	3	2	3	3	3	0.9848979591836736	all_down
DUSP6	3	3	0	2	3	3	3	0.984262223910566	all_up
CDC42EP3	3	3	0	2	3	3	3	0.9841496598639456	all_up
BMP7	3	3	0	2	3	3	3	0.9837414965986394	all_up
LONRF3	3	3	0	2	3	3	3	0.9831733442051814	all_up
ARHGAP26	3	3	0	2	3	3	3	0.9826173974278196	all_up
KCNK2	3	0	3	2	3	3	3	0.9806802721088436	all_down
PRKD1	3	3	0	2	3	3	3	0.980393610318372	all_up
ATP1B1	3	3	0	2	3	3	3	0.9790524773430292	all_up
LINC00839	3	3	0	2	3	3	3	0.9781632653061224	all_up
QPCT	3	3	0	2	3	3	3	0.9780213816682044	all_up
MPPED2	3	0	3	2	3	3	3	0.9775026870760906	all_down
