gene	n_datasets_testable	n_datasets_fdr05	median_evidence_percentile	equal_dataset_mean_percentile	rank
GREB1	4	3	0.9980899052571666	0.989714312548527	1
LARP6	4	3	0.9909509079585597	0.9781001674113545	2
EPAS1	4	3	0.9903643241634854	0.8351542666602316	3
MYBL1	4	3	0.9863544953445642	0.9377836076756085	4
SLC4A10	3	3	0.9859863945578232	0.9329088795648458	5
GABBR2	3	3	0.9834013605442176	0.9862531940203244	6
SYTL5	4	3	0.9690883249098602	0.7348559219725863	7
PLOD2	4	3	0.9403879815148327	0.8813524475774805	8
FGD3	4	3	0.9364657192990617	0.9209480207733147	9
DMRTA1	4	3	0.9317159602756824	0.8074199487838112	10
PTGER4	4	3	0.9276002272619038	0.9365349952903984	11
MED13L	4	3	0.9267360831141692	0.9325578894659703	12
HRK	4	3	0.924121492087365	0.8298565755983919	13
C6orf141	4	3	0.9190476051804659	0.9226729733501762	14
LAMB3	4	3	0.9149411097808635	0.8281631155704434	15
RUNX1	4	3	0.9069129699387255	0.9204633963838967	16
HLA-DQB1	4	3	0.8939320942465009	0.8342050745419997	17
RRAGD	4	3	0.8875727332230987	0.8267624657846587	18
NEDD9	4	3	0.8631355309997688	0.8637258320960385	19
MSMO1	4	3	0.8588738925319952	0.8130377324257091	20
LPIN1	4	3	0.8403622467178499	0.8474902623935692	21
ACSS2	4	3	0.7967474598240012	0.8228392636592422	22
TRPS1	4	3	0.7925782338767167	0.7308083134486543	23
HMOX1	4	3	0.7746629760603433	0.6732949276977802	24
WBP2	4	3	0.7543768737755047	0.6931974825524774	25
SSTR5-AS1	2	2	0.995673423979675	0.995673423979675	26
GFRA1	4	2	0.9944182565419355	0.8862368408378168	27
CXCL8	3	2	0.9933792804037552	0.8424424821203825	28
COL4A3	3	2	0.9932707440169316	0.8658879039693055	29
FAM105A	2	2	0.9932197979076735	0.9932197979076735	30
BMPER	3	2	0.9903402615726924	0.9225000943863545	31
AL121578.3	2	2	0.9898357372449333	0.9898357372449333	32
MALRD1	3	2	0.9896598639455784	0.9842262768659054	33
GJA3	3	2	0.9888207521571608	0.7038615314288098	34
HS3ST5	3	2	0.9882238020296304	0.9868749749384013	35
SUSD3	4	2	0.9871875896394267	0.9839015704342543	36
SPRY4	4	2	0.9859273097009044	0.8355532073613561	37
RAMP1	3	2	0.9858360015195096	0.7543134385657463	38
ADAMTS19	3	2	0.9852380952380952	0.8806250224783957	39
CHRNA9	2	2	0.9852222208685938	0.9852222208685938	40
DLX2	4	2	0.9850242508681988	0.8634129197051492	41
DEGS2	4	2	0.9837973207147281	0.8718902380252253	42
FEZF1-AS1	3	2	0.9835374149659863	0.7769847383561203	43
TNFRSF21	4	2	0.9823661687350156	0.8900137921511762	44
CDC42EP3	4	2	0.982327229768895	0.8209510107924587	45
QPRT	4	2	0.9817718731276089	0.8727286495759168	46
EYA4	3	2	0.9816326530612244	0.9002583637411757	47
IL20	4	2	0.9794839288519233	0.8904396141180317	48
SEMA3B	4	2	0.9786110671984594	0.9262093612443334	49
SULF1	4	2	0.977069600503772	0.9298996524309429	50
SEMA3B-AS1	3	2	0.9765561404460844	0.8763319037787928	51
FREM2	3	2	0.976326530612245	0.7459686442386194	52
LINC00839	4	2	0.9762472049111608	0.8227913942013094	53
LONRF3	4	2	0.9757023183610941	0.8377012516647958	54
PDGFC	4	2	0.9750687218291936	0.757897045512497	55
PRKD1	4	2	0.9749587099210908	0.765897209290316	56
SOX21	2	2	0.9744086760443582	0.9744086760443582	57
EYA2	4	2	0.9736953109998012	0.92140684723015	58
SMTNL2	2	2	0.9734031787132826	0.9734031787132826	59
MCTP2	4	2	0.9722561236214713	0.9182795964353344	60
LAMA3	4	2	0.9719814713287146	0.9679937774519738	61
SLC7A8	4	2	0.9717687836678586	0.8207797094019901	62
QPCT	4	2	0.9711277361622962	0.8973547862242683	63
BMP2	3	2	0.97053237097737	0.7561219746861125	64
GFRA3	3	2	0.9702610300103108	0.9142971567086727	65
TPM2	4	2	0.969978331964044	0.8438257407826883	66
ACOT4	4	2	0.9699235146724965	0.8209321362834062	67
ARHGAP26	4	2	0.9693029462854081	0.9497654505233555	68
DRAM1	4	2	0.9684558797741705	0.910672378874575	69
TSHZ3	4	2	0.9677698705589497	0.7492045742643089	70
PRICKLE2-AS2	3	2	0.9673848157594832	0.9633974044520767	71
SH3GL3	3	2	0.9670879507801786	0.9265540215680842	72
NPY5R	4	2	0.9668526644390865	0.9031742356918843	73
KCNK2	4	2	0.9668420083070945	0.8804661793843075	74
SLC6A14	3	2	0.9667335974385411	0.7922939505014998	75
ROBO2	3	2	0.9663945578231292	0.8487332023154076	76
GJB2	4	2	0.9657731505188711	0.9097245856868945	77
NCAM2	4	2	0.9656746294381509	0.8301668245294456	78
HERC6	4	2	0.9650773595659643	0.9214069498348028	79
GBP2	4	2	0.9644399607731227	0.9080960665124792	80
APOA1	3	2	0.9642857142857144	0.8121518422568902	81
PLIN5	4	2	0.9637898662418463	0.9599194888789542	82
EDN1	4	2	0.9637324887409743	0.9231782069079947	83
ATP1B1	4	2	0.9636191188464525	0.862443169197521	84
ELL2	4	2	0.9627248350880324	0.7458398276527749	85
C5AR2	4	2	0.9624423511196414	0.8310335878348281	86
SYT16	4	2	0.9616648625423704	0.8008282575420622	87
ACBD7	3	2	0.9608183643566506	0.9361622218608273	88
NCF2	4	2	0.9598769292922826	0.7329374104903698	89
AHR	4	2	0.9597430530251934	0.8950146552142978	90
DOCK4	4	2	0.9594852938717005	0.8346164640379994	91
AF131215.2	3	2	0.9587019048135887	0.9594703365864826	92
F3	4	2	0.9586819086455876	0.8513944199291636	93
DSCAM	4	2	0.9584897775128732	0.9049834500238962	94
SIAH2	4	2	0.9584725175588561	0.888797788975771	95
ATP6V1C2	4	2	0.958135966662639	0.8240905115553513	96
BEND7	4	2	0.9580137656625574	0.7444283952963072	97
NAALADL2	4	2	0.9573414050961905	0.9541425898931425	98
PCDH1	4	2	0.9571342775998988	0.8328003088249243	99
DLX1	4	2	0.9571042434470876	0.9196927646817188	100
NPY1R	4	2	0.9570696524412365	0.8562825302064445	101
MYOF	4	2	0.9569157847372958	0.9586400342739998	102
KCND3	4	2	0.9565736133276777	0.8445907214004478	103
LIMCH1	4	2	0.9564283086703157	0.7616970286777166	104
FGD6	4	2	0.9564172418796684	0.8310197216968043	105
MPPED2	4	2	0.956000488813999	0.7773947865216183	106
SGCG	3	2	0.955554349595702	0.9571108005076319	107
ASPH	4	2	0.9554205819313012	0.9213891819029429	108
EGFR	4	2	0.9552774930809208	0.7313985843584014	109
NKX2-8	3	2	0.9548844744232128	0.9465903679123729	110
ANTXR2	4	2	0.9547457054056938	0.8077637242494184	111
SH3PXD2A	4	2	0.9547173193431406	0.7807450247134124	112
MAP1B	4	2	0.9544212518675457	0.8913409329085779	113
ADAMTS19-AS1	3	2	0.9541496598639456	0.9226531549012894	114
FAM171A1	4	2	0.9538060734264446	0.7763434272361611	115
MBP	4	2	0.953695508076104	0.8534432358076852	116
LPAR1	4	2	0.9532425599560908	0.8893088664258282	117
PTGFRN	4	2	0.9531046135514358	0.8250536117430045	118
ITGA2B	4	2	0.9530502711748401	0.7626228743114588	119
FURIN	4	2	0.9529106671702163	0.8045668380808572	120
MAG	3	2	0.95284093992511	0.6489761021469048	121
HBA1	3	2	0.9527210884353742	0.733906790635246	122
