gene	n_datasets_fdr05	n_datasets_nominal_p05	median_evidence_percentile	gse245601_track_direction_agreement	gse240112_track_direction_agreement	resistance_direction_consensus	resistance_fdr05_count	stability_label	n_top20_appearances
5S_rRNA	0	0	0.0310959564137726			all_down	0		
7SK	1	1	0.7572108843537415			all_down	1		
A1BG	0	2	0.7656789864935609	True	True	majority_down	0	DATASET_DEPENDENT	0.0
A1BG-AS1	0	1	0.3464559454866768	True	True	majority_down	0	DATASET_DEPENDENT	0.0
A1CF	0	0	0.4472065349864372			all_up	0		
A2M	1	1	0.3677212785586368		True	majority_down	1	DATASET_DEPENDENT	0.0
A2M-AS1	0	1	0.5826322226752159		True	all_up	0	DATASET_DEPENDENT	0.0
A2ML1	0	2	0.7873521097267302		True	all_down	0	DATASET_DEPENDENT	0.0
A2ML1-AS1	0	0	0.6097645514058203		True	mixed	0		
A2MP1	0	0	0.6099229818312559			all_down	0		
A3GALT2	0	0	0.2041147523819495			insufficient	0		
A4GALT	2	2	0.8422964308216894	False	True	all_down	2	DATASET_DEPENDENT	0.0
A4GNT	0	0	0.6916029735106272			insufficient	0		
AAAS	1	2	0.3684815240354323	True	False	all_down	1	DATASET_DEPENDENT	0.0
AACS	0	3	0.5470269218032531	False	False	majority_down	0	DATASET_DEPENDENT	0.0
AADAC	0	0	0.4835427554764817			all_up	0	DATASET_DEPENDENT	0.0
AADACL2	0	0	0.9107946811852162			insufficient	0		
AADACL3	0	0	0.6298782952118793			all_up	0		
AADACL4	0	0	0.5424519886221852			all_down	0		
AADAT	0	1	0.4017903884410009	False	True	majority_down	0	DATASET_DEPENDENT	0.0
AAED1	1	1	0.7704041162532749	True		all_down	1	DATASET_DEPENDENT	0.0
AAGAB	0	0	0.7298856724726488	True	True	all_down	0	DATASET_DEPENDENT	0.0
AAK1	0	2	0.6458503401360545	False	True	all_up	0	DATASET_DEPENDENT	0.0
AAMDC	0	0	0.5358185175622656	True	True	majority_down	0	DATASET_DEPENDENT	0.0
AAMP	1	1	0.5292134789008454	True	True	all_up	1	DATASET_DEPENDENT	0.0
AANAT	0	0	0.7996738445572811		True	mixed	0	DATASET_DEPENDENT	0.0
AAR2	0	0	0.1496238093473184	True	True	majority_down	0	DATASET_DEPENDENT	0.0
AARD	2	3	0.8781136375970044	True	True	majority_down	2	DATASET_DEPENDENT	0.0
AARS	1	2	0.7218556047447924	True	True	majority_up	1	DATASET_DEPENDENT	0.0
AARS2	0	1	0.3809523809523809	True	True	all_up	0	DATASET_DEPENDENT	0.0
AARSD1	0	1	0.6747474185303521	True	True	majority_down	0	DATASET_DEPENDENT	0.0
AASDH	0	0	0.2912784001675217	True	False	majority_down	0	DATASET_DEPENDENT	0.0
AASDHPPT	0	0	0.3940474197833506	False	True	all_up	0	DATASET_DEPENDENT	0.0
AASS	2	2	0.821170558056748		True	all_up	2	DATASET_DEPENDENT	0.0
AATBC	0	0	0.2452095919350654			all_up	0		
AATF	0	0	0.3614281227096639	True	True	all_down	0	DATASET_DEPENDENT	0.0
AATK	1	1	0.5707779290126689	True	True	majority_down	1	DATASET_DEPENDENT	0.0
AB015752.3	0	0	0.2561061487713576			all_down	0		
AB019441.29	0	0	0.0298728735035765			all_up	0		
ABALON	0	0	0.4776374370434424			all_up	0		
ABAT	2	3	0.7443425408368156	True	True	all_down	2	DATASET_DEPENDENT	0.0
ABC12-49244600F4.4	0	0	0.5969385864126608			all_up	0		
ABCA1	0	2	0.968772859501185	True		all_down	0	DATASET_DEPENDENT	1.0
ABCA10	0	0	0.0628176100566036		False	mixed	0	DATASET_DEPENDENT	0.0
ABCA11P	0	0	0.5462546558966791			mixed	0		
ABCA12	2	3	0.6828572666443159	True	True	all_down	2	DATASET_DEPENDENT	0.0
ABCA13	0	0	0.0744948172966181			insufficient	0		
ABCA17P	0	0	0.6712872021051851			all_up	0		
ABCA2	1	1	0.554403863895371	True	True	majority_down	1	DATASET_DEPENDENT	0.0
ABCA3	2	2	0.5892665208850673	False	True	majority_down	2	DATASET_DEPENDENT	0.0
ABCA4	1	1	0.5448214214471574		True	all_down	1	DATASET_DEPENDENT	0.0
ABCA5	1	1	0.2881809531301081	False	True	all_down	1	DATASET_DEPENDENT	0.0
ABCA6	0	1	0.5368130091945662		True	mixed	0	DATASET_DEPENDENT	0.0
ABCA7	0	0	0.2642704573619299	False	True	majority_up	0	DATASET_DEPENDENT	0.0
ABCA8	0	0	0.4585907234844518			insufficient	0		
ABCA9	0	0	0.5278504868600147			all_down	0	DATASET_DEPENDENT	0.0
ABCB1	0	0	0.4007540966335327		True	all_down	0	DATASET_DEPENDENT	0.0
ABCB10	0	2	0.3018532090880536	False	True	majority_up	0	DATASET_DEPENDENT	0.0
ABCB11	0	0	0.3732566342866446		True	all_down	0	DATASET_DEPENDENT	0.0
ABCB4	0	0	0.4050361218720553		True	all_down	0	DATASET_DEPENDENT	0.0
ABCB5	0	0	0.6053292848916344			insufficient	0		
ABCB6	0	0	0.3768027210884354	True	False	majority_up	0	DATASET_DEPENDENT	0.0
ABCB7	0	0	0.3184092509543753	True	True	majority_up	0	DATASET_DEPENDENT	0.0
ABCB8	1	1	0.4891156462585034	False	True	all_down	1	DATASET_DEPENDENT	0.0
ABCB9	2	3	0.7750583383079177	True	True	majority_down	2	DATASET_DEPENDENT	0.0
ABCC1	0	3	0.6176190476190476	True	True	all_up	0	DATASET_DEPENDENT	0.0
ABCC10	0	0	0.1943537414965986	True	True	majority_up	0	DATASET_DEPENDENT	0.0
ABCC11	2	2	0.8098639455782313		True	all_up	2	DATASET_DEPENDENT	0.0
ABCC12	0	0	0.3282506886004165			all_down	0		
ABCC13	0	1	0.956636151365776			all_down	0		
ABCC2	1	2	0.3779066576461472	False	True	majority_down	1	DATASET_DEPENDENT	0.0
ABCC3	2	4	0.8404098079907387	True	True	all_up	2	DATASET_DEPENDENT	0.0
ABCC4	1	3	0.8254109517328029		True	all_up	1	DATASET_DEPENDENT	0.0
ABCC5	1	2	0.5150061407353446	False	True	majority_down	1	DATASET_DEPENDENT	0.0
ABCC5-AS1	0	0	0.3921546059135049		True	all_down	0		
ABCC6	2	2	0.7579095891897759		True	majority_down	2	DATASET_DEPENDENT	0.0
ABCC6P1	0	0	0.601830918053445			all_up	0		
ABCC6P2	0	0	0.0604499462584782			all_up	0		
ABCC8	2	3	0.8521071944845992		True	majority_down	2	DATASET_DEPENDENT	0.0
ABCC9	0	0	0.780912993403832			all_up	0	DATASET_DEPENDENT	0.0
ABCD1	2	4	0.8543084493770285	True	True	majority_down	2	DATASET_DEPENDENT	0.0
ABCD2	0	0	0.675321955816145			insufficient	0		
ABCD3	0	1	0.5035374149659864	True	True	all_down	0	DATASET_DEPENDENT	0.0
ABCD4	0	1	0.5398387603392315	False	True	majority_up	0	DATASET_DEPENDENT	0.0
ABCE1	0	0	0.2793726596841591	True	True	majority_down	0	DATASET_DEPENDENT	0.0
ABCF1	0	1	0.3094557823129251	False	True	majority_up	0	DATASET_DEPENDENT	0.0
ABCF2	0	1	0.6715129163381404		True	majority_down	0	DATASET_DEPENDENT	0.0
ABCF2.1	0	0	0.4468412630462048	False		insufficient	0		
ABCF3	0	0	0.4424223938710694	False	True	all_up	0	DATASET_DEPENDENT	0.0
