gene	crispr_effect	crispr_p	crispr_fdr	crispr_testable	crispr_direction	gse118713_log2fc	gse118713_p	gse118713_fdr	gse118713_testable	gse118713_direction	gse245601_epi_log2fc	gse245601_epi_p	gse245601_epi_fdr	gse245601_malignant_log2fc	gse245601_malignant_p	gse245601_malignant_fdr	gse245601_testable	gse245601_track_direction_agreement	gse240112_tumor_log2fc	gse240112_tumor_p	gse240112_tumor_fdr	gse240112_epi_log2fc	gse240112_epi_p	gse240112_epi_fdr	gse240112_testable	gse240112_track_direction_agreement	gse240112_outlier_fragility	gse111151_log2fc	gse111151_p	gse111151_fdr	gse111151_testable	crispr_evidence_percentile	gse118713_evidence_percentile	gse245601_track_a_percentile	gse245601_track_b_percentile	gse245601_evidence_percentile	gse245601_one_track_only	gse240112_tumor_percentile	gse240112_epi_percentile	gse240112_evidence_percentile	gse111151_evidence_percentile	n_datasets_testable	coverage_tier	n_datasets_fdr05	n_datasets_nominal_p05	n_datasets_top10pct	n_datasets_top20pct	median_evidence_percentile	equal_dataset_mean_percentile	min_evidence_percentile	max_evidence_percentile	_tier_sort	global_rank	is_surprise	previously_in_28_crispr_hits
GREB1	-0.3533095277586469	0.2581044335738207	0.8163859673702398	True	sensitising_KO	-7.14538036307953	3.92575843413266e-13	5.8250403645660415e-09	True	down_in_TAMR	-1.16753809929819	0.0001443281117849	0.0401574753686743	-1.2731126212057	0.0006423443981386	0.421434038647359	True	True	-8.12006079608	4.75734404160909e-09	3.02304606892318e-06	-7.94140156792953	6.688132954048621e-09	3.22718339158927e-06	True	True	False	-4.64120424333962	0.0088229363514546	0.237051976177589	True	0.6839074442466757	1.0	0.9965528744579116	0.998845765401818	0.9976993199298648	False	0.9984804905844684	0.997976807303232	0.9984804905844684	0.9626774396797748	5	A	3	4	4	4	0.9976993199298648	0.9285529388881568	0.6839074442466757	1.0	5	1	True	False
LARP6	0.4086334541544962	0.3015661079752299	0.8391932743393512	True	tolerance_associated_KO	3.18867565082983	1.48751184577803e-08	1.52218625983823e-06	True	up_in_TAMR	0.670566206536301	0.0002422097409585	0.045806833023983	0.77034916152658	0.0005484889198472	0.421434038647359	True	True	4.35977048344305	1.87161599691204e-07	2.15258880852754e-05	3.98787080599	3.49386778037642e-07	2.48001281153815e-05	True	True	False	1.02921322051357	0.0204360774532162	0.308539603882257	True	0.6410323526332321	0.9904761904761904	0.9947737128878016	0.9992064637137498	0.9969900883007756	False	0.991425625440929	0.9860843819393044	0.991425625440929	0.933508765427523	5	A	3	4	4	4	0.9904761904761904	0.91068660445573	0.6410323526332321	0.9969900883007756	5	2	True	False
PLOD2	1.333810011311229	0.0125547473400853	0.5631982085862999	True	tolerance_associated_KO	1.12565583951966	4.8622676458948e-05	0.0005765777584471	True	up_in_TAMR	-0.462933520779049	0.0001787569041835	0.0423065846782805	-0.171915531366946	0.567890120881788	0.84256557026188	True	True	3.18979073725424	8.0077712407912e-07	4.87020489852476e-05	3.16724351739694	8.97702123621629e-07	4.59050323119041e-05	True	True	False	0.596272265379292	0.007801729989469	0.224835832303704	True	0.9780127735315672	0.915578231292517	0.9958300900700544	0.3262155533112105	0.6610228216906325	False	0.983611005589624	0.9805082654823588	0.983611005589624	0.9651977317371484	5	A	3	5	4	4	0.9651977317371484	0.9006845127682978	0.6610228216906325	0.983611005589624	5	3	True	False
MED13L	-0.0667093954185631	0.7827236358875819	0.9657732636208028	True	sensitising_KO	-1.59608633287351	1.90747950817282e-05	0.0002772103912073	True	down_in_TAMR	-0.36648906077196	0.0001644879335199	0.0408158227138244	-0.43957455233918	0.0365803913565334	0.530392689745515	True	True	-1.83464036416335	0.000164985076422	0.0018931164310741	-1.70747977108149	0.0005031028437798	0.0041429834343937	True	True	False	-0.468772371493169	0.0253381227735071	0.327543918059415	True	0.1895613024814155	0.931156462585034	0.9961080840653842	0.9316116000577116	0.963859842061548	False	0.9128995495739948	0.8786084381939304	0.9128995495739948	0.9223157036433044	5	A	3	4	4	4	0.9223157036433044	0.7839585720690593	0.1895613024814155	0.963859842061548	5	4	True	False
FGD3	0.5421874922009264	0.058592078880785	0.695200490910434	True	tolerance_associated_KO	-1.06747922913361	0.0002060843965458	0.0017934781677114	True	down_in_TAMR	-1.16429098471296	2.32019889554901e-05	0.0159989004639993	-0.788510266997439	0.0051353786290982	0.488729417413609	True	True	-4.83112844132494	3.60166159810887e-07	3.0244617864617e-05	-4.74121056817564	5.61026860484036e-08	8.8826330895074e-06	True	True	False	-0.806376969682445	0.0878244583429146	0.479581760757361	True	0.915977384567061	0.8847619047619047	0.9986656288224174	0.9896840282787476	0.9941748285505824	False	0.9881695338362186	0.9937330372563532	0.9881695338362186	0.8166858159445536	5	A	3	3	3	5	0.915977384567061	0.919953893532064	0.8166858159445536	0.9941748285505824	5	5	True	False
EPAS1	0.149728728535667	0.5680609193106956	0.9243328570351124	True	tolerance_associated_KO	5.9473037686576	1.3787185058895601e-10	6.14437686554197e-08	True	up_in_TAMR	0.0142550208886947	0.88395924565008	0.967437750215697	-0.199641170495508	0.240870465909652	0.657579217980603	True	False	7.49755691339593	9.14388099023009e-07	5.33238730658102e-05	6.53622906439226	2.33162359879307e-06	9.08705458714236e-05	True	True	False	1.54018987568339	4.42104317273188e-06	0.0163651497737581	True	0.3854570202073081	0.9978231292517008	0.086400533748471	0.6337469340643486	0.3600737339064098	False	0.98290551907527	0.9743893412287196	0.98290551907527	0.999814684407546	5	A	3	3	3	3	0.98290551907527	0.7452148173696469	0.3600737339064098	0.999814684407546	5	6	True	False
MYBL1	-0.1637904590686245	0.628561977511696	0.9379254633841388	True	sensitising_KO	-1.95133494621544	8.35943957254757e-08	4.78908742770119e-06	True	down_in_TAMR	-1.05468578206239	4.77953500808529e-07	0.0060870349086419	-1.50592145629203	0.0008808348468645	0.421434038647359	True	True	-4.1103840617986	2.49250229632759e-07	2.44068810405883e-05	-3.22786747599041	1.32969679417933e-07	1.38193001183786e-05	True	True	False	-0.518773557596891	0.116369845873719	0.528074881523608	True	0.329965448644121	0.9828571428571428	1.0	0.998124368777954	0.9990621843889772	False	0.9898518478319857	0.9904268443128548	0.9898518478319857	0.7793632556243282	5	A	3	3	3	3	0.9828571428571428	0.8162199758693109	0.329965448644121	0.9990621843889772	5	7	True	False
SYTL5	0.2814303429776217	0.3658797636350826	0.8608009788920408	True	tolerance_associated_KO	-1.25447146685107	8.86413044212447e-06	0.0001503153914288	True	down_in_TAMR	-1.09210562547381	2.10067834652683e-05	0.0157437089245742	-1.56539780173218	0.002203175661579	0.458005910340973	True	True	-6.64945476454693	1.26748126298451e-08	4.96960525835713e-06	-5.89699678068918	2.07350882441921e-08	5.36902005448702e-06	True	True	False	0.0047411346267021	0.995557904498434	0.999082554510754	True	0.5753847764631976	0.9410884353741495	0.9987212276214834	0.995455201269658	0.9970882144455708	False	0.9975036631030552	0.9962003454231434	0.9975036631030552	0.0037433749675698	5	A	3	3	3	3	0.9410884353741495	0.7029616928707086	0.0037433749675698	0.9975036631030552	5	8	True	False
HRK	-0.1861881312184561	0.4644963575381697	0.8927095045836237	True	sensitising_KO	1.29482273753335	2.7792022980668e-05	0.0003682060325743	True	up_in_TAMR	1.48158258333664	2.48820700188593e-05	0.0159989004639993				True		2.67042966852743	9.9096299651116e-05	0.0012984451197216	2.51691076347253	4.37237437456007e-05	0.0006911898523778	True	True	False	0.700277873346358	0.410435139794306	0.779250255887107	True	0.4797403413255157	0.9244897959183672	0.9985544312242856		0.9985544312242856	True	0.923753188256363	0.9367875647668392	0.923753188256363	0.4726288869945517	5	A	3	3	3	3	0.923753188256363	0.7598333287438167	0.4726288869945517	0.9985544312242856	5	9	True	False
CUX1	1.2655384098421134	4.945480305157648e-05	0.044987385842584	True	tolerance_associated_KO	-0.899390794469496	7.34075335107767e-05	0.0007915850161576	True	down_in_TAMR	-0.0635570551072721	0.491953793044081	0.80228969354788	-0.253893522732994	0.15024954813718	0.600089163303291	True	True	-0.977593527385808	0.0080710346236776	0.0325811667130628	-0.841084624454655	0.0290456382698598	0.0846718793407622	True	True	False	-0.473959264701485	0.0325238713726489	0.353075674922462	True	0.9989529892157888	0.9071428571428573	0.3870788390970755	0.7496753715192612	0.5683771053081683	False	0.7523199652683562	0.6569948186528498	0.7523199652683562	0.9077128349579332	5	A	3	4	3	3	0.9071428571428573	0.8269011503786208	0.5683771053081683	0.9989529892157888	5	10	False	True
