gene	crispr_effect	crispr_p	crispr_fdr	crispr_direction	crispr_fdr_significant	crispr_evidence_percentile
KDM1A	-2.167335634799461	8.061303724868798e-08	0.0003849877126404	sensitising_KO	True	0.9998429483823684
TLK2	-1.848198303730188	4.386303381194677e-07	0.0016758310698192	sensitising_KO	True	0.9997905978431578
TADA2B	-2.0643649381530107	6.8725943769325934e-06	0.0145874633758381	sensitising_KO	True	0.9995811956863156
USP17L29	-2.1448239489713394	1.4674995092382969e-05	0.0280336431249791	sensitising_KO	True	0.999528845147105
VEZF1	-1.602445388833546	2.497000741678817e-05	0.0372575660229722	sensitising_KO	True	0.9994764946078945
HMGB1	-1.4740651006700034	2.551808246234588e-05	0.0372575660229722	sensitising_KO	True	0.999424144068684
EIF4ENIF1	-1.5506541534723943	2.8211529650492784e-05	0.0372575660229722	sensitising_KO	True	0.9993717935294734
SUPT4H1	-1.6837884606622353	2.8217361523605968e-05	0.0372575660229722	sensitising_KO	True	0.9993194429902628
ICK	-1.2245539921905229	2.92552735352868e-05	0.0372575660229722	sensitising_KO	True	0.9992670924510524
USP34	-1.3912980676838431	3.927829380312541e-05	0.0416851803622835	sensitising_KO	True	0.9991100408334206
PET117	-1.8279505886266567	4.387078841638455e-05	0.0419031835559097	sensitising_KO	True	0.9990053397549996
TSR3	-1.6187529731582495	8.291733910908465e-05	0.0679959978896869	sensitising_KO	True	0.9988482881373678
CTDNEP1	-1.3929700500469568	9.053999047143436e-05	0.0691834175190324	sensitising_KO	True	0.9987435870589468
DOT1L	-1.2987922672008398	0.0001589866545259	0.1013040488730637	sensitising_KO	False	0.9985341849021044
MRGBP	-1.593677951029952	0.000177469090535	0.1093610334351893	sensitising_KO	False	0.9984294838236834
F8A3	-1.9141933709753545	0.0001890826054922	0.109955077591718	sensitising_KO	False	0.9983771332844728
DCAF7	-1.069272925769825	0.0001928218107752	0.109955077591718	sensitising_KO	False	0.9983247827452624
CITED2	-1.4953555271062804	0.0001957008133862	0.109955077591718	sensitising_KO	False	0.9982724322060518
TAF6L	-1.8404070938940915	0.0002204426486718	0.1127753613387858	sensitising_KO	False	0.99811538058842
SYNCRIP	-1.7275353891230507	0.0002872480766746	0.1371825002178894	sensitising_KO	False	0.9979583289707884
