gene	crispr_effect	crispr_p	crispr_fdr	crispr_direction	crispr_fdr_significant	crispr_evidence_percentile
PTEN	3.3317870701317656	1.1682458336322448e-11	2.2317000159876773e-07	tolerance_associated_KO	True	1.0
CSK	2.8930076779394955	2.2005773402918168e-10	1.980969177858585e-06	tolerance_associated_KO	True	0.9999476494607894
NF1	3.201469104004488	3.1109812770642067e-10	1.980969177858585e-06	tolerance_associated_KO	True	0.9998952989215788
KMT2C	1.683754395316134	1.650194542889268e-06	0.0052539443921356	tolerance_associated_KO	True	0.9997382473039472
SOX2	1.5125795984924384	4.4820586915723774e-06	0.012231538169301	tolerance_associated_KO	True	0.9996858967647366
LZTR1	1.4583532397139498	5.201626345221791e-06	0.0124208335090964	tolerance_associated_KO	True	0.999633546225526
KDM6A	2.259563025014412	3.574163466644781e-05	0.0416851803622835	tolerance_associated_KO	True	0.9992147419118416
DPP9	1.3751072314321586	3.712159796876289e-05	0.0416851803622835	tolerance_associated_KO	True	0.9991623913726312
RASA2	1.2969414819378675	4.2032356836587575e-05	0.0419031835559097	tolerance_associated_KO	True	0.99905769029421
CUX1	1.2655384098421134	4.945480305157648e-05	0.044987385842584	tolerance_associated_KO	True	0.9989529892157888
TFAP2C	1.5406554782432211	5.552676879419332e-05	0.0482149029216125	tolerance_associated_KO	True	0.9989006386765784
PTPN3	1.6135574502712569	8.542657956093207e-05	0.0679959978896869	tolerance_associated_KO	True	0.9987959375981572
SPRED2	1.6872268467811598	0.0001071833806909	0.0783442627744789	tolerance_associated_KO	True	0.998691236519736
ILK	2.1731202681634	0.0001107310419782	0.0783442627744789	tolerance_associated_KO	True	0.9986388859805256
TSC1	1.2814671009362222	0.0001215676504178	0.0829395294976029	tolerance_associated_KO	True	0.998586535441315
TIPARP	1.1260406665820897	0.0001590913189651	0.1013040488730637	tolerance_associated_KO	False	0.998481834362894
KCTD5	1.2488462817636783	0.0002074412417513	0.1127753613387858	tolerance_associated_KO	False	0.9982200816668412
SLC30A1	1.3764921244002135	0.0002197816236458	0.1127753613387858	tolerance_associated_KO	False	0.9981677311276306
MBTPS2	1.1614302745015106	0.0002243345930416	0.1127753613387858	tolerance_associated_KO	False	0.9980630300492096
FIBP	1.2809082172705288	0.0002765687497509	0.1354690468331292	tolerance_associated_KO	False	0.998010679509999
