rank	gene	coverage	crispr_percentile	gse118713_percentile	gse245601_percentile	gse240112_percentile	gse111151_percentile	datasets_fdr05	datasets_top10pct	median_percentile	resistance_consensus	evidence_category	main_caveat
1	GREB1	A	0.6839074442466757	1.0	0.9976993199298648	0.9984804905844684	0.9626774396797748	3	4	0.9976993199298648	all_down	RNA_RESISTANCE_CONSENSUS	none
2	LARP6	A	0.6410323526332321	0.9904761904761904	0.9969900883007756	0.991425625440929	0.933508765427523	3	4	0.9904761904761904	all_up	RNA_RESISTANCE_CONSENSUS	none
3	PLOD2	A	0.9780127735315672	0.915578231292517	0.6610228216906325	0.983611005589624	0.9651977317371484	3	4	0.9651977317371484	all_up	RNA_RESISTANCE_CONSENSUS	none
4	MED13L	A	0.1895613024814155	0.931156462585034	0.963859842061548	0.9128995495739948	0.9223157036433044	3	4	0.9223157036433044	all_down	RNA_RESISTANCE_CONSENSUS	none
5	FGD3	A	0.915977384567061	0.8847619047619047	0.9941748285505824	0.9881695338362186	0.8166858159445536	3	3	0.915977384567061	all_down	RNA_RESISTANCE_CONSENSUS	none
6	EPAS1	A	0.3854570202073081	0.9978231292517008	0.3600737339064098	0.98290551907527	0.999814684407546	3	3	0.98290551907527	all_up	RNA_RESISTANCE_CONSENSUS	none
7	MYBL1	A	0.329965448644121	0.9828571428571428	0.9990621843889772	0.9898518478319857	0.7793632556243282	3	3	0.9828571428571428	all_down	RNA_RESISTANCE_CONSENSUS	none
8	SYTL5	A	0.5753847764631976	0.9410884353741495	0.9970882144455708	0.9975036631030552	0.0037433749675698	3	3	0.9410884353741495	majority_down	RNA_RESISTANCE_CONSENSUS	none
9	HRK	A	0.4797403413255157	0.9244897959183672	0.9985544312242856	0.923753188256363	0.4726288869945517	3	3	0.923753188256363	all_up	RNA_RESISTANCE_CONSENSUS	none
10	CUX1	A	0.9989529892157888	0.9071428571428573	0.5683771053081683	0.7523199652683562	0.9077128349579332	3	3	0.9071428571428573	all_down	MULTIMODAL_STRONG	none
11	PTGER4	A	0.1031829127840017	0.8995918367346939	0.9933819861463292	0.9556086177891138	0.897557540491457	3	2	0.8995918367346939	all_up	RNA_RESISTANCE_CONSENSUS	none
12	C6orf141	A	0.1168464035179562	0.8972108843537415	0.9685135441674662	0.8840831388723069	0.9408843260071904	3	2	0.8972108843537415	all_down	RNA_RESISTANCE_CONSENSUS	none
13	LAMB3	A	0.8413255156528112	0.942108843537415	0.483363252615899	0.8877733760243122	0.9994069901041474	3	2	0.8877733760243122	all_up	RNA_RESISTANCE_CONSENSUS	none
14	RUNX1	A	0.089048267197152	0.8836734693877552	0.9843541762703812	0.8857654528680741	0.9280604870093768	3	2	0.8857654528680741	majority_up	RNA_RESISTANCE_CONSENSUS	none
15	DMRTA1	A	0.1125536593026907	0.98	0.3669520738352051	0.8834319205513649	0.999295800748675	3	2	0.8834319205513649	all_up	RNA_RESISTANCE_CONSENSUS	none
16	SOX2	A	0.9996858967647366	0.8161224489795919	0.5566068612046533	0.9822543007543278	0.6630962529187205	3	2	0.8161224489795919	all_up	MULTIMODAL_STRONG	none
17	MSMO1	A	0.4284891634383834	0.8017006802721088	0.99635785350805	0.9160471047918816	0.5380452911307958	3	2	0.8017006802721088	all_up	RNA_RESISTANCE_CONSENSUS	none
18	NEDD9	A	0.7837922730604125	0.9576190476190476	0.7369895681700397	0.9916426982145764	0.76865201438049	3	2	0.7837922730604125	majority_up	RNA_RESISTANCE_CONSENSUS	none
19	WBP2	A	0.973353575541828	0.7751020408163265	0.9952173842452016	0.7336517067346828	0.2688187984136985	3	2	0.7751020408163265	majority_down	RNA_RESISTANCE_CONSENSUS	none
20	HLA-DQB1	A	0.399905769029421	0.8889115646258503	0.5499938769927388	0.8989526238671515	0.998962232682258	3	1	0.8889115646258503	all_up	RNA_RESISTANCE_CONSENSUS	none
