gene	n_datasets_testable	n_datasets_fdr05	median_evidence_percentile	equal_dataset_mean_percentile	rank
GREB1	2	2	0.9980899052571666	0.9980899052571666	1
SYTL5	2	2	0.997295938774313	0.997295938774313	2
MYBL1	2	2	0.9944570161104814	0.9944570161104814	3
LARP6	2	2	0.9942078568708524	0.9942078568708524	4
FGD3	2	2	0.9911721811934004	0.9911721811934004	5
AL121578.3	2	2	0.9898357372449332	0.9898357372449332	6
PTGER4	2	2	0.9744953019677216	0.9744953019677216	7
HRK	2	2	0.9611538097403244	0.9611538097403244	8
MSMO1	2	2	0.9562024791499656	0.9562024791499656	9
AC105411.1	2	2	0.951884306873726	0.951884306873726	10
AL160408.1	2	2	0.9518080165024652	0.9518080165024652	11
RRAGD	2	2	0.945603858614729	0.945603858614729	12
MED13L	2	2	0.9383796958177714	0.9383796958177714	13
RUNX1	2	2	0.9350598145692276	0.9350598145692276	14
TRPS1	2	2	0.9306411760446426	0.9306411760446426	15
NEU1	2	2	0.926574640645299	0.926574640645299	16
C6orf141	2	2	0.9262983415198864	0.9262983415198864	17
PALLD	2	2	0.9249430473980056	0.9249430473980056	18
LPIN1	2	2	0.9139723499742758	0.9139723499742758	19
IRS1	2	2	0.9100064095758106	0.9100064095758106	20
