gene	resistance_datasets_testable	resistance_up_count	resistance_down_count	resistance_fdr05_count	resistance_nominal_p05_count	resistance_top10pct_count	resistance_top20pct_count	resistance_median_percentile	resistance_direction_consensus
EPAS1	3	3	0	3	3	3	3	0.9978231292517008	all_up
GABBR2	3	3	0	3	3	3	3	0.9834013605442176	all_up
SLC4A10	3	0	3	3	3	2	3	0.9859863945578232	all_down
DMRTA1	3	3	0	3	3	2	3	0.98	all_up
LAMB3	3	3	0	3	3	2	3	0.942108843537415	all_up
HLA-DQB1	3	3	0	3	3	1	3	0.8989526238671515	all_up
GREB1	3	0	3	2	3	3	3	0.9984804905844684	all_down
SPRY4	3	3	0	2	3	3	3	0.9983176860042328	all_up
GFRA1	3	0	3	2	3	3	3	0.9976279604165894	all_down
SUSD3	3	0	3	2	3	3	3	0.997232322135996	all_down
DLX2	3	3	0	2	3	3	3	0.9968027210884354	all_up
SULF1	3	0	3	2	3	3	3	0.9960342463214856	all_down
DSCAM	3	0	3	2	3	3	3	0.9954421768707484	all_down
EYA2	3	3	0	2	3	3	3	0.9923481847289304	all_up
GJB2	3	3	0	2	3	3	3	0.9908843537414966	all_up
ACOT4	3	0	3	2	3	3	3	0.9908829435068106	all_down
LARP6	3	3	0	2	3	3	3	0.9904761904761904	all_up
MALRD1	3	0	3	2	3	3	3	0.9896598639455784	all_down
PDGFC	3	3	0	2	3	3	3	0.9889795918367348	all_up
IL20	3	0	3	2	3	3	3	0.9886957488603092	all_down
