gene	n_datasets_testable	n_datasets_fdr05	median_evidence_percentile	equal_dataset_mean_percentile	rank
GREB1	4	3	0.9980899052571666	0.989714312548527	1
LARP6	4	3	0.9909509079585596	0.9781001674113544	2
EPAS1	4	3	0.9903643241634854	0.8351542666602316	3
MYBL1	4	3	0.9863544953445642	0.9377836076756084	4
SLC4A10	3	3	0.9859863945578232	0.9329088795648458	5
GABBR2	3	3	0.9834013605442176	0.9862531940203244	6
SYTL5	4	3	0.9690883249098602	0.7348559219725863	7
PLOD2	4	3	0.9403879815148328	0.8813524475774805	8
FGD3	4	3	0.9364657192990616	0.9209480207733148	9
DMRTA1	4	3	0.9317159602756824	0.8074199487838112	10
PTGER4	4	3	0.9276002272619038	0.9365349952903984	11
MED13L	4	3	0.9267360831141692	0.9325578894659704	12
HRK	4	3	0.924121492087365	0.8298565755983919	13
C6orf141	4	3	0.919047605180466	0.9226729733501762	14
LAMB3	4	3	0.9149411097808636	0.8281631155704434	15
RUNX1	4	3	0.9069129699387256	0.9204633963838968	16
HLA-DQB1	4	3	0.8939320942465009	0.8342050745419997	17
RRAGD	4	3	0.8875727332230987	0.8267624657846587	18
NEDD9	4	3	0.8631355309997688	0.8637258320960385	19
MSMO1	4	3	0.8588738925319952	0.8130377324257091	20
