source	target	string_score	interaction_type	source_candidate	target_candidate
APC	CTBP1	0.965	physical_PPI	False	False
AR	CCND1	0.955	physical_PPI	False	False
AR	CTNNB1	0.996	physical_PPI	False	False
AR	E2F1	0.801	functional_association	False	False
AR	ESR1	0.981	physical_PPI	False	False
AR	EZH2	0.978	physical_PPI	False	False
AR	FOXA1	0.996	physical_PPI	False	False
AR	GSK3B	0.841	physical_PPI	False	False
AR	HDAC1	0.964	physical_PPI	False	False
AR	KDM1A	0.996	physical_PPI	False	True
AR	PGR	0.766	functional_association	False	False
AR	RB1	0.878	functional_association	False	False
AR	RCOR1	0.715	functional_association	False	False
ASF1A	ASF1B	0.871	functional_association	False	False
ASF1A	CABIN1	0.998	physical_PPI	False	False
ASF1A	SRSF1	0.897	functional_association	False	False
ASF1A	TLK1	0.981	functional_association	False	False
ASF1A	TLK2	0.997	physical_PPI	False	True
ASF1B	CABIN1	0.85	functional_association	False	False
ASF1B	SRSF1	0.899	functional_association	False	False
ASF1B	TLK1	0.962	functional_association	False	False
ASF1B	TLK2	0.981	functional_association	False	True
ASH1L	USP34	0.822	functional_association	False	True
AXIN1	RPS27A	0.768	physical_PPI	False	False
AXIN1	USP9X	0.743	functional_association	False	False
CABIN1	TLK2	0.821	functional_association	False	True
CCND1	HDAC1	0.833	functional_association	False	False
CCND1	SNAI1	0.705	functional_association	False	False
CDH1	DNMT1	0.768	functional_association	False	False
CDH1	HDAC1	0.775	functional_association	False	False
CDH1	HDAC2	0.842	functional_association	False	False
CDH1	RPS27A	0.904	physical_PPI	False	False
CDH1	SNAI1	0.965	functional_association	False	False
CDH1	UBA52	0.898	physical_PPI	False	False
CDK4	DNMT1	0.738	functional_association	False	False
CTBP1	CTNNB1	0.965	physical_PPI	False	False
CTBP1	EHMT2	0.87	functional_association	False	False
CTBP1	HDAC1	0.999	physical_PPI	False	False
CTBP1	HDAC2	0.999	physical_PPI	False	False
CTBP1	HMG20B	0.845	functional_association	False	False
CTBP1	KDM1A	0.998	physical_PPI	False	True
CTBP1	PHF21A	0.918	physical_PPI	False	False
CTBP1	RCOR1	0.999	physical_PPI	False	False
CTBP1	RCOR3	0.753	functional_association	False	False
CTBP1	SNAI2	0.777	functional_association	False	False
CTBP1	TCF7L2	0.977	physical_PPI	False	False
CTBP1	ZEB1	0.998	physical_PPI	False	False
CTNNB1	DNMT1	0.817	functional_association	False	False
CTNNB1	EZH2	0.986	physical_PPI	False	False
CTNNB1	HDAC1	0.985	physical_PPI	False	False
CTNNB1	RPS27A	0.735	functional_association	False	False
CTNNB1	SNAI1	0.934	functional_association	False	False
CTNNB1	UBB	0.763	functional_association	False	False
CTNNB1	USP9X	0.88	functional_association	False	False
DNMT1	E2F1	0.964	physical_PPI	False	False
DNMT1	EHMT2	0.998	physical_PPI	False	False
DNMT1	EZH2	0.999	physical_PPI	False	False
DNMT1	HDAC1	0.999	physical_PPI	False	False
DNMT1	HDAC2	0.999	physical_PPI	False	False
DNMT1	KDM1A	0.998	physical_PPI	False	True
DNMT1	RB1	0.765	functional_association	False	False
DNMT1	RCOR1	0.788	functional_association	False	False
DNMT1	RPS27A	0.944	physical_PPI	False	False
DNMT1	SNAI1	0.995	physical_PPI	False	False
DNMT1	UBA52	0.934	physical_PPI	False	False
DNMT1	UBB	0.956	physical_PPI	False	False
DNMT1	UBC	0.923	physical_PPI	False	False
DNMT1	ZEB1	0.897	physical_PPI	False	False
E2F1	EZH2	0.916	functional_association	False	False
E2F1	HDAC1	0.999	physical_PPI	False	False
EHMT2	EZH2	0.953	physical_PPI	False	False
EHMT2	HDAC1	0.999	physical_PPI	False	False
EHMT2	HDAC2	0.982	physical_PPI	False	False
EHMT2	KDM1A	0.995	physical_PPI	False	True
EHMT2	RCOR1	0.986	physical_PPI	False	False
EHMT2	SNAI1	0.99	physical_PPI	False	False
ESR1	EZH2	0.915	physical_PPI	False	False
ESR1	HDAC1	0.998	physical_PPI	False	False
ESR1	HDAC2	0.903	physical_PPI	False	False
EZH2	HDAC1	0.999	physical_PPI	False	False
EZH2	HDAC2	0.999	physical_PPI	False	False
EZH2	KDM1A	0.997	physical_PPI	False	True
EZH2	RB1	0.861	physical_PPI	False	False
EZH2	RCOR1	0.909	functional_association	False	False
EZH2	SNAI1	0.998	physical_PPI	False	False
EZH2	SNAI2	0.843	functional_association	False	False
EZH2	TWIST1	0.773	functional_association	False	False
FOXA1	HDAC1	0.724	functional_association	False	False
GSK3B	SNAI1	0.978	physical_PPI	False	False
HDAC1	HDAC2	0.999	physical_PPI	False	False
HDAC1	HMG20B	0.998	physical_PPI	False	False
HDAC1	KDM1A	0.999	physical_PPI	False	True
HDAC1	PHF21A	0.998	physical_PPI	False	False
HDAC1	RB1	0.999	physical_PPI	False	False
HDAC1	RCOR1	0.999	physical_PPI	False	False
HDAC1	RCOR3	0.862	functional_association	False	False
HDAC1	SNAI1	0.999	physical_PPI	False	False
HDAC1	SNAI2	0.924	functional_association	False	False
HDAC1	TCF7L2	0.926	physical_PPI	False	False
