gene	node_kind	candidate	level	component_id	degree	betweenness
APC	level2_bridge	False	2	0	1	0.0
AR	level1_partner	False	1	0	12	0.06410035696992218
ASF1A	level1_partner	False	1	1	5	0.000644122383252818
ASF1B	level1_partner	False	1	1	5	0.000644122383252818
ASH1L	level1_partner	False	1	0	1	0.0
AXIN1	level2_bridge	False	2	0	2	0.00033816425120772943
CABIN1	level1_partner	False	1	1	3	0.0
CCND1	level2_bridge	False	2	0	3	0.0005521048999309868
CDH1	level2_bridge	False	2	0	6	0.02401569596454507
CDK4	level2_bridge	False	2	0	1	0.0
CTBP1	level1_partner	False	1	0	13	0.05578359075801532
CTNNB1	level2_bridge	False	2	0	9	0.10846841920669717
DNMT1	level1_partner	False	1	0	17	0.1880984959910791
E2F1	level2_bridge	False	2	0	4	0.0009385783298826777
EHMT2	level1_partner	False	1	0	8	0.0017751223548324996
ESR1	level2_bridge	False	2	0	4	0.000322061191626409
EZH2	level1_partner	False	1	0	14	0.0273709153402248
FOXA1	level2_bridge	False	2	0	2	0.0
GSK3B	level2_bridge	False	2	0	2	0.0005521048999309868
HDAC1	level1_partner	False	1	0	23	0.14557409699012425
HDAC2	level1_partner	False	1	0	16	0.033078736520339255
HMG20B	level1_partner	False	1	0	8	0.0012463355216978406
KDM1A	candidate	True	0	0	12	0.014151337122351615
MKLN1	level1_partner	False	1	0	1	0.0
PGR	level2_bridge	False	2	0	1	0.0
PHF21A	level1_partner	False	1	0	6	0.0
RB1	level2_bridge	False	2	0	5	0.0012606395215090866
RCOR1	level1_partner	False	1	0	13	0.01727533068112778
RCOR3	level1_partner	False	1	0	7	0.0005780585490730419
RPS27A	level1_partner	False	1	0	8	0.06409000509767775
SMG1	level1_partner	False	1	0	1	0.0
SNAI1	level1_partner	False	1	0	16	0.09313183340293314
SNAI2	level2_bridge	False	2	0	5	0.0008541109990385352
SRSF1	level1_partner	False	1	1	4	0.0
TCF7L2	level2_bridge	False	2	0	2	0.0
TLK1	level1_partner	False	1	1	4	0.0
TLK2	candidate	True	0	1	5	0.000644122383252818
TRIP12	level1_partner	False	1	0	3	0.0
TWIST1	level2_bridge	False	2	0	3	0.0
UBA52	level1_partner	False	1	0	6	0.02297118624484352
UBB	level1_partner	False	1	0	6	0.029056245828624337
UBC	level1_partner	False	1	0	7	0.03546884885503813
USP34	candidate	True	0	0	9	0.11032206119162641
USP9X	level1_partner	False	1	0	5	0.03499923795064459
VEZF1	candidate	True	0	2	0	0.0
VIM	level2_bridge	False	2	0	1	0.0
ZEB1	level2_bridge	False	2	0	5	0.0009210113557939645
