gene	candidate_class	crispr_effect	crispr_p	crispr_fdr	crispr_direction	crispr_sensitising_yes_no	gse118713_log2fc	gse118713_p	gse118713_fdr	gse118713_direction	gse118713_significant	gse240112_log2fc	gse240112_p	gse240112_fdr	gse240112_direction	gse240112_significant	gse240112_sample_robustness	gse240112_outlier_warning	gse111151_log2fc	gse111151_p	gse111151_fdr	gse111151_direction	gse111151_significant	gse111151_cell_line_consistency	gse245601_epi_log2fc	gse245601_epi_p	gse245601_epi_fdr	gse245601_malignant_log2fc	gse245601_malignant_p	gse245601_malignant_fdr	acute_summary_direction	acute_significance_summary	resistance_pattern_3	full_rna_pattern_4	resistance_fdr05_count	resistance_nominal_p05_count	resistance_direction_consistency	human_tumor_support	global_rank	resistance_rank	crispr_rank	ranking_stability	crispr_direction_supports_inhibition_strategy	main_strength	main_limitation	eligible_for_freeze	ineligibility_reason	freeze_shortlisted	freeze_shortlist_rank
EML5	RNA_RESISTANCE_CONSENSUS	-1.058423339442026	0.0003193061123217	0.1487732844800642	sensitising_KO	True	0.962489709016966	7.18180165350279e-06	0.0001290115895092	up	True	1.05902954912775	0.0106130894675752	0.0399954257666563	up	True	epithelial_track_direction_agrees	False	0.404678152880988	0.0785283551516659	0.462341633396696	up	False	3/4	0.630181402620734	0.0627800265218925	0.385544026046219				↑	track_A_not_significant, track_B_not_significant	↑* | ↑* | ↑	↑* | ↑* | ↑ || ↑	2	2	all_up	significant	256.0	681	41	DATASET_DEPENDENT	True	2/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance	True		True	3.0
USP34	MULTIMODAL_STRONG	-1.3912980676838431	3.927829380312541e-05	0.0416851803622835	sensitising_KO	True	0.590437436807219	0.0012547294526722	0.0073136129571408	up	True	0.400106644327525	0.118318499553175	0.22750138874853	up	False	epithelial_track_direction_agrees	False	0.161522475648414	0.213154321288622	0.632236473760328	up	False	3/4	-0.0334650201061386	0.697302371273304	0.900549578140749	-0.180624008897835	0.315863817029613	0.703086078272564	↓	track_A_not_significant, track_B_not_significant	↑* | ↑ | ↑	↑* | ↑ | ↑ || ↓	1	1	all_up	not_significant	994.0	4050	18	DATASET_DEPENDENT	True	CRISPR FDR<0.05; 1/3 resistance datasets FDR<0.05	none	True		True	1.0
VEZF1	MULTIMODAL_STRONG	-1.602445388833546	2.497000741678817e-05	0.0372575660229722	sensitising_KO	True	0.426552278550176	0.122286724868769	0.237500391027449	up	False	1.14940832913316	0.0040105194402939	0.0194899399382215	up	True	epithelial_track_direction_agrees	False	-0.238235372712826	0.187611288174084	0.607594477564463	down	False	2/4	-0.0505827437413172	0.667974993574959	0.890005371824952	-0.436025202244726	0.0215208679721136	0.51885876990854	↓	track_A_not_significant, track_B_not_significant	↑ | ↑* | ↓	↑ | ↑* | ↓ || ↓	1	1	majority_up	significant	1138.0	6962	11	DATASET_DEPENDENT	True	CRISPR FDR<0.05; 1/3 resistance datasets FDR<0.05; human-tumor support	none	True		True	2.0
CITED2	RNA_RESISTANCE_CONSENSUS	-1.4953555271062804	0.0001957008133862	0.109955077591718	sensitising_KO	True	-0.0712402035096886	0.827083171330202	0.895048558224723	down	False	1.55383256440471	0.0013388731604333	0.0087275396535076	up	True	epithelial_track_direction_agrees	False	0.692687178856127	0.244471168774896	0.662311130855006	up	False	2/4	0.19690414713124	0.070506161673923	0.402857156934197	0.046714761965582	0.806113319999418	0.936726651731093	↑	track_A_not_significant, track_B_not_significant	↓ | ↑* | ↑	↓ | ↑* | ↑ || ↑	1	1	majority_up	significant	2073.0	6448	34	DATASET_DEPENDENT	True	1/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance	True		True	4.0
GREB1	RNA_RESISTANCE_CONSENSUS	-0.3533095277586469	0.2581044335738207	0.8163859673702398	sensitising_KO	True	-7.14538036307953	3.92575843413266e-13	5.8250403645660415e-09	down	True	-8.12006079608	4.75734404160909e-09	3.02304606892318e-06	down	True	epithelial_track_direction_agrees	False	-4.64120424333962	0.0088229363514546	0.237051976177589	down	False	3/4	-1.16753809929819	0.0001443281117849	0.0401574753686743	-1.2731126212057	0.0006423443981386	0.421434038647359	↓*	track_A_significant, track_B_not_significant	↓* | ↓* | ↓	↓* | ↓* | ↓ || ↓*	2	3	all_down	significant	1.0	7	6039	MODERATELY_STABLE	True	2/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance	False	CRISPR FDR>=0.25 or untestable -- sensitising sign carries no real evidence	False	
EPAS1	RNA_RESISTANCE_CONSENSUS	0.149728728535667	0.5680609193106956	0.9243328570351124	tolerance_associated_KO	False	5.9473037686576	1.37871850588956e-10	6.14437686554197e-08	up	True	7.49755691339593	9.14388099023009e-07	5.33238730658102e-05	up	True	epithelial_track_direction_agrees	False	1.54018987568339	4.42104317273188e-06	0.0163651497737581	up	True	4/4	0.0142550208886947	0.88395924565008	0.967437750215697	-0.199641170495508	0.240870465909652	0.657579217980603	↑	track_A_not_significant, track_B_not_significant	↑* | ↑* | ↑*	↑* | ↑* | ↑* || ↑	3	3	all_up	significant	6.0	1	11740	DATASET_DEPENDENT	False	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising	False	CRISPR direction is tolerance_associated_KO, not sensitising_KO	False	
CUX1	MULTIMODAL_STRONG	1.2655384098421134	4.945480305157648e-05	0.044987385842584	tolerance_associated_KO	False	-0.899390794469496	7.34075335107767e-05	0.0007915850161576	down	True	-0.977593527385808	0.0080710346236776	0.0325811667130628	down	True	epithelial_track_direction_agrees	False	-0.473959264701485	0.0325238713726489	0.353075674922462	down	False	3/4	-0.0635570551072721	0.491953793044081	0.80228969354788	-0.253893522732994	0.15024954813718	0.600089163303291	↓	track_A_not_significant, track_B_not_significant	↓* | ↓* | ↓	↓* | ↓* | ↓ || ↓	2	3	all_down	significant	10.0	448	21	MODERATELY_STABLE	False	CRISPR FDR<0.05; 2/3 resistance datasets FDR<0.05; human-tumor support	CRISPR direction is tolerance-associated, not sensitising	False	CRISPR direction is tolerance_associated_KO, not sensitising_KO	False	
LAMB3	RNA_RESISTANCE_CONSENSUS	0.4263586672189277	0.1218561034403154	0.7675762105551595	tolerance_associated_KO	False	1.98623956140971	8.16514918093033e-06	0.0001408773064495	up	True	3.67819351907871	0.0004059010328636	0.0036152461254765	up	True	epithelial_track_direction_agrees	False	1.73734283578094	1.4431189496036e-05	0.0215374992764131	up	True	4/4	-0.161212345281115	0.101597470642053	0.455931015057405	-0.0578268676060725	0.741133992915659	0.914412650746688	↓	track_A_not_significant, track_B_not_significant	↑* | ↑* | ↑*	↑* | ↑* | ↑* || ↓	3	3	all_up	significant	13.0	5	3032	MODERATELY_STABLE	False	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising	False	CRISPR direction is tolerance_associated_KO, not sensitising_KO	False	
DMRTA1	RNA_RESISTANCE_CONSENSUS	-0.0478186965360958	0.8743604206751495	0.98463570784176	sensitising_KO	True	1.66612525298514	1.35847909609319e-07	6.69671522519295e-06	up	True	1.45784459213153	0.0004743945443765	0.0040680049622012	up	True	epithelial_track_direction_agrees	False	2.31285987676122	1.84547553514192e-05	0.0252996241112606	up	True	4/4	0.129659114117763	0.515854009311112	0.814823361441527				↑	track_A_not_significant, track_B_not_significant	↑* | ↑* | ↑*	↑* | ↑* | ↑* || ↑	3	3	all_up	significant	15.0	4	16953	DATASET_DEPENDENT	True	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance	False	CRISPR FDR>=0.25 or untestable -- sensitising sign carries no real evidence	False	
SOX2	MULTIMODAL_STRONG	1.5125795984924384	4.4820586915723774e-06	0.012231538169301	tolerance_associated_KO	False	0.689938479322989	0.0017000936290111	0.009274260760025	up	True	7.44086437435914	1.00172235696804e-06	5.59971704623335e-05	up	True	epithelial_track_direction_agrees	False	0.885804950531392	0.212743715920636	0.631863307812325	up	False	3/4	-0.334393694467966	0.325538393566868	0.694290309090563	-0.36606170929984	0.28660778883357	0.685540154621828	↓	track_A_not_significant, track_B_not_significant	↑* | ↑* | ↑	↑* | ↑* | ↑ || ↓	2	2	all_up	significant	16.0	705	7	MODERATELY_STABLE	False	CRISPR FDR<0.05; 2/3 resistance datasets FDR<0.05; human-tumor support	CRISPR direction is tolerance-associated, not sensitising	False	CRISPR direction is tolerance_associated_KO, not sensitising_KO	False	
