TherapeuticRank	Gene	CRISPR_Effect	CRISPR_FDR	CRISPR_Direction	GSE118713_log2FC	GSE118713_FDR	GSE240112_log2FC	GSE240112_FDR	GSE111151_log2FC	GSE111151_FDR	GSE245601_Acute_log2FC	GSE245601_Acute_FDR	ResistancePattern	FullRNAPattern	ResistanceSigCount	HumanSupport	SampleRobustness	Stability	CandidateClass	FreezeStatus	MainStrength	MainLimitation
1.0	USP34	-1.391	0.0417	sensitising_KO	0.59	0.0073	0.4	0.2275	0.162	0.6322	-0.033	0.9005	↑* | ↑ | ↑	↑* | ↑ | ↑ || ↓	1	not_significant	epithelial_track_direction_agrees; GSE111151 3/4	DATASET_DEPENDENT	MULTIMODAL_STRONG	FROZEN_THERAPEUTIC_SHORTLIST	CRISPR FDR<0.05; 1/3 resistance datasets FDR<0.05	none
2.0	VEZF1	-1.602	0.0373	sensitising_KO	0.427	0.2375	1.149	0.0195	-0.238	0.6076	-0.051	0.89	↑ | ↑* | ↓	↑ | ↑* | ↓ || ↓	1	significant	epithelial_track_direction_agrees; GSE111151 2/4	DATASET_DEPENDENT	MULTIMODAL_STRONG	FROZEN_THERAPEUTIC_SHORTLIST	CRISPR FDR<0.05; 1/3 resistance datasets FDR<0.05; human-tumor support	none
3.0	EML5	-1.058	0.1488	sensitising_KO	0.962	0.0001	1.059	0.04	0.405	0.4623	0.63	0.3855	↑* | ↑* | ↑	↑* | ↑* | ↑ || ↑	2	significant	epithelial_track_direction_agrees; GSE111151 3/4	DATASET_DEPENDENT	RNA_RESISTANCE_CONSENSUS	FROZEN_THERAPEUTIC_SHORTLIST	2/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance
4.0	CITED2	-1.495	0.11	sensitising_KO	-0.071	0.895	1.554	0.0087	0.693	0.6623	0.197	0.4029	↓ | ↑* | ↑	↓ | ↑* | ↑ || ↑	1	significant	epithelial_track_direction_agrees; GSE111151 2/4	DATASET_DEPENDENT	RNA_RESISTANCE_CONSENSUS	FROZEN_THERAPEUTIC_SHORTLIST	1/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance
	CUX1	1.266	0.045	tolerance_associated_KO	-0.899	0.0008	-0.978	0.0326	-0.474	0.3531	-0.064	0.8023	↓* | ↓* | ↓	↓* | ↓* | ↓ || ↓	2	significant	epithelial_track_direction_agrees; GSE111151 3/4	MODERATELY_STABLE	MULTIMODAL_STRONG	not_eligible_wrong_crispr_direction	CRISPR FDR<0.05; 2/3 resistance datasets FDR<0.05; human-tumor support	CRISPR direction is tolerance-associated, not sensitising
	DMRTA1	-0.048	0.9846	sensitising_KO	1.666	0.0	1.458	0.0041	2.313	0.0253	0.13	0.8148	↑* | ↑* | ↑*	↑* | ↑* | ↑* || ↑	3	significant	epithelial_track_direction_agrees; GSE111151 4/4	DATASET_DEPENDENT	RNA_RESISTANCE_CONSENSUS	sensitising_sign_but_no_real_crispr_evidence	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance
	DPP9	1.375	0.0417	tolerance_associated_KO	-1.043	0.0021	0.11	0.8019	0.042	0.9536	-0.011	0.9714	↓* | ↑ | ↑	↓* | ↑ | ↑ || ↓	1	not_significant	epithelial_track_direction_agrees; GSE111151 3/4	DATASET_DEPENDENT	MULTIMODAL_STRONG	not_eligible_wrong_crispr_direction	CRISPR FDR<0.05; 1/3 resistance datasets FDR<0.05	CRISPR direction is tolerance-associated, not sensitising
	EIF4ENIF1	-1.551	0.0373	sensitising_KO	0.531	0.053	0.063	0.8633	-0.129	0.7217	-0.062	0.8394	↑ | ↑ | ↓	↑ | ↑ | ↓ || ↓	0	not_significant	epithelial_track_direction_agrees; GSE111151 4/4	DATASET_DEPENDENT	FUNCTIONAL_ONLY	sensitising_functional_only_no_rna_support	CRISPR FDR<0.05	no resistance-RNA dataset FDR<0.05
	EPAS1	0.15	0.9243	tolerance_associated_KO	5.947	0.0	7.498	0.0001	1.54	0.0164	0.014	0.9674	↑* | ↑* | ↑*	↑* | ↑* | ↑* || ↑	3	significant	epithelial_track_direction_agrees; GSE111151 4/4	DATASET_DEPENDENT	RNA_RESISTANCE_CONSENSUS	not_eligible_wrong_crispr_direction	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
	GABBR2	0.184	0.9285	tolerance_associated_KO	1.734	0.0	4.273	0.0001	2.897	0.0391			↑* | ↑* | ↑*	↑* | ↑* | ↑* || NA	3	significant	epithelial_track_direction_agrees; GSE111151 3/4	DATASET_DEPENDENT	RNA_RESISTANCE_CONSENSUS	not_eligible_wrong_crispr_direction	3/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
	GFRA1	0.626	0.7893	tolerance_associated_KO	-5.165	0.0	-6.512	0.0	-6.407	0.0648	-0.233	0.4591	↓* | ↓* | ↓	↓* | ↓* | ↓ || ↓	2	significant	epithelial_track_direction_agrees; GSE111151 4/4	DATASET_DEPENDENT	RNA_RESISTANCE_CONSENSUS	not_eligible_wrong_crispr_direction	2/3 resistance datasets FDR<0.05; human-tumor support	no CRISPR significance; CRISPR direction is tolerance-associated, not sensitising
