gene	drug_name	drug_id	dataset	metric	n_er_luminal_lines	n_total_er_luminal_lines_in_panel	spearman_rho	p_value	exploratory_only	note
USP34	AZD7762	1402	GDSC1	LN_IC50	13	14	-0.8076923076923077	0.0008391600097274252	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
USP34	AZD7762	1402	GDSC1	AUC	13	14	-0.7472527472527472	0.0033267413834299855	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
USP34	AZD1332	1463	GDSC1	LN_IC50	13	14	-0.532967032967033	0.06073650306561791	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
USP34	AZD1332	1463	GDSC1	AUC	13	14	-0.32417582417582413	0.27988186889314004	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
USP34	AZD6738	1394	GDSC1	LN_IC50	13	14	-0.532967032967033	0.06073650306561791	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
USP34	AZD6738	1394	GDSC1	AUC	13	14	-0.47802197802197804	0.09849011541638986	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
USP34	JAK1_3715	1433	GDSC1	LN_IC50	13	14	-0.5164835164835164	0.0707490406749638	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
USP34	JAK1_3715	1433	GDSC1	AUC	13	14	-0.14835164835164835	0.6286094178894162	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
USP34	Sphingosine Kinase 1 Inhibitor II	408	GDSC1	LN_IC50	14	14	-0.27912087912087913	0.3338450771945543	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
USP34	Sphingosine Kinase 1 Inhibitor II	408	GDSC1	AUC	14	14	0.389010989010989	0.16921738979769022	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
USP34	FGFR_3831	1422	GDSC1	LN_IC50	13	14	-0.4340659340659341	0.1383423778882126	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
USP34	FGFR_3831	1422	GDSC1	AUC	13	14	-0.2967032967032967	0.3249215884859749	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
USP34	LDN-193189	478	GDSC1	LN_IC50	14	14	-0.26153846153846155	0.3664111370667423	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
USP34	LDN-193189	478	GDSC1	AUC	14	14	-0.12967032967032965	0.6586192763211781	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
USP34	Ara-G	427	GDSC1	LN_IC50	14	14	-0.5648351648351648	0.03533018486755275	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
USP34	Ara-G	427	GDSC1	AUC	14	14	0.1912087912087912	0.5125839704707786	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
USP34	BAY ACCi	1362	GDSC1	LN_IC50	12	14	0.5384615384615385	0.07089431754922311	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
USP34	BAY ACCi	1362	GDSC1	AUC	12	14	0.6083916083916086	0.03580599705202923	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
USP34	Daporinad	1248	GDSC2	LN_IC50	8	14	-0.523809523809524	0.1827207505397148	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
USP34	Daporinad	1248	GDSC2	AUC	8	14	-0.4523809523809524	0.2604047674368853	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
VEZF1	Paclitaxel	1080	GDSC2	LN_IC50	14	14	0.389010989010989	0.16921738979769022	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
VEZF1	Paclitaxel	1080	GDSC2	AUC	14	14	0.39780219780219783	0.1589507745108346	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
VEZF1	JQ12	164	GDSC1	LN_IC50	14	14	-0.6131868131868132	0.01970633192603883	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
VEZF1	JQ12	164	GDSC1	AUC	14	14	-0.6263736263736264	0.016541935428871193	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
VEZF1	THR-101	2360	GDSC2	LN_IC50	14	14	-0.2	0.49300373504	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
VEZF1	THR-101	2360	GDSC2	AUC	14	14	-0.6923076923076923	0.006071048749990053	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
VEZF1	HG-5-88-01	1143	GDSC1	LN_IC50	7	14	0.28571428571428575	0.5345092286010406	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
VEZF1	HG-5-88-01	1143	GDSC1	AUC	7	14	0.21428571428571433	0.6445115810207203	True	EXPLORATORY ONLY -- small N, not independently FDR-corrected within this subset, not a validation of the full-breast-set finding
