drug_target_gene	present_in_project_crossdataset_table	hany_crispr_fdr	hany_crispr_direction	gse118713_fdr	gse118713_direction	gse240112_tumor_fdr	gse240112_tumor_direction	gse111151_fdr	gse111151_direction	gse245601_epi_fdr	gse245601_epi_direction	notes
ACACA	True	0.8739084148450614	tolerance_associated_KO	0.942608404574462	down_in_TAMR	0.839481956708158	down	0.87351602388545	down	0.908953603885061	down	Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
ATR	True	0.871003859055367	tolerance_associated_KO	0.382542509684826	down_in_TAMR	0.0781232904157558	down	0.830084204700792	up	0.299058421127063	down	Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
Anti-metabolite	False											Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
BMP	False											Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
CHEK1	True	0.8121550190740409	sensitising_KO	0.0496561881185915	down_in_TAMR	0.80556872527242	down	0.655160603690233	down	0.399336483971303	down	Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
CHEK2	True	0.7909727675032434	sensitising_KO	8.04962551320771e-06	down_in_TAMR	0.353383845217475	down	0.782819915943558	down	0.932621761445481	down	Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
FGFR1	True	0.8634975052990252	tolerance_associated_KO	0.102101741763769	up_in_TAMR	0.174582324289311	up	0.219031968694951	up	0.655296506431637	up	Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
FGFR2	True	0.9515468758851544	tolerance_associated_KO	0.0144731483878277	down_in_TAMR	0.0113726622999295	down	0.583929902882172	up	0.595495971796033	down	Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
FGFR3	True	0.812261542677148	tolerance_associated_KO	0.288550240104834	up_in_TAMR	0.0039699823058747	up	0.332267842578322	up	0.829824665612651	up	Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
FGFR4	True	0.9189312728171264	tolerance_associated_KO	0.0001064583596069	down_in_TAMR	0.0002718366135072	down	0.692581977646699	down	0.675583320747491	down	Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
