gene	subset	drug_id	drug_name	target	pathway	dataset	metric	n	spearman_rho	p_value	direction	fdr	tier	pathway_coherence_group
USP34	all_breast_lines	1402	AZD7762	CHEK1, CHEK2	Cell cycle	GDSC1	AUC	44	-0.5932346723044397	2.1976424331135697e-05	higher_expression_more_sensitive	0.007779654213222037	FDR_SIGNIFICANT	cell_cycle
USP34	all_breast_lines	1402	AZD7762	CHEK1, CHEK2	Cell cycle	GDSC1	LN_IC50	44	-0.5914023960535588	2.3640075653365026e-05	higher_expression_more_sensitive	0.00836858678129122	FDR_SIGNIFICANT	cell_cycle
USP34	all_breast_lines	1463	AZD1332	NTRK1, NTRK2, NTRK3	RTK signaling	GDSC1	LN_IC50	44	-0.5310782241014799	0.00020810283301356036	higher_expression_more_sensitive	0.02481907334002529	FDR_SIGNIFICANT	rtk_signaling
USP34	all_breast_lines	1394	AZD6738	ATR	Genome integrity	GDSC1	LN_IC50	44	-0.5281183932346722	0.0002291548573319858	higher_expression_more_sensitive	0.02481907334002529	FDR_SIGNIFICANT	genome_integrity_dna_damage
USP34	all_breast_lines	1433	JAK1_3715	JAK1	Other, kinases	GDSC1	LN_IC50	44	-0.5128964059196617	0.00037101855425707316	higher_expression_more_sensitive	0.02481907334002529	FDR_SIGNIFICANT	other_ungrouped
USP34	all_breast_lines	408	Sphingosine Kinase 1 Inhibitor II	Sphingosine Kinase	Other, kinases	GDSC1	LN_IC50	44	-0.5121916842847075	0.00037918196764714245	higher_expression_more_sensitive	0.02481907334002529	FDR_SIGNIFICANT	other_ungrouped
USP34	all_breast_lines	1422	FGFR_3831	FGFR1, FGFR2, FGFR3, FGFR4	RTK signaling	GDSC1	LN_IC50	44	-0.5088090204369273	0.00042066226000042866	higher_expression_more_sensitive	0.02481907334002529	FDR_SIGNIFICANT	rtk_signaling
USP34	all_breast_lines	478	LDN-193189	BMP	Other	GDSC1	LN_IC50	44	-0.4841437632135306	0.0008688942784586933	higher_expression_more_sensitive	0.04394122493919677	FDR_SIGNIFICANT	other_ungrouped
USP34	all_breast_lines	427	Ara-G	Anti-metabolite	Other	GDSC1	LN_IC50	44	-0.47794221282593374	0.0010340292829147163	higher_expression_more_sensitive	0.0457557957689762	FDR_SIGNIFICANT	other_ungrouped
USP34	all_breast_lines	1362	BAY ACCi	ACACA	Metabolism	GDSC1	AUC	40	0.5343339587242026	0.0003830829350168916	higher_expression_more_resistant	0.06706414064090829	TOP_EFFECT_SIZE_NOT_NECESSARILY_SIGNIFICANT	other_ungrouped
USP34	all_breast_lines	1248	Daporinad	NAMPT	Metabolism	GDSC2	LN_IC50	24	-0.5660869565217391	0.003932855685640969	higher_expression_more_sensitive	0.2798730647995826	TOP_EFFECT_SIZE_NOT_NECESSARILY_SIGNIFICANT	other_ungrouped
VEZF1	all_breast_lines	1080	Paclitaxel	Microtubule stabiliser	Mitosis	GDSC2	LN_IC50	45	0.500395256916996	0.00046445982650691105	higher_expression_more_resistant	0.13237105055446965	TOP_EFFECT_SIZE_NOT_NECESSARILY_SIGNIFICANT	mitosis
VEZF1	all_breast_lines	164	JQ12	HDAC1, HDAC2	Chromatin histone acetylation	GDSC1	AUC	44	-0.5033121916842846	0.0004968297142741992	higher_expression_more_sensitive	0.17587771885306652	TOP_EFFECT_SIZE_NOT_NECESSARILY_SIGNIFICANT	chromatin_histone
VEZF1	all_breast_lines	164	JQ12	HDAC1, HDAC2	Chromatin histone acetylation	GDSC1	LN_IC50	44	-0.501198026779422	0.0005292771121022162	higher_expression_more_sensitive	0.18736409768418452	TOP_EFFECT_SIZE_NOT_NECESSARILY_SIGNIFICANT	chromatin_histone
VEZF1	all_breast_lines	2360	THR-101	Mutant RAS	PI3K/MTOR signaling	GDSC2	AUC	41	-0.5060975609756098	0.0007357965492652537	higher_expression_more_sensitive	0.19978408627070715	TOP_EFFECT_SIZE_NOT_NECESSARILY_SIGNIFICANT	pi3k_mtor
VEZF1	all_breast_lines	1143	HG-5-88-01	TAK1, M4K2	Other, kinases	GDSC1	LN_IC50	23	0.48320158102766797	0.019506866607219956	higher_expression_more_resistant	0.6974884923264675	TOP_EFFECT_SIZE_NOT_NECESSARILY_SIGNIFICANT	other_ungrouped
