gene	subset	drug_id	drug_name	target	pathway	dataset	metric	n	spearman_rho	p_value	direction	fdr
USP34	all_breast_lines	1402	AZD7762	CHEK1, CHEK2	Cell cycle	GDSC1	AUC	44	-0.5932346723044397	2.1976424331135697e-05	higher_expression_more_sensitive	0.007779654213222037
USP34	all_breast_lines	1402	AZD7762	CHEK1, CHEK2	Cell cycle	GDSC1	LN_IC50	44	-0.5914023960535588	2.3640075653365026e-05	higher_expression_more_sensitive	0.00836858678129122
USP34	all_breast_lines	1463	AZD1332	NTRK1, NTRK2, NTRK3	RTK signaling	GDSC1	LN_IC50	44	-0.5310782241014799	0.00020810283301356036	higher_expression_more_sensitive	0.02481907334002529
USP34	all_breast_lines	1394	AZD6738	ATR	Genome integrity	GDSC1	LN_IC50	44	-0.5281183932346722	0.0002291548573319858	higher_expression_more_sensitive	0.02481907334002529
USP34	all_breast_lines	1433	JAK1_3715	JAK1	Other, kinases	GDSC1	LN_IC50	44	-0.5128964059196617	0.00037101855425707316	higher_expression_more_sensitive	0.02481907334002529
USP34	all_breast_lines	408	Sphingosine Kinase 1 Inhibitor II	Sphingosine Kinase	Other, kinases	GDSC1	LN_IC50	44	-0.5121916842847075	0.00037918196764714245	higher_expression_more_sensitive	0.02481907334002529
USP34	all_breast_lines	1362	BAY ACCi	ACACA	Metabolism	GDSC1	AUC	40	0.5343339587242026	0.0003830829350168916	higher_expression_more_resistant	0.06706414064090829
USP34	all_breast_lines	1422	FGFR_3831	FGFR1, FGFR2, FGFR3, FGFR4	RTK signaling	GDSC1	LN_IC50	44	-0.5088090204369273	0.00042066226000042866	higher_expression_more_sensitive	0.02481907334002529
USP34	all_breast_lines	1394	AZD6738	ATR	Genome integrity	GDSC1	AUC	44	-0.49880197322057784	0.0005683401749229516	higher_expression_more_sensitive	0.06706414064090829
USP34	all_breast_lines	1739	JAK_8517	JAK1, JAK2	Other, kinases	GDSC2	LN_IC50	37	-0.5251303935514461	0.0008464958714643526	higher_expression_more_sensitive	0.24125132336734048
USP34	all_breast_lines	478	LDN-193189	BMP	Other	GDSC1	LN_IC50	44	-0.4841437632135306	0.0008688942784586933	higher_expression_more_sensitive	0.04394122493919677
USP34	all_breast_lines	277	Linifanib	VEGFR1, VEGFR2, VEGFR3, CSF1R, FLT3, KIT	RTK signaling	GDSC1	AUC	44	0.4830162085976039	0.0008970398974213903	higher_expression_more_resistant	0.07938803092179304
USP34	all_breast_lines	427	Ara-G	Anti-metabolite	Other	GDSC1	LN_IC50	44	-0.47794221282593374	0.0010340292829147163	higher_expression_more_sensitive	0.0457557957689762
