gene	subset	drug_id	drug_name	target	pathway	dataset	metric	n	spearman_rho	p_value	direction	fdr
VEZF1	all_breast_lines	1080	Paclitaxel	Microtubule stabiliser	Mitosis	GDSC2	LN_IC50	45	0.500395256916996	0.00046445982650691105	higher_expression_more_resistant	0.13237105055446965
VEZF1	all_breast_lines	164	JQ12	HDAC1, HDAC2	Chromatin histone acetylation	GDSC1	AUC	44	-0.5033121916842846	0.0004968297142741992	higher_expression_more_sensitive	0.17587771885306652
VEZF1	all_breast_lines	164	JQ12	HDAC1, HDAC2	Chromatin histone acetylation	GDSC1	LN_IC50	44	-0.501198026779422	0.0005292771121022162	higher_expression_more_sensitive	0.18736409768418452
VEZF1	all_breast_lines	2360	THR-101	Mutant RAS	PI3K/MTOR signaling	GDSC2	AUC	41	-0.5060975609756098	0.0007357965492652537	higher_expression_more_sensitive	0.19978408627070715
VEZF1	all_breast_lines	1080	Paclitaxel	Microtubule stabiliser	Mitosis	GDSC2	AUC	45	0.4619235836627141	0.0014019935878646116	higher_expression_more_resistant	0.19978408627070715
VEZF1	all_breast_lines	1059	AZD8055	MTORC1, MTORC2	PI3K/MTOR signaling	GDSC2	LN_IC50	44	0.45553206483439046	0.0018885721197728956	higher_expression_more_resistant	0.1873517762613026
VEZF1	all_breast_lines	2169	AZD6482	PI3Kbeta	PI3K/MTOR signaling	GDSC2	LN_IC50	42	0.46390081841017744	0.0019721239606452904	higher_expression_more_resistant	0.1873517762613026
VEZF1	all_breast_lines	1578	Leflunomide	Pyrimidine synthesis inhibitor	DNA replication	GDSC2	LN_IC50	40	0.45553470919324585	0.0031392909695288672	higher_expression_more_resistant	0.22367448157893177
VEZF1	all_breast_lines	1059	AZD8055	MTORC1, MTORC2	PI3K/MTOR signaling	GDSC2	AUC	44	0.41775898520084565	0.0047781921015211185	higher_expression_more_resistant	0.4539282496445063
VEZF1	all_breast_lines	200	Dacinostat	HDAC1	Chromatin histone acetylation	GDSC1	LN_IC50	45	-0.41277997364953883	0.004833124421012155	higher_expression_more_sensitive	0.6974884923264675
VEZF1	all_breast_lines	200	Dacinostat	HDAC1	Chromatin histone acetylation	GDSC1	AUC	45	-0.4118577075098814	0.004938330006356881	higher_expression_more_sensitive	0.7549699577280801
VEZF1	all_breast_lines	1778	GSK2110183B	AKT1, AKT2, AKT3	PI3K/MTOR signaling	GDSC2	LN_IC50	37	0.44476055002370785	0.005814079360143543	higher_expression_more_resistant	0.24814011235152328
VEZF1	all_breast_lines	2170	AT13148	AKT1	PI3K/MTOR signaling	GDSC2	LN_IC50	45	0.40065876152832663	0.006384298115478189	higher_expression_more_resistant	0.24814011235152328
VEZF1	all_breast_lines	1195	FY026		Unclassified	GDSC1	AUC	43	0.4047115675022651	0.007104281731412461	higher_expression_more_resistant	0.7549699577280801
VEZF1	all_breast_lines	1912	Afuresertib	AKT1, AKT2, AKT3	PI3K/MTOR signaling	GDSC2	LN_IC50	45	0.3945981554677206	0.007310321561961076	higher_expression_more_resistant	0.24814011235152328
VEZF1	all_breast_lines	1195	FY026		Unclassified	GDSC1	LN_IC50	43	0.39791603745092113	0.008228809163531128	higher_expression_more_resistant	0.6974884923264675
