gene	sample_id	cell_line	resistance_status	log2cpm
USP34	MCF-7	MCF-7	parental	8.22664551854494
USP34	MCF-7_Tam1	MCF-7	resistant	8.52234164492509
USP34	T-47D	T-47D	parental	7.24988470092116
USP34	T-47D_Tam1	T-47D	resistant	7.436077988959808
USP34	T-47D_Tam2	T-47D	resistant	7.485818807751966
USP34	ZR-75-1	ZR-75-1	parental	7.807754288273639
USP34	ZR-75-1_Tam1	ZR-75-1	resistant	7.7132206429807235
USP34	ZR-75-1_Tam2	ZR-75-1	resistant	7.830743373961434
USP34	BT-474	BT-474	parental	7.91259893526751
USP34	BT-474_Tam1	BT-474	resistant	7.94206083681443
USP34	BT-474_Tam2	BT-474	resistant	8.282228160627177
CTDNEP1	MCF-7	MCF-7	parental	3.67928613801995
CTDNEP1	MCF-7_Tam1	MCF-7	resistant	3.3043034030694347
CTDNEP1	T-47D	T-47D	parental	3.417157487832568
CTDNEP1	T-47D_Tam1	T-47D	resistant	3.6269600242567805
CTDNEP1	T-47D_Tam2	T-47D	resistant	3.397873989929599
CTDNEP1	ZR-75-1	ZR-75-1	parental	2.668976724717827
CTDNEP1	ZR-75-1_Tam1	ZR-75-1	resistant	2.9306920609377713
CTDNEP1	ZR-75-1_Tam2	ZR-75-1	resistant	2.9058152453756514
CTDNEP1	BT-474	BT-474	parental	2.9564813487853683
CTDNEP1	BT-474_Tam1	BT-474	resistant	2.5863442616909444
CTDNEP1	BT-474_Tam2	BT-474	resistant	2.912041662801743
EIF4ENIF1	MCF-7	MCF-7	parental	3.986503604920168
EIF4ENIF1	MCF-7_Tam1	MCF-7	resistant	3.855887113754512
EIF4ENIF1	T-47D	T-47D	parental	3.827383138292658
EIF4ENIF1	T-47D_Tam1	T-47D	resistant	3.6392988823879038
EIF4ENIF1	T-47D_Tam2	T-47D	resistant	3.6877210067217363
EIF4ENIF1	ZR-75-1	ZR-75-1	parental	4.905532888636071
EIF4ENIF1	ZR-75-1_Tam1	ZR-75-1	resistant	4.808380340983755
EIF4ENIF1	ZR-75-1_Tam2	ZR-75-1	resistant	4.796073808360124
EIF4ENIF1	BT-474	BT-474	parental	4.097741960263746
EIF4ENIF1	BT-474_Tam1	BT-474	resistant	4.012924015107366
EIF4ENIF1	BT-474_Tam2	BT-474	resistant	4.0043180506154075
HMGB1	MCF-7	MCF-7	parental	8.912635268750757
HMGB1	MCF-7_Tam1	MCF-7	resistant	8.039254981497816
HMGB1	T-47D	T-47D	parental	7.35086193059261
HMGB1	T-47D_Tam1	T-47D	resistant	7.5094703538918335
HMGB1	T-47D_Tam2	T-47D	resistant	7.150362140967395
HMGB1	ZR-75-1	ZR-75-1	parental	7.069884372286575
HMGB1	ZR-75-1_Tam1	ZR-75-1	resistant	7.305640270386802
HMGB1	ZR-75-1_Tam2	ZR-75-1	resistant	7.0829267010270325
HMGB1	BT-474	BT-474	parental	7.101804359868106
HMGB1	BT-474_Tam1	BT-474	resistant	7.215043293494303
HMGB1	BT-474_Tam2	BT-474	resistant	7.085886490934906
KDM1A	MCF-7	MCF-7	parental	6.040017907495491
KDM1A	MCF-7_Tam1	MCF-7	resistant	5.435053398714853
KDM1A	T-47D	T-47D	parental	5.957580875381645
KDM1A	T-47D_Tam1	T-47D	resistant	6.228450263897334
KDM1A	T-47D_Tam2	T-47D	resistant	6.027234086634063
KDM1A	ZR-75-1	ZR-75-1	parental	5.475702926386099
KDM1A	ZR-75-1_Tam1	ZR-75-1	resistant	5.823206495908723
KDM1A	ZR-75-1_Tam2	ZR-75-1	resistant	6.109791611218722
KDM1A	BT-474	BT-474	parental	5.757645434635801
KDM1A	BT-474_Tam1	BT-474	resistant	5.882104574357073
KDM1A	BT-474_Tam2	BT-474	resistant	5.752308452206717
PET117	MCF-7	MCF-7	parental	3.937884921851651
PET117	MCF-7_Tam1	MCF-7	resistant	3.215347201421324
PET117	T-47D	T-47D	parental	3.6087925880894085
PET117	T-47D_Tam1	T-47D	resistant	3.5019062703905504
PET117	T-47D_Tam2	T-47D	resistant	4.159854617816898
PET117	ZR-75-1	ZR-75-1	parental	2.6357359368282873
PET117	ZR-75-1_Tam1	ZR-75-1	resistant	2.5405252271111323
PET117	ZR-75-1_Tam2	ZR-75-1	resistant	2.9326579230614906
PET117	BT-474	BT-474	parental	3.174254785049324
PET117	BT-474_Tam1	BT-474	resistant	3.4498272351038204
PET117	BT-474_Tam2	BT-474	resistant	3.3570363629584903
TADA2B	MCF-7	MCF-7	parental	3.2860855956318646
TADA2B	MCF-7_Tam1	MCF-7	resistant	3.0254263306985543
TADA2B	T-47D	T-47D	parental	3.0939065334673437
TADA2B	T-47D_Tam1	T-47D	resistant	3.2273580536507973
TADA2B	T-47D_Tam2	T-47D	resistant	3.2580049131809314
TADA2B	ZR-75-1	ZR-75-1	parental	4.211629587613705
TADA2B	ZR-75-1_Tam1	ZR-75-1	resistant	4.166770835889457
TADA2B	ZR-75-1_Tam2	ZR-75-1	resistant	4.118253555410608
TADA2B	BT-474	BT-474	parental	3.5072980162044973
TADA2B	BT-474_Tam1	BT-474	resistant	3.650000963574044
TADA2B	BT-474_Tam2	BT-474	resistant	3.991219771970949
VEZF1	MCF-7	MCF-7	parental	6.90266416962397
VEZF1	MCF-7_Tam1	MCF-7	resistant	6.298063642992041
VEZF1	T-47D	T-47D	parental	6.998424127111501
VEZF1	T-47D_Tam1	T-47D	resistant	6.340060172070185
VEZF1	T-47D_Tam2	T-47D	resistant	6.2470293807469215
VEZF1	ZR-75-1	ZR-75-1	parental	5.844844531570605
VEZF1	ZR-75-1_Tam1	ZR-75-1	resistant	5.90621150874295
VEZF1	ZR-75-1_Tam2	ZR-75-1	resistant	5.9330636864656565
VEZF1	BT-474	BT-474	parental	6.282885926163847
VEZF1	BT-474_Tam1	BT-474	resistant	6.5250695586948195
VEZF1	BT-474_Tam2	BT-474	resistant	6.568545612772181
TLK2	MCF-7	MCF-7	parental	7.245747254434499
TLK2	MCF-7_Tam1	MCF-7	resistant	7.36164625517073
TLK2	T-47D	T-47D	parental	5.717312369003052
TLK2	T-47D_Tam1	T-47D	resistant	5.801972365119277
TLK2	T-47D_Tam2	T-47D	resistant	5.811371483452583
TLK2	ZR-75-1	ZR-75-1	parental	6.138093651670301
TLK2	ZR-75-1_Tam1	ZR-75-1	resistant	6.164379954634218
TLK2	ZR-75-1_Tam2	ZR-75-1	resistant	6.12108810475049
TLK2	BT-474	BT-474	parental	5.354594252730547
TLK2	BT-474_Tam1	BT-474	resistant	5.443513410013648
TLK2	BT-474_Tam2	BT-474	resistant	5.441637201815094
ICK	MCF-7	MCF-7	parental	5.06349623566726
ICK	MCF-7_Tam1	MCF-7	resistant	4.497473972484195
ICK	T-47D	T-47D	parental	5.092597875033657
ICK	T-47D_Tam1	T-47D	resistant	4.814060121178112
ICK	T-47D_Tam2	T-47D	resistant	5.195261499097614
ICK	ZR-75-1	ZR-75-1	parental	5.504925447865463
ICK	ZR-75-1_Tam1	ZR-75-1	resistant	5.671592121121604
ICK	ZR-75-1_Tam2	ZR-75-1	resistant	5.561476776997304
ICK	BT-474	BT-474	parental	5.224640259868654
ICK	BT-474_Tam1	BT-474	resistant	5.1066894976063475
ICK	BT-474_Tam2	BT-474	resistant	4.907280865578872
SUPT4H1	MCF-7	MCF-7	parental	6.739030865377761
SUPT4H1	MCF-7_Tam1	MCF-7	resistant	6.077577030190155
SUPT4H1	T-47D	T-47D	parental	5.210400136107064
SUPT4H1	T-47D_Tam1	T-47D	resistant	5.500427449742204
SUPT4H1	T-47D_Tam2	T-47D	resistant	5.579185308012152
SUPT4H1	ZR-75-1	ZR-75-1	parental	5.706474446037569
SUPT4H1	ZR-75-1_Tam1	ZR-75-1	resistant	5.991359125007238
SUPT4H1	ZR-75-1_Tam2	ZR-75-1	resistant	5.598467329083418
SUPT4H1	BT-474	BT-474	parental	5.3915764252390375
SUPT4H1	BT-474_Tam1	BT-474	resistant	5.634113661278809
SUPT4H1	BT-474_Tam2	BT-474	resistant	5.4075344872277755
TSR3	MCF-7	MCF-7	parental	3.7929939830273063
TSR3	MCF-7_Tam1	MCF-7	resistant	3.2346804650679295
TSR3	T-47D	T-47D	parental	3.606840693926817
TSR3	T-47D_Tam1	T-47D	resistant	4.108817349799089
TSR3	T-47D_Tam2	T-47D	resistant	4.2768967396749895
TSR3	ZR-75-1	ZR-75-1	parental	4.026176937986284
TSR3	ZR-75-1_Tam1	ZR-75-1	resistant	4.049705948311453
TSR3	ZR-75-1_Tam2	ZR-75-1	resistant	3.8946733601665846
TSR3	BT-474	BT-474	parental	2.808060603071263
TSR3	BT-474_Tam1	BT-474	resistant	3.0285908042547383
TSR3	BT-474_Tam2	BT-474	resistant	3.057372186865921
USP17L29	MCF-7	MCF-7	parental	0.0
USP17L29	MCF-7_Tam1	MCF-7	resistant	0.0
USP17L29	T-47D	T-47D	parental	0.0
USP17L29	T-47D_Tam1	T-47D	resistant	0.0
USP17L29	T-47D_Tam2	T-47D	resistant	0.0
USP17L29	ZR-75-1	ZR-75-1	parental	0.0
USP17L29	ZR-75-1_Tam1	ZR-75-1	resistant	0.0
USP17L29	ZR-75-1_Tam2	ZR-75-1	resistant	0.0
USP17L29	BT-474	BT-474	parental	0.0
USP17L29	BT-474_Tam1	BT-474	resistant	0.0
USP17L29	BT-474_Tam2	BT-474	resistant	0.0
PAICS	MCF-7	MCF-7	parental	7.3083714626660745
PAICS	MCF-7_Tam1	MCF-7	resistant	6.5168947655280975
PAICS	T-47D	T-47D	parental	6.587823345372552
PAICS	T-47D_Tam1	T-47D	resistant	6.409541199710998
PAICS	T-47D_Tam2	T-47D	resistant	6.3412871861883575
PAICS	ZR-75-1	ZR-75-1	parental	6.744191643148346
PAICS	ZR-75-1_Tam1	ZR-75-1	resistant	7.11450919203556
PAICS	ZR-75-1_Tam2	ZR-75-1	resistant	6.999693251058751
