gene	crispr_effect_size	crispr_fdr	gse118713_tamr_vs_mcf7_log2fc	gse118713_tamr_vs_mcf7_fdr	gse245601_track_a_epithelial_log2fc	gse245601_track_a_epithelial_fdr	gse245601_track_b_malignant_log2fc	gse245601_track_b_malignant_fdr	gse240112_tumor_cell_log2fc	gse240112_tumor_cell_candidate_bh_fdr	gse111151_tested	gse111151_log2fc	gse111151_p_value	gse111151_candidate_bh_fdr	gse111151_n_cell_lines_consistent	gse111151_n_cell_lines_with_both_arms	gse111151_interpretation	notes
USP34	-1.3912980676838431	0.0416851803622835	0.590437436807219	0.0073136129571408	-0.0334650201061386	0.755692917713756	-0.180624008897835	0.4077065378123413	0.400106644327525	0.4732739982127	True	0.161522475648414	0.213154321288622	0.9355478495354091	3.0	4.0	directionally_supportive_but_weak	CRISPR/GSE118713/GSE245601/GSE240112/GSE111151 measure different biology (functional perturbation, one acquired-resistance cell-line panel, acute 12h ex vivo response, human primary-vs-recurrent context, and a second independent acquired-resistance cell-line panel respectively) -- no composite score is computed; interpret each column on its own terms.
CTDNEP1	-1.3929700500469568	0.0691834175190324	-0.354663041745843	0.25349742818574	0.15110673769838	0.638041063384272	0.304676723801525	0.1858415078199043	-0.121467789229156	0.819071205238469	True	-0.0440235942969099	0.802268756238586	0.9355478495354091	2.0	4.0	neutral_no_additional_support	CRISPR/GSE118713/GSE245601/GSE240112/GSE111151 measure different biology (functional perturbation, one acquired-resistance cell-line panel, acute 12h ex vivo response, human primary-vs-recurrent context, and a second independent acquired-resistance cell-line panel respectively) -- no composite score is computed; interpret each column on its own terms.
EIF4ENIF1	-1.5506541534723943	0.0372575660229722	0.53145903933498	0.0529761966227399	-0.0618984390937733	0.755692917713756	-0.259810148331114	0.340493074512555	0.0629475872692003	0.819071205238469	True	-0.128950200396878	0.321816876485056	0.9355478495354091	4.0	4.0	neutral_no_additional_support	CRISPR/GSE118713/GSE245601/GSE240112/GSE111151 measure different biology (functional perturbation, one acquired-resistance cell-line panel, acute 12h ex vivo response, human primary-vs-recurrent context, and a second independent acquired-resistance cell-line panel respectively) -- no composite score is computed; interpret each column on its own terms.
HMGB1	-1.4740651006700034	0.0372575660229722	-0.0794061555047207	0.731817935481995	-0.0697664035194113	0.755692917713756	0.164731106307106	0.451106746041953	-0.154623744509501	0.819071205238469	True	-0.130515412318803	0.453830618697012	0.9355478495354091	2.0	4.0	neutral_no_additional_support	CRISPR/GSE118713/GSE245601/GSE240112/GSE111151 measure different biology (functional perturbation, one acquired-resistance cell-line panel, acute 12h ex vivo response, human primary-vs-recurrent context, and a second independent acquired-resistance cell-line panel respectively) -- no composite score is computed; interpret each column on its own terms.
KDM1A	-2.167335634799461	0.0003849877126404	0.146667919066447	0.493845720601604	-0.215079883472444	0.638041063384272	-0.362291502794021	0.1858415078199043	0.191941386609262	0.677152556801814	True	0.0713993613378379	0.68504690338252	0.9355478495354091	3.0	4.0	neutral_no_additional_support	CRISPR/GSE118713/GSE245601/GSE240112/GSE111151 measure different biology (functional perturbation, one acquired-resistance cell-line panel, acute 12h ex vivo response, human primary-vs-recurrent context, and a second independent acquired-resistance cell-line panel respectively) -- no composite score is computed; interpret each column on its own terms.
PET117	-1.8279505886266567	0.0419031835559097	-0.0587411607946384	0.783384004604082	0.0463310730641482	0.755692917713756	0.432519344643182	0.1858415078199043	-0.246376118564829	0.677152556801814	True	0.0180744802898094	0.935547849535409	0.9355478495354091	3.0	4.0	neutral_no_additional_support	CRISPR/GSE118713/GSE245601/GSE240112/GSE111151 measure different biology (functional perturbation, one acquired-resistance cell-line panel, acute 12h ex vivo response, human primary-vs-recurrent context, and a second independent acquired-resistance cell-line panel respectively) -- no composite score is computed; interpret each column on its own terms.
TADA2B	-2.0643649381530107	0.0145874633758381	0.0065434913994528	0.984583852830181	0.0702306580392095	0.755692917713756	-0.154267537692414	0.451106746041953	0.427658434315663	0.5800691305161481	True	0.0560617398417958	0.728647978515586	0.9355478495354091	2.0	4.0	neutral_no_additional_support	CRISPR/GSE118713/GSE245601/GSE240112/GSE111151 measure different biology (functional perturbation, one acquired-resistance cell-line panel, acute 12h ex vivo response, human primary-vs-recurrent context, and a second independent acquired-resistance cell-line panel respectively) -- no composite score is computed; interpret each column on its own terms.
VEZF1	-1.602445388833546	0.0372575660229722	0.426552278550176	0.237500391027449	-0.0505827437413172	0.755692917713756	-0.436025202244726	0.1858415078199043	1.14940832913316	0.0481262332835268	True	-0.238235372712826	0.187611288174084	0.9355478495354091	2.0	4.0	neutral_no_additional_support	CRISPR/GSE118713/GSE245601/GSE240112/GSE111151 measure different biology (functional perturbation, one acquired-resistance cell-line panel, acute 12h ex vivo response, human primary-vs-recurrent context, and a second independent acquired-resistance cell-line panel respectively) -- no composite score is computed; interpret each column on its own terms.
TLK2	-1.848198303730188	0.0016758310698192	-0.151752544851276	0.674943903042664	-0.0362993225303796	0.755692917713756	-0.221502174721007	0.3185014734910302	0.0570763695102118	0.819071205238469	True	0.0727893622757189	0.529634514645246	0.9355478495354091	4.0	4.0	neutral_no_additional_support	CRISPR/GSE118713/GSE245601/GSE240112/GSE111151 measure different biology (functional perturbation, one acquired-resistance cell-line panel, acute 12h ex vivo response, human primary-vs-recurrent context, and a second independent acquired-resistance cell-line panel respectively) -- no composite score is computed; interpret each column on its own terms.
ICK	-1.2245539921905229	0.0372575660229722	0.106733026979587	0.663325990388584	-0.0894575161021647	0.755692917713756	-0.172517635891842	0.4077065378123413	0.358028755494179	0.595518963560524	True	-0.168093978284892	0.287875096072109	0.9355478495354091	3.0	4.0	directionally_supportive_but_weak	CRISPR/GSE118713/GSE245601/GSE240112/GSE111151 measure different biology (functional perturbation, one acquired-resistance cell-line panel, acute 12h ex vivo response, human primary-vs-recurrent context, and a second independent acquired-resistance cell-line panel respectively) -- no composite score is computed; interpret each column on its own terms.
