sample_id	cell_line	resistance_status	pc	coordinate	variance_explained_fraction
MCF-7	MCF-7	parental	PC1	12.556745091115634	0.36272283667591465
MCF-7	MCF-7	parental	PC2	-21.67897362569999	0.31456424072184036
MCF-7	MCF-7	parental	PC3	68.10331542080586	0.21540364988664862
MCF-7	MCF-7	parental	PC4	10.923679160549437	0.04258965250358642
MCF-7	MCF-7	parental	PC5	24.295855042637854	0.023145113305266005
MCF-7	MCF-7	parental	PC6	-0.43785366751918375	0.018109827467964315
MCF-7	MCF-7	parental	PC7	-2.20580926261604	0.010658113440404817
MCF-7	MCF-7	parental	PC8	0.22250489226386405	0.00626681383316013
MCF-7	MCF-7	parental	PC9	0.15610127585601202	0.004006878741978838
MCF-7	MCF-7	parental	PC10	-0.07805657726315947	0.002532873423235984
MCF-7	MCF-7	parental	PC11	2.5190829200962552e-14	1.2145081925578313e-31
MCF-7_Tam1	MCF-7	resistant	PC1	19.109871600658305	0.36272283667591465
MCF-7_Tam1	MCF-7	resistant	PC2	-23.128931206055487	0.31456424072184036
MCF-7_Tam1	MCF-7	resistant	PC3	66.67832386455778	0.21540364988664862
MCF-7_Tam1	MCF-7	resistant	PC4	-15.14535241017103	0.04258965250358642
MCF-7_Tam1	MCF-7	resistant	PC5	-22.97640156954869	0.023145113305266005
MCF-7_Tam1	MCF-7	resistant	PC6	0.04094173333060939	0.018109827467964315
MCF-7_Tam1	MCF-7	resistant	PC7	2.7272650291140508	0.010658113440404817
MCF-7_Tam1	MCF-7	resistant	PC8	-0.049983500444775064	0.00626681383316013
MCF-7_Tam1	MCF-7	resistant	PC9	0.14268412232885871	0.004006878741978838
MCF-7_Tam1	MCF-7	resistant	PC10	-0.09886153269272352	0.002532873423235984
MCF-7_Tam1	MCF-7	resistant	PC11	2.519082920096254e-14	1.2145081925578313e-31
T-47D	T-47D	parental	PC1	-31.916293233389897	0.36272283667591465
T-47D	T-47D	parental	PC2	-47.071023289288924	0.31456424072184036
T-47D	T-47D	parental	PC3	-15.636009855836548	0.21540364988664862
T-47D	T-47D	parental	PC4	38.3312843015663	0.04258965250358642
T-47D	T-47D	parental	PC5	-11.989929569509057	0.023145113305266005
T-47D	T-47D	parental	PC6	-1.5787220987280448	0.018109827467964315
T-47D	T-47D	parental	PC7	-1.6561844352944743	0.010658113440404817
T-47D	T-47D	parental	PC8	-0.9029766986446537	0.00626681383316013
T-47D	T-47D	parental	PC9	-0.22612680070223462	0.004006878741978838
T-47D	T-47D	parental	PC10	0.19527894716687577	0.002532873423235984
T-47D	T-47D	parental	PC11	2.519082920096253e-14	1.2145081925578313e-31
T-47D_Tam1	T-47D	resistant	PC1	-40.211143543364514	0.36272283667591465
T-47D_Tam1	T-47D	resistant	PC2	-50.137072004613024	0.31456424072184036
T-47D_Tam1	T-47D	resistant	PC3	-26.934795194187924	0.21540364988664862
T-47D_Tam1	T-47D	resistant	PC4	-18.81194369191219	0.04258965250358642
T-47D_Tam1	T-47D	resistant	PC5	5.64686353130244	0.023145113305266005
T-47D_Tam1	T-47D	resistant	PC6	-21.845833834274277	0.018109827467964315
T-47D_Tam1	T-47D	resistant	PC7	1.935356738097782	0.010658113440404817
T-47D_Tam1	T-47D	resistant	PC8	-0.37344728979531094	0.00626681383316013
T-47D_Tam1	T-47D	resistant	PC9	0.11034420943167314	0.004006878741978838
T-47D_Tam1	T-47D	resistant	PC10	-0.20493909531667623	0.002532873423235984
T-47D_Tam1	T-47D	resistant	PC11	2.5190829200962527e-14	1.2145081925578313e-31
T-47D_Tam2	T-47D	resistant	PC1	-36.93197983487903	0.36272283667591465
T-47D_Tam2	T-47D	resistant	PC2	-51.79542326543923	0.31456424072184036
T-47D_Tam2	T-47D	resistant	PC3	-25.323397900523798	0.21540364988664862
T-47D_Tam2	T-47D	resistant	PC4	-15.093275744289462	0.04258965250358642
T-47D_Tam2	T-47D	resistant	PC5	4.51532647606295	0.023145113305266005
T-47D_Tam2	T-47D	resistant	PC6	23.46089296358336	0.018109827467964315
T-47D_Tam2	T-47D	resistant	PC7	-0.6793728095597368	0.010658113440404817
T-47D_Tam2	T-47D	resistant	PC8	1.4099633956149926	0.00626681383316013
T-47D_Tam2	T-47D	resistant	PC9	-0.0416706736430907	0.004006878741978838
T-47D_Tam2	T-47D	resistant	PC10	0.002815981844090562	0.002532873423235984
T-47D_Tam2	T-47D	resistant	PC11	2.5190829200962543e-14	1.2145081925578313e-31
ZR-75-1	ZR-75-1	parental	PC1	-37.37727570909134	0.36272283667591465
ZR-75-1	ZR-75-1	parental	PC2	57.3051410111692	0.31456424072184036
ZR-75-1	ZR-75-1	parental	PC3	1.232969643341425	0.21540364988664862
ZR-75-1	ZR-75-1	parental	PC4	2.0485358758565804	0.04258965250358642
ZR-75-1	ZR-75-1	parental	PC5	-1.1005150680452715	0.023145113305266005
ZR-75-1	ZR-75-1	parental	PC6	-1.433085548180694	0.018109827467964315
ZR-75-1	ZR-75-1	parental	PC7	1.390839231424646	0.010658113440404817
ZR-75-1	ZR-75-1	parental	PC8	15.21652504808936	0.00626681383316013
ZR-75-1	ZR-75-1	parental	PC9	-1.2531791039523272	0.004006878741978838
ZR-75-1	ZR-75-1	parental	PC10	-0.64949263032514	0.002532873423235984
ZR-75-1	ZR-75-1	parental	PC11	2.5190829200962578e-14	1.2145081925578313e-31
ZR-75-1_Tam1	ZR-75-1	resistant	PC1	-37.79967065891997	0.36272283667591465
ZR-75-1_Tam1	ZR-75-1	resistant	PC2	55.43711859531876	0.31456424072184036
ZR-75-1_Tam1	ZR-75-1	resistant	PC3	2.5721634543221987	0.21540364988664862
ZR-75-1_Tam1	ZR-75-1	resistant	PC4	-2.3732848066330954	0.04258965250358642
ZR-75-1_Tam1	ZR-75-1	resistant	PC5	0.011032415543887049	0.023145113305266005
ZR-75-1_Tam1	ZR-75-1	resistant	PC6	1.0161391788042466	0.018109827467964315
ZR-75-1_Tam1	ZR-75-1	resistant	PC7	-2.009237892679658	0.010658113440404817
ZR-75-1_Tam1	ZR-75-1	resistant	PC8	-9.042288609741798	0.00626681383316013
ZR-75-1_Tam1	ZR-75-1	resistant	PC9	-9.983697414007928	0.004006878741978838
ZR-75-1_Tam1	ZR-75-1	resistant	PC10	-0.2204589988824895	0.002532873423235984
ZR-75-1_Tam1	ZR-75-1	resistant	PC11	2.519082920096255e-14	1.2145081925578313e-31
ZR-75-1_Tam2	ZR-75-1	resistant	PC1	-37.589290046503386	0.36272283667591465
ZR-75-1_Tam2	ZR-75-1	resistant	PC2	55.51616637195017	0.31456424072184036
ZR-75-1_Tam2	ZR-75-1	resistant	PC3	0.20629732240213325	0.21540364988664862
ZR-75-1_Tam2	ZR-75-1	resistant	PC4	-0.747679581027277	0.04258965250358642
ZR-75-1_Tam2	ZR-75-1	resistant	PC5	-0.2401651212918639	0.023145113305266005
ZR-75-1_Tam2	ZR-75-1	resistant	PC6	1.0713319182604366	0.018109827467964315
ZR-75-1_Tam2	ZR-75-1	resistant	PC7	-0.5782632251002244	0.010658113440404817
ZR-75-1_Tam2	ZR-75-1	resistant	PC8	-6.282127575403175	0.00626681383316013
ZR-75-1_Tam2	ZR-75-1	resistant	PC9	11.285924663888771	0.004006878741978838
ZR-75-1_Tam2	ZR-75-1	resistant	PC10	0.9550904466580343	0.002532873423235984
ZR-75-1_Tam2	ZR-75-1	resistant	PC11	2.5190829200962568e-14	1.2145081925578313e-31
BT-474	BT-474	parental	PC1	58.77745389478237	0.36272283667591465
BT-474	BT-474	parental	PC2	10.401067276543735	0.31456424072184036
BT-474	BT-474	parental	PC3	-23.538862521921594	0.21540364988664862
BT-474	BT-474	parental	PC4	5.288819386251423	0.04258965250358642
BT-474	BT-474	parental	PC5	3.5741296410852015	0.023145113305266005
BT-474	BT-474	parental	PC6	1.9389844292564222	0.018109827467964315
BT-474	BT-474	parental	PC7	19.953300661122004	0.010658113440404817
BT-474	BT-474	parental	PC8	-1.6014586826899364	0.00626681383316013
BT-474	BT-474	parental	PC9	-0.3516893890578904	0.004006878741978838
BT-474	BT-474	parental	PC10	-1.23024563842189	0.002532873423235984
BT-474	BT-474	parental	PC11	2.51908292009625e-14	1.2145081925578313e-31
BT-474_Tam1	BT-474	resistant	PC1	65.0535892244362	0.36272283667591465
BT-474_Tam1	BT-474	resistant	PC2	7.233239175474661	0.31456424072184036
BT-474_Tam1	BT-474	resistant	PC3	-22.89635207649296	0.21540364988664862
BT-474_Tam1	BT-474	resistant	PC4	-2.268453634580539	0.04258965250358642
BT-474_Tam1	BT-474	resistant	PC5	-0.38227709513323677	0.023145113305266005
BT-474_Tam1	BT-474	resistant	PC6	-1.2426839750736027	0.018109827467964315
BT-474_Tam1	BT-474	resistant	PC7	-7.126877562466997	0.010658113440404817
BT-474_Tam1	BT-474	resistant	PC8	1.3607196972602678	0.00626681383316013
BT-474_Tam1	BT-474	resistant	PC9	-0.7652642008642228	0.004006878741978838
BT-474_Tam1	BT-474	resistant	PC10	9.081714134005239	0.002532873423235984
BT-474_Tam1	BT-474	resistant	PC11	2.5190829200962543e-14	1.2145081925578313e-31
BT-474_Tam2	BT-474	resistant	PC1	66.32799321515573	0.36272283667591465
BT-474_Tam2	BT-474	resistant	PC2	7.918690960639993	0.31456424072184036
BT-474_Tam2	BT-474	resistant	PC3	-24.46365215646667	0.21540364988664862
BT-474_Tam2	BT-474	resistant	PC4	-2.152328855610136	0.04258965250358642
BT-474_Tam2	BT-474	resistant	PC5	-1.3539186831042136	0.023145113305266005
BT-474_Tam2	BT-474	resistant	PC6	-0.9901110994592538	0.018109827467964315
BT-474_Tam2	BT-474	resistant	PC7	-11.751016472041302	0.010658113440404817
BT-474_Tam2	BT-474	resistant	PC8	0.04256932349115596	0.00626681383316013
BT-474_Tam2	BT-474	resistant	PC9	0.926573310722377	0.004006878741978838
BT-474_Tam2	BT-474	resistant	PC10	-7.752845036772157	0.002532873423235984
BT-474_Tam2	BT-474	resistant	PC11	2.519082920096256e-14	1.2145081925578313e-31
