sample_id	gsm	cell_line	resistance_status	paired_parental_sample_id	library_size	n_detected_genes
MCF-7	GSM3024053	MCF-7	parental	NA	48419811	35401
MCF-7_Tam1	GSM3024054	MCF-7	resistant	MCF-7	57925533	34989
T-47D	GSM3024055	T-47D	parental	NA	46929605	35600
T-47D_Tam1	GSM3024056	T-47D	resistant	T-47D	48634372	34952
T-47D_Tam2	GSM3024057	T-47D	resistant	T-47D	49913262	34589
ZR-75-1	GSM3024058	ZR-75-1	parental	NA	50259852	34816
ZR-75-1_Tam1	GSM3024059	ZR-75-1	resistant	ZR-75-1	75013457	35554
ZR-75-1_Tam2	GSM3024060	ZR-75-1	resistant	ZR-75-1	59763367	34478
BT-474	GSM3024061	BT-474	parental	NA	54675181	36981
BT-474_Tam1	GSM3024062	BT-474	resistant	BT-474	57324255	35151
BT-474_Tam2	GSM3024063	BT-474	resistant	BT-474	30857748	33591
