gene	is_paics_benchmark	present_in_feature_space	n_exact_symbol_matches	total_counts	n_cells_detected	pct_tumor_cells_detected	n_samples_with_detection	per_sample_cells_detected	reason
USP34	False	True	1	35540	8826	88.77489438744719	6	PT1=982;PT2=1805;PT3=1391;RT1=2341;RT2=2197;RT3=110	
CTDNEP1	False	True	1	16994	7287	73.29511164755583	6	PT1=839;PT2=1549;PT3=1129;RT1=1846;RT2=1887;RT3=37	
EIF4ENIF1	False	True	1	8862	5225	52.55481794407564	6	PT1=690;PT2=1209;PT3=886;RT1=1246;RT2=1166;RT3=28	
HMGB1	False	True	1	483520	9933	99.90947495473748	6	PT1=1029;PT2=1975;PT3=1439;RT1=2718;RT2=2596;RT3=176	
KDM1A	False	True	1	17125	7142	71.83665258499296	6	PT1=844;PT2=1596;PT3=1140;RT1=1757;RT2=1740;RT3=65	
PET117	False	True	1	5197	3709	37.306376986521826	6	PT1=517;PT2=971;PT3=646;RT1=773;RT2=790;RT3=12	
TADA2B	False	True	1	2907	2422	24.36129551398109	6	PT1=325;PT2=541;PT3=317;RT1=627;RT2=605;RT3=7	
VEZF1	False	True	1	12986	6492	65.29873264936631	6	PT1=582;PT2=1049;PT3=1002;RT1=1925;RT2=1890;RT3=44	
TLK2	False	True	1	31651	8439	84.88231744115872	6	PT1=984;PT2=1817;PT3=1388;RT1=2126;RT2=2015;RT3=109	
ICK	False	True	1	8221	5078	51.07624220478777	6	PT1=577;PT2=994;PT3=828;RT1=1345;RT2=1319;RT3=15	
SUPT4H1	False	True	1	39562	9123	91.76222088111045	6	PT1=906;PT2=1701;PT3=1295;RT1=2612;RT2=2537;RT3=72	
TSR3	False	True	1	22135	7775	78.20358076845704	6	PT1=930;PT2=1729;PT3=1177;RT1=1977;RT2=1925;RT3=37	
USP17L29	False	False	0	0	0	0.0	0		absent from author-processed h5Seurat feature space (27161 genes); confirmed present in raw upstream CellRanger GRCh38 reference by Ensembl ID (ENSG00000231637 for USP17L29) but zero counts detected in any cell across all 6 raw PT/RT CellRanger matrices -- gene is genuinely undetected in this dataset's sequencing data, not a symbol-mapping error
PAICS	True	True	1	42545	8968	90.20317843492255	6	PT1=989;PT2=1876;PT3=1302;RT1=2364;RT2=2340;RT3=97	
