gene	sample_id	group	log2cpm
USP34	PT1	PT	6.86622072222947
USP34	PT2	PT	6.7601869239795604
USP34	PT3	PT	7.087834335314642
USP34	RT1	RT	7.059838335952323
USP34	RT2	RT	6.857676792038586
USP34	RT3	RT	7.65624654096072
CTDNEP1	PT1	PT	5.877675333686748
CTDNEP1	PT2	PT	6.090524704406353
CTDNEP1	PT3	PT	5.820343608760256
CTDNEP1	RT1	RT	5.779062842308396
CTDNEP1	RT2	RT	5.823813652740901
CTDNEP1	RT3	RT	5.240856343895412
EIF4ENIF1	PT1	PT	5.08379144924794
EIF4ENIF1	PT2	PT	5.106417556079746
EIF4ENIF1	PT3	PT	4.831909289668184
EIF4ENIF1	RT1	RT	4.980304268071277
EIF4ENIF1	RT2	RT	4.831913858579934
EIF4ENIF1	RT3	RT	5.063138798857731
HMGB1	PT1	PT	11.121964848185874
HMGB1	PT2	PT	11.248067883252974
HMGB1	PT3	PT	10.045321205748348
HMGB1	RT1	RT	10.395598877158456
HMGB1	RT2	RT	10.339655334509379
HMGB1	RT3	RT	11.230433931897077
KDM1A	PT1	PT	5.909958839801126
KDM1A	PT2	PT	6.138068339523694
KDM1A	PT3	PT	5.740762124204845
KDM1A	RT1	RT	5.808595854805284
KDM1A	RT2	RT	5.813286340204757
KDM1A	RT3	RT	6.484289536379109
PET117	PT1	PT	4.286213925685267
PET117	PT2	PT	4.537174735957016
PET117	PT3	PT	4.171521747364488
PET117	RT1	RT	4.042446492738689
PET117	RT2	RT	4.058732443214673
PET117	RT3	RT	3.5258614083362647
TADA2B	PT1	PT	3.395601837763529
TADA2B	PT2	PT	3.503715605695126
TADA2B	PT3	PT	2.924728414864123
TADA2B	RT1	RT	3.668319016101378
TADA2B	RT2	RT	3.6085959658781674
TADA2B	RT3	RT	3.002203714904783
VEZF1	PT1	PT	4.64903734602814
VEZF1	PT2	PT	4.760755136773337
VEZF1	PT3	PT	5.295173267114818
VEZF1	RT1	RT	6.022813573928608
VEZF1	RT2	RT	6.011197835570404
VEZF1	RT3	RT	5.457788129774482
TLK2	PT1	PT	6.884862900032728
TLK2	PT2	PT	6.830631971278561
TLK2	PT3	PT	7.009688232610822
TLK2	RT1	RT	6.641032120756939
TLK2	RT2	RT	6.454812651262928
TLK2	RT3	RT	7.447518663136572
ICK	PT1	PT	4.585934035041887
ICK	PT2	PT	4.68715200845344
ICK	PT3	PT	4.805783774164423
ICK	RT1	RT	5.049081272072999
ICK	RT2	RT	5.056581359671997
ICK	RT3	RT	4.141926846859599
SUPT4H1	PT1	PT	6.402833262489716
SUPT4H1	PT2	PT	6.495694140696034
SUPT4H1	PT3	PT	6.689604166383912
SUPT4H1	RT1	RT	7.55258282383067
SUPT4H1	RT2	RT	7.641008669688468
SUPT4H1	RT3	RT	6.566641156647246
TSR3	PT1	PT	6.579779626995151
TSR3	PT2	PT	6.630762335424228
TSR3	PT3	PT	6.002746934300831
TSR3	RT1	RT	6.0188482784334765
TSR3	RT2	RT	6.004094684659307
TSR3	RT3	RT	5.457788129774482
PAICS	PT1	PT	7.352237997296122
PAICS	PT2	PT	7.525603672761828
PAICS	PT3	PT	6.674764684946883
PAICS	RT1	RT	7.158816763757536
PAICS	RT2	RT	7.1224461650173865
PAICS	RT3	RT	7.531935192063041
