gene	tested	reason_not_tested	log2fc	avg_log_cpm	p_value	genomewide_fdr	candidate_set_bh_fdr	direction	pt_log2cpm_mean	rt_log2cpm_mean	all_rt_above_pt_range	all_rt_below_pt_range
USP34	True		0.400106644327525	7.05177828152781	0.118318499553175	0.22750138874853	0.47327399821270005	up_in_RT	6.904747327174558	7.191253889650543	False	False
CTDNEP1	True		-0.121467789229156	5.80608920691971	0.69769767798679	0.796356321458072	0.819071205238469	down_in_RT	5.9295145489511185	5.61457761298157	False	False
EIF4ENIF1	True		0.0629475872692003	4.95692194592041	0.792166447431357	0.863278728164698	0.819071205238469	up_in_RT	5.007372764998624	4.958452308502981	False	False
HMGB1	True		-0.154623744509501	10.8023176870949	0.731573371995063	0.820887420028315	0.819071205238469	down_in_RT	10.805117979062397	10.655229381188304	False	False
KDM1A	True		0.191941386609262	5.97426691463631	0.451435037867876	0.59163963287314	0.677152556801814	up_in_RT	5.929596434509889	6.035390577129717	False	False
PET117	True		-0.246376118564829	4.10982394029195	0.428767437017977	0.570163539426128	0.677152556801814	down_in_RT	4.331636803002257	3.875680114763209	False	True
TADA2B	True		0.427658434315663	3.32481915523362	0.241695471048395	0.380115251679473	0.5800691305161481	up_in_RT	3.274681952774259	3.426372898961443	False	False
VEZF1	True		1.14940832913316	5.48726153037245	0.0040105194402939	0.0194899399382215	0.048126233283526804	up_in_RT	4.901655249972099	5.830599846424498	True	False
TLK2	True		0.0570763695102118	6.87227400541716	0.819071205238469	0.882577720157556	0.819071205238469	up_in_RT	6.908394367974037	6.8477878117188125	False	False
ICK	True		0.358028755494179	4.76581492932709	0.297759481780262	0.44062569101796	0.595518963560524	up_in_RT	4.692956605886583	4.749196492868198	False	False
SUPT4H1	True		1.00349742270902	7.04448167574446	0.0261281073826727	0.0765239610374908	0.1567686442960362	up_in_RT	6.529377189856554	7.253410883388795	False	False
TSR3	True		-0.426897318866676	6.18537320761142	0.240833055309526	0.379225116913949	0.5800691305161481	down_in_RT	6.40442963224007	5.8269103642890885	False	False
USP17L29	False	gene absent from tumor-cell feature space (confirmed genuinely undetected in raw sequencing data, not a symbol-mapping error -- see candidate_detection_audit.tsv)						not_tested			False	False
