gene	tumor_cell_tested	tumor_cell_log2fc	tumor_cell_candidate_bh_fdr	all_epithelial_tested	all_epithelial_log2fc	all_epithelial_genomewide_fdr	direction_agreement
USP34	True	0.400106644327525	0.4732739982127	True	0.456520297738209	0.195590291004925	True
CTDNEP1	True	-0.121467789229156	0.819071205238469	True	-0.0499886148469966	0.907015813656905	True
EIF4ENIF1	True	0.0629475872692003	0.819071205238469	True	0.143520469287823	0.663291476825465	True
HMGB1	True	-0.154623744509501	0.819071205238469	True	0.0222884153018175	0.974256310661688	False
KDM1A	True	0.191941386609262	0.677152556801814	True	0.352813391983954	0.332468905315411	True
PET117	True	-0.246376118564829	0.677152556801814	True	-0.109559944640269	0.798603860652799	True
TADA2B	True	0.427658434315663	0.5800691305161481	True	0.546745426177169	0.2018432469758	True
VEZF1	True	1.14940832913316	0.0481262332835268	True	1.17150133098914	0.0074101289726214	True
TLK2	True	0.0570763695102118	0.819071205238469	True	0.123914835728979	0.758641026373368	True
ICK	True	0.358028755494179	0.595518963560524	True	0.515081118405101	0.196510005440879	True
SUPT4H1	True	1.00349742270902	0.1567686442960362	True	0.9245151761624	0.0942857977201781	True
TSR3	True	-0.426897318866676	0.5800691305161481	True	-0.450152277545786	0.316153833503828	True
USP17L29	False			False			
