sample_id	group	pc	coordinate	variance_explained_fraction
PT1	PT	PC1	-83.43674372789684	0.8572523330614918
PT1	PT	PC2	6.177904513774596	0.08755029563302412
PT1	PT	PC3	-18.543972360235546	0.05102177961072131
PT1	PT	PC4	1.673611008915475	0.002292357471960875
PT1	PT	PC5	6.769388709062073	0.0018832342228019402
PT1	PT	PC6	3.0285444302589053e-14	1.1226116762390272e-31
PT2	PT	PC1	-83.03402238794226	0.8572523330614918
PT2	PT	PC2	5.352353908602802	0.08755029563302412
PT2	PT	PC3	-21.503987515206404	0.05102177961072131
PT2	PT	PC4	-1.3276242734283696	0.002292357471960875
PT2	PT	PC5	-6.5310232396558865	0.0018832342228019402
PT2	PT	PC6	3.028544430258907e-14	1.1226116762390272e-31
PT3	PT	PC1	-84.283153670853	0.8572523330614918
PT3	PT	PC2	-7.524430753035668	0.08755029563302412
PT3	PT	PC3	40.30106681215648	0.05102177961072131
PT3	PT	PC4	-0.3317198838606554	0.002292357471960875
PT3	PT	PC5	-0.26511717144775326	0.0018832342228019402
PT3	PT	PC6	3.02854443025891e-14	1.1226116762390272e-31
RT1	RT	PC1	79.98164252339355	0.8572523330614918
RT1	RT	PC2	-25.60552746570051	0.08755029563302412
RT1	RT	PC3	-2.0306937556532683	0.05102177961072131
RT1	RT	PC4	7.549272152357511	0.002292357471960875
RT1	RT	PC5	-1.3432769413761545	0.0018832342228019402
RT1	RT	PC6	3.028544430258903e-14	1.1226116762390272e-31
RT2	RT	PC1	78.84978640710472	0.8572523330614918
RT2	RT	PC2	-29.69415360008942	0.08755029563302412
RT2	RT	PC3	-4.812146646212214	0.05102177961072131
RT2	RT	PC4	-7.106443043644194	0.002292357471960875
RT2	RT	PC5	1.4017940718181532	0.0018832342228019402
RT2	RT	PC6	3.028544430258913e-14	1.1226116762390272e-31
RT3	RT	PC1	91.92249085619373	0.8572523330614918
RT3	RT	PC2	51.2938533964482	0.08755029563302412
RT3	RT	PC3	6.589733465150903	0.05102177961072131
RT3	RT	PC4	-0.4570959603397421	0.002292357471960875
RT3	RT	PC5	-0.031765428400432734	0.0018832342228019402
RT3	RT	PC6	3.0285444302589104e-14	1.1226116762390272e-31
