sample_id_1	sample_id_2	correlation
PT1	PT1	1.0
PT2	PT1	0.984891391670313
PT3	PT1	0.9651968724925788
RT1	PT1	0.9128550679450567
RT2	PT1	0.9104102882853644
RT3	PT1	0.8803896884833609
PT1	PT2	0.984891391670313
PT2	PT2	1.0
PT3	PT2	0.96378407904356
RT1	PT2	0.9137916559379217
RT2	PT2	0.9116899122262854
RT3	PT2	0.8784266921206656
PT1	PT3	0.9651968724925788
PT2	PT3	0.96378407904356
PT3	PT3	1.0
RT1	PT3	0.902945218953988
RT2	PT3	0.8997731904194521
RT3	PT3	0.8730067899261907
PT1	RT1	0.9128550679450567
PT2	RT1	0.9137916559379217
PT3	RT1	0.902945218953988
RT1	RT1	1.0
RT2	RT1	0.9855821350988062
RT3	RT1	0.9256650451809771
PT1	RT2	0.9104102882853644
PT2	RT2	0.9116899122262854
PT3	RT2	0.8997731904194521
RT1	RT2	0.9855821350988062
RT2	RT2	1.0
RT3	RT2	0.9210697197324385
PT1	RT3	0.8803896884833609
PT2	RT3	0.8784266921206656
PT3	RT3	0.8730067899261907
RT1	RT3	0.9256650451809771
RT2	RT3	0.9210697197324385
RT3	RT3	1.0
